QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Salary,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Draft Kings_MIN_Rank,Draft Kings_MID_Rank,Draft Kings_MAX_Rank,Raw Rank,Final Rank
Jared Goff (16006105),David Johnson (16006186),Austin Ekeler (16006162),Randall Cobb (16006542),Tee Higgins (16006408),Calvin Ridley (16006354),Dallas Goedert (16006652),David Montgomery (16006160),Texans  (16006822),49900.0,109.62642857142858,140.32928571428573,181.9342857142857,25,1,550,576,12
Matt Ryan (16006106),David Johnson (16006186),Austin Ekeler (16006162),Randall Cobb (16006542),Tee Higgins (16006408),Calvin Ridley (16006354),Dallas Goedert (16006652),David Montgomery (16006160),Texans  (16006822),49800.0,110.44642857142858,139.9532857142857,181.3942857142857,7,2,706,715,17
Mitchell Trubisky (16006107),David Johnson (16006186),Austin Ekeler (16006162),Randall Cobb (16006542),Tee Higgins (16006408),Calvin Ridley (16006354),Dallas Goedert (16006652),David Montgomery (16006160),Texans  (16006822),49700.0,111.12142857142857,139.72628571428572,177.6442857142857,2,3,2428,2433,260
Jared Goff (16006105),David Johnson (16006186),Austin Ekeler (16006162),Randall Cobb (16006542),Tee Higgins (16006408),Calvin Ridley (16006354),Dallas Goedert (16006652),Nick Chubb (16006158),Texans  (16006822),50000.0,106.42642857142857,139.3842857142857,183.5342857142857,281,4,264,549,9
Jared Goff (16006105),David Johnson (16006186),Austin Ekeler (16006162),Randall Cobb (16006542),Sterling Shepard (16006410),Calvin Ridley (16006354),Dallas Goedert (16006652),David Montgomery (16006160),Texans  (16006822),49700.0,110.24642857142857,139.3192857142857,180.4642857142857,8,5,1027,1040,47
Jared Goff (16006105),David Johnson (16006186),Austin Ekeler (16006162),Randall Cobb (16006542),Tee Higgins (16006408),Calvin Ridley (16006354),Dallas Goedert (16006652),David Montgomery (16006160),Eagles  (16006821),50000.0,108.74071428571429,139.27214285714288,179.44857142857143,55,6,1443,1504,99
Jared Goff (16006105),David Johnson (16006186),Austin Ekeler (16006162),Randall Cobb (16006542),Calvin Ridley (16006354),Jamison Crowder (16006412),Dallas Goedert (16006652),David Montgomery (16006160),Texans  (16006822),49700.0,109.40642857142858,139.2392857142857,181.66428571428568,34,7,615,656,15
Jared Goff (16006105),David Johnson (16006186),Giovani Bernard (16006212),Tee Higgins (16006408),Calvin Ridley (16006354),Amari Cooper (16006384),Dallas Goedert (16006652),Austin Ekeler (16006162),Texans  (16006822),49700.0,102.91642857142858,139.2292857142857,185.81428571428572,1819,8,74,1901,160
Jared Goff (16006105),Melvin Gordon III (16006198),Austin Ekeler (16006162),Randall Cobb (16006542),Calvin Ridley (16006354),Amari Cooper (16006384),Dallas Goedert (16006652),Jonathan Taylor (16006164),Texans  (16006822),50000.0,108.65642857142858,139.20928571428573,183.9442857142857,58,9,211,278,1
Jared Goff (16006105),David Johnson (16006186),Austin Ekeler (16006162),Randall Cobb (16006542),Tee Higgins (16006408),Calvin Ridley (16006354),Dallas Goedert (16006652),Jonathan Taylor (16006164),Texans  (16006822),49500.0,107.02642857142858,139.20928571428573,183.88428571428568,192,10,224,426,3
Matt Ryan (16006106),David Johnson (16006186),Austin Ekeler (16006162),Randall Cobb (16006542),Tee Higgins (16006408),Calvin Ridley (16006354),Dallas Goedert (16006652),Nick Chubb (16006158),Texans  (16006822),49900.0,107.24642857142857,139.0082857142857,182.9942857142857,167,11,352,530,8
Jared Goff (16006105),David Johnson (16006186),Melvin Gordon III (16006198),Jerry Jeudy (16006446),Calvin Ridley (16006354),Amari Cooper (16006384),Dallas Goedert (16006652),Austin Ekeler (16006162),Texans  (16006822),49500.0,104.54642857142858,138.9492857142857,190.5342857142857,825,12,1,838,25
Matt Ryan (16006106),David Johnson (16006186),Austin Ekeler (16006162),Randall Cobb (16006542),Sterling Shepard (16006410),Calvin Ridley (16006354),Dallas Goedert (16006652),David Montgomery (16006160),Texans  (16006822),49600.0,111.06642857142857,138.9432857142857,179.9242857142857,3,13,1234,1250,66
Matt Ryan (16006106),David Johnson (16006186),Austin Ekeler (16006162),Randall Cobb (16006542),Tee Higgins (16006408),Calvin Ridley (16006354),Dallas Goedert (16006652),David Montgomery (16006160),Eagles  (16006821),49900.0,109.5607142857143,138.89614285714285,178.90857142857143,28,14,1704,1746,130
Matt Ryan (16006106),David Johnson (16006186),Austin Ekeler (16006162),Randall Cobb (16006542),Calvin Ridley (16006354),Jamison Crowder (16006412),Dallas Goedert (16006652),David Montgomery (16006160),Texans  (16006822),49600.0,110.22642857142858,138.86328571428572,181.1242857142857,11,15,786,812,23
