,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Travis Kelce,KC,7.2,6.3,6.8,98.1,83.0,89.6,1.0,0.5,0.7,0.0,0.1,0.1,14.8,11.8,13.0,16,TE
1,Darren Waller,LV,7.1,6.0,6.4,81.0,66.0,74.8,1.0,0.5,0.6,0.0,0.1,0.1,12.6,9.7,10.7,16,TE
2,Mark Andrews,BAL,6.0,3.3,4.4,66.0,42.8,55.3,1.0,0.4,0.6,0.0,0.0,0.0,12.6,7.3,8.9,16,TE
3,TJ Hockenson,DET,6.0,4.2,4.8,63.0,45.6,53.3,1.0,0.3,0.5,0.0,0.1,0.0,12.3,7.0,8.2,16,TE
4,Robert Tonyan,GB,5.0,3.1,3.9,55.0,37.2,44.7,1.0,0.4,0.6,0.0,0.0,0.0,11.5,5.8,8.0,16,TE
5,George Kittle,SF,5.7,3.5,4.5,69.6,41.9,57.0,1.0,0.1,0.4,0.0,0.0,0.0,11.5,5.6,7.9,16,TE
6,Logan Thomas,WAS,6.0,4.2,4.8,65.0,37.8,46.8,1.0,0.2,0.5,0.0,0.0,0.0,12.5,5.7,7.5,16,TE
7,Dallas Goedert,PHI,4.5,3.6,4.1,49.0,42.0,45.7,1.0,0.3,0.5,0.0,0.1,0.0,10.4,6.1,7.4,16,TE
8,Jared Cook,NO,5.0,2.5,3.6,59.5,33.9,47.3,1.0,0.2,0.4,0.0,0.1,0.0,11.5,5.2,7.3,16,TE
9,Rob Gronkowski,TB,5.0,3.0,3.7,66.2,36.7,49.9,0.5,0.0,0.3,0.0,0.0,0.0,7.2,5.4,6.8,16,TE
10,Noah Fant,DEN,4.5,3.6,4.0,51.0,39.8,45.8,0.5,0.0,0.3,0.0,0.1,0.0,6.6,4.5,6.4,16,TE
11,Evan Engram,NYG,5.4,4.0,4.6,60.9,43.9,49.3,0.3,0.0,0.2,0.0,0.1,0.0,7.1,4.6,5.9,16,TE
12,Hayden Hurst,ATL,4.4,3.0,3.5,49.2,32.2,39.5,1.0,0.1,0.3,0.0,0.0,0.0,10.0,4.4,5.9,16,TE
13,Austin Hooper,CLE,5.2,3.0,3.6,53.5,32.2,38.5,0.4,0.0,0.2,0.0,0.0,0.0,6.0,3.6,5.2,16,TE
14,Jonnu Smith,TEN,5.1,2.2,3.3,57.8,24.8,37.7,0.4,0.0,0.2,0.0,0.0,0.0,7.2,4.0,5.2,16,TE
15,Eric Ebron,PIT,4.4,2.9,3.6,48.9,35.0,40.7,0.3,0.0,0.2,0.0,0.1,0.0,6.2,3.5,5.2,16,TE
16,Mike Gesicki,MIA,4.0,1.5,3.1,45.0,20.1,37.4,0.4,0.0,0.2,0.0,0.1,0.0,6.4,3.2,5.1,16,TE
17,Tyler Higbee,LAR,4.2,2.8,3.5,46.6,32.4,38.8,0.3,0.0,0.2,0.0,0.0,0.0,5.9,4.1,5.0,16,TE
18,Dalton Schultz,DAL,5.0,2.9,3.7,49.3,28.0,38.2,0.3,0.0,0.2,0.0,0.1,0.0,6.0,3.6,4.9,16,TE
19,Zach Ertz,PHI,4.6,3.0,3.5,48.3,31.8,38.5,0.3,0.0,0.2,0.0,0.0,0.0,5.9,3.3,4.8,16,TE
20,Jordan Akins,HOU,4.1,2.8,3.3,47.7,32.0,37.9,0.3,0.0,0.2,0.0,0.0,0.0,5.5,4.2,4.8,16,TE
21,Cole Kmet,CHI,4.6,2.3,3.1,51.0,24.2,34.6,0.3,0.0,0.2,0.0,0.0,0.0,5.3,3.4,4.5,16,TE
22,Irv Smith,MIN,4.5,2.3,3.1,47.0,28.8,34.9,0.3,0.0,0.2,0.0,0.0,0.0,5.0,3.8,4.5,16,TE
23,Dan Arnold,ARI,4.0,1.9,2.5,41.2,22.7,31.8,0.3,0.0,0.2,0.0,0.0,0.0,5.0,3.4,4.4,16,TE
24,Tyler Eifert,JAC,3.6,2.4,3.0,40.2,23.1,32.5,0.3,0.0,0.1,0.0,0.0,0.0,5.1,2.9,4.1,16,TE
25,Dawson Knox,BUF,3.5,1.9,2.5,45.0,22.5,29.6,0.3,0.0,0.2,0.0,0.2,0.1,5.0,3.2,3.7,16,TE
26,Jimmy Graham,CHI,2.7,2.0,2.4,30.6,21.3,25.3,0.3,0.0,0.2,0.0,0.0,0.0,4.4,2.3,3.6,16,TE
27,Donald Parham,LAC,3.0,0.6,2.3,38.0,5.0,25.5,0.3,0.0,0.1,0.0,0.0,0.0,4.7,0.9,3.4,16,TE
28,Gerald Everett,LAR,3.0,1.0,2.5,34.0,13.0,27.4,0.2,0.0,0.1,0.0,0.1,0.0,4.1,1.3,3.3,16,TE
29,Drew Sample,CIN,4.0,2.3,2.9,34.2,18.0,26.8,0.2,0.0,0.1,0.0,0.1,0.0,4.3,1.9,3.1,16,TE
30,Jordan Reed,SF,3.8,0.9,2.3,37.0,8.5,23.1,0.3,0.0,0.1,0.0,0.0,0.0,5.3,1.0,3.1,16,TE
31,Anthony Firkser,TEN,2.8,1.2,2.1,31.0,13.7,23.7,0.2,0.0,0.1,0.0,0.0,0.0,4.1,1.9,3.1,16,TE
32,Trey Burton,IND,3.1,1.4,2.1,29.3,17.0,21.9,0.2,0.0,0.1,0.0,0.0,0.0,4.1,2.4,2.9,16,TE
33,Chris Herndon,NYJ,2.4,1.3,1.9,27.4,15.7,20.9,0.2,0.0,0.1,0.0,0.1,0.0,3.4,2.1,2.6,16,TE
34,Cameron Brate,TB,2.2,1.0,1.7,23.4,10.8,17.6,0.3,0.0,0.1,0.0,0.0,0.0,3.7,1.1,2.6,16,TE
35,Darren Fells,HOU,2.0,0.7,1.3,28.2,7.1,16.3,0.4,0.0,0.2,0.0,0.0,0.0,5.2,1.3,2.5,16,TE
36,Mo Alie-Cox,IND,2.1,1.0,1.7,28.0,11.0,21.1,0.1,0.0,0.1,0.0,0.1,0.0,3.7,1.1,2.5,16,TE
37,Jacob Hollister,SEA,3.6,1.0,2.1,31.3,11.4,20.3,0.2,0.0,0.1,0.0,0.0,0.0,3.3,1.6,2.5,16,TE
38,Harrison Bryant,CLE,3.3,1.2,1.8,31.2,13.7,18.6,0.2,0.0,0.1,0.0,0.3,0.1,3.2,2.1,2.5,16,TE
39,Tyler Conklin,MIN,2.3,1.4,1.9,28.0,16.0,20.4,0.1,0.0,0.1,0.0,0.0,0.0,2.9,2.2,2.5,16,TE
40,Durham Smythe,MIA,3.1,1.2,1.8,27.1,11.8,16.7,0.3,0.0,0.1,0.0,0.0,0.0,4.1,1.6,2.4,16,TE
41,Jack Doyle,IND,2.6,1.3,1.7,24.7,14.6,17.4,0.2,0.0,0.1,0.0,0.1,0.0,2.7,1.9,2.3,16,TE
42,James O'Shaughnessy,JAC,2.2,1.1,1.7,21.3,10.7,16.6,0.1,0.0,0.1,0.0,0.0,0.0,2.9,1.5,2.2,16,TE
43,Will Dissly,SEA,1.8,1.0,1.4,22.4,11.4,16.0,0.2,0.0,0.1,0.0,0.0,0.0,3.3,1.4,2.1,16,TE
44,Ian Thomas,CAR,2.4,1.6,1.9,20.9,12.0,16.5,0.1,0.0,0.1,0.0,0.0,0.0,2.5,1.7,2.1,16,TE
45,David Njoku,CLE,1.8,0.6,1.2,21.7,6.9,15.4,0.2,0.0,0.1,0.0,0.0,0.0,3.4,1.2,2.1,16,TE
46,MyCole Pruitt,TEN,1.7,1.0,1.3,18.3,11.0,13.5,0.3,0.0,0.1,0.0,0.0,0.0,3.1,1.7,2.1,16,TE
47,Adam Trautman,NO,1.9,0.8,1.3,18.8,8.6,13.7,0.2,0.1,0.1,0.0,0.0,0.0,3.1,1.4,2.0,16,TE
48,Tyler Kroft,BUF,1.4,0.7,1.1,14.4,7.0,10.7,0.3,0.0,0.2,0.0,0.0,0.0,3.2,3.2,2.0,16,TE
49,Adam Shaheen,MIA,2.1,0.7,1.1,20.5,7.4,12.2,0.3,0.0,0.1,0.0,0.0,0.0,3.1,1.2,1.9,16,TE
50,Ross Dwelley,SF,1.6,1.3,1.4,18.6,12.0,14.8,0.1,0.0,0.1,0.0,0.0,0.0,2.5,1.8,1.9,16,TE
51,Marcedes Lewis,GB,1.4,0.9,1.1,14.7,10.0,12.3,0.2,0.0,0.1,0.0,0.0,0.0,2.6,1.5,1.9,16,TE
52,Nick Vannett,DEN,2.1,0.8,1.4,19.1,6.5,12.9,0.1,0.0,0.1,0.0,0.0,0.0,2.3,1.3,1.9,16,TE
53,Jesse James,DET,1.9,0.8,1.4,19.6,7.9,14.0,0.1,0.0,0.1,0.0,0.0,0.0,2.3,1.1,1.8,16,TE
54,Troy Fumagalli,DEN,1.5,1.1,1.4,16.0,12.0,13.4,0.1,0.0,0.1,0.0,0.0,0.0,2.0,1.6,1.8,16,TE
55,Ricky Seals-Jones,KC,0.8,0.8,0.8,11.5,11.5,11.5,0.1,0.1,0.1,0.0,0.0,0.0,1.8,1.8,1.8,16,TE
56,Greg Olsen,SEA,1.5,1.2,1.3,17.4,11.1,14.3,0.1,0.0,0.1,0.0,0.0,0.0,1.7,1.7,1.7,16,TE
57,Foster Moreau,LV,1.7,0.4,0.9,18.8,6.0,11.6,0.2,0.0,0.1,0.0,0.0,0.0,2.7,1.2,1.7,16,TE
58,Virgil Green,LAC,0.9,0.9,0.9,9.7,9.7,9.7,0.1,0.1,0.1,0.0,0.0,0.0,1.6,1.6,1.6,16,TE
