,Player,Salary,Position
36,Julio Jones,6800.0,WR
18,Cam Akers,6300.0,RB
19,Clyde Edwards-Helaire,6000.0,RB
20,Joe Mixon,5500.0,RB
21,Duke Johnson,5000.0,RB
37,Tyler Boyd,4900.0,WR
0,Ben DiNucci,4800.0,QB
70,Hunter Henry,4700.0,TE
1,PJ Walker,4500.0,QB
2,Jeff Driskel,4400.0,QB
4,Jake Luton,4300.0,QB
3,Will Grier,4300.0,QB
22,Phillip Lindsay,4200.0,RB
6,Trace McSorley,4100.0,QB
5,Robert Griffin,4100.0,QB
29,Saquon Barkley,4000.0,RB
28,Marlon Mack,4000.0,RB
34,Jason Huntley,4000.0,RB
30,Ryquell Armstead,4000.0,RB
31,Tarik Cohen,4000.0,RB
32,DeeJay Dallas,4000.0,RB
33,Travis Homer,4000.0,RB
25,Mike Warren,4000.0,RB
35,Sewo Olonilua,4000.0,RB
26,Bryce Love,4000.0,RB
27,Trey Edmunds,4000.0,RB
24,Reggie Bonnafon,4000.0,RB
13,Clayton Thorson,4000.0,QB
7,Steven Montez,4000.0,QB
8,Taylor Heinicke,4000.0,QB
9,Kyle Allen,4000.0,QB
11,Easton Stick,4000.0,QB
12,James Morgan,4000.0,QB
10,Josh Dobbs,4000.0,QB
14,Joe Webb,4000.0,QB
15,Joe Burrow,4000.0,QB
16,Josh McCown,4000.0,QB
17,Dak Prescott,4000.0,QB
23,Rodney Smith,4000.0,RB
38,Golden Tate,3400.0,WR
63,DeAndre Carter,3000.0,WR
57,Cody Core,3000.0,WR
58,Auden Tate,3000.0,WR
59,John Ross,3000.0,WR
60,Will Fuller,3000.0,WR
61,Collin Johnson,3000.0,WR
62,Dede Westbrook,3000.0,WR
69,Malik Turner,3000.0,WR
64,Dwayne Harris,3000.0,WR
65,Penny Hart,3000.0,WR
66,Josh Gordon,3000.0,WR
67,Phillip Dorsett,3000.0,WR
68,Trishton Jackson,3000.0,WR
55,Dante Pettis,3000.0,WR
56,David Sills,3000.0,WR
45,Dezmon Patmon,3000.0,WR
54,DeAndrew White,3000.0,WR
46,Parris Campbell,3000.0,WR
53,Antoine Wesley,3000.0,WR
39,Keith Kirkwood,3000.0,WR
40,Omar Bayless,3000.0,WR
42,Kelvin Harmon,3000.0,WR
43,Emanuel Hall,3000.0,WR
44,Marcus Johnson,3000.0,WR
41,Antonio Gandy-Golden,3000.0,WR
47,Olamide Zaccheaus,3000.0,WR
48,Courtland Sutton,3000.0,WR
49,Lawrence Cager,3000.0,WR
50,Taywan Taylor,3000.0,WR
51,Odell Beckham,3000.0,WR
52,JoJo Natson,3000.0,WR
80,Clark Harris,2500.0,TE
88,Joshua Perkins,2500.0,TE
87,Richard Rodgers,2500.0,TE
86,Tyler Ott,2500.0,TE
85,Patrick Scales,2500.0,TE
84,Darion Clark,2500.0,TE
83,Josh Oliver,2500.0,TE
82,Ben Ellefson,2500.0,TE
81,Tyler Davis,2500.0,TE
73,Kevin Rader,2500.0,TE
79,CJ Uzomah,2500.0,TE
78,Nick Boyle,2500.0,TE
77,Austin Fort,2500.0,TE
76,Jake Butt,2500.0,TE
75,Albert Okwuegbunam,2500.0,TE
74,James Winchester,2500.0,TE
72,Thaddeus Moss,2500.0,TE
71,Temarrick Hemingway,2500.0,TE
89,Blake Jarwin,2500.0,TE
