,Player,Team,Position,Salary,Name + ID,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX
0,Mitchell Trubisky,CHI,QB,5700.0,Mitchell Trubisky (16006107),16.504999999999995,19.797,22.29
1,Jared Goff,LAR,QB,5900.0,Jared Goff (16006105),15.009999999999998,20.400000000000006,26.579999999999995
2,Matt Ryan,ATL,QB,5800.0,Matt Ryan (16006106),15.83,20.024000000000004,26.04
0,Darrell Henderson,LAR,RB,4500.0,Darrell Henderson Jr. (16006220),7.75,12.54,18.6
1,David Johnson,HOU,RB,6100.0,David Johnson (16006186),12.030000000000001,16.79,24.13
2,Melvin Gordon,DEN,RB,5600.0,Melvin Gordon III (16006198),10.500000000000002,14.81,20.06
3,Giovani Bernard,CIN,RB,4800.0,Giovani Bernard (16006212),6.44,12.57,17.27
4,Austin Ekeler,LAC,RB,7600.0,Austin Ekeler (16006162),14.73,19.459999999999997,27.650000000000002
6,David Montgomery,CHI,RB,7700.0,David Montgomery (16006160),14.67,17.77,22.049999999999997
8,Jonathan Taylor,IND,RB,7300.0,Jonathan Taylor (16006164),12.070000000000002,16.65,24.0
13,Nick Chubb,CLE,RB,7800.0,Nick Chubb (16006158),11.47,16.824999999999996,23.65
0,Randall Cobb,HOU,WR,3000.0,Randall Cobb (16006542),10.84,10.84,10.84
1,Jerry Jeudy,DEN,WR,3700.0,Jerry Jeudy (16006446),6.7700000000000005,10.440000000000001,17.3
2,Tee Higgins,CIN,WR,4700.0,Tee Higgins (16006408),9.200000000000001,12.96,15.370000000000001
3,AJ Green,CIN,WR,3400.0,A.J. Green (16006456),6.4,9.23,11.54
4,Darius Slayton,NYG,WR,3800.0,Darius Slayton (16006436),7.640000000000001,10.14,12.280000000000001
5,Sterling Shepard,NYG,WR,4500.0,Sterling Shepard (16006410),9.820000000000002,11.95,13.900000000000002
6,Calvin Ridley,ATL,WR,8500.0,Calvin Ridley (16006354),17.375,22.525,29.4
7,Cam Sims,WAS,WR,3300.0,Cam Sims (16006460),5.16,8.72,10.829999999999998
8,Jamison Crowder,NYJ,WR,4500.0,Jamison Crowder (16006412),8.98,11.870000000000001,15.1
9,Amari Cooper,DAL,WR,5700.0,Amari Cooper (16006384),12.360000000000001,14.940000000000001,19.5
0,Dallas Goedert,PHI,TE,3600.0,Dallas Goedert (16006652),9.500000000000002,11.67,15.4
1,Zach Ertz,PHI,TE,3100.0,Zach Ertz (16006662),6.18,8.55,11.23
2,Evan Engram,NYG,TE,3900.0,Evan Engram (16006650),8.290000000000001,10.73,13.29
3,Dalton Schultz,DAL,TE,3200.0,Dalton Schultz (16006660),5.6000000000000005,8.72,11.73
4,Hayden Hurst,ATL,TE,3400.0,Hayden Hurst (16006656),6.82,9.25,15.32
0,Texans,HOU,DST,2800.0,Texans  (16006822),6.2714285714285705,7.914285714285715,10.514285714285712
1,Eagles,PHI,DST,2900.0,Eagles  (16006821),5.385714285714285,6.857142857142857,8.02857142857143
2,Panthers,CAR,DST,2700.0,Panthers  (16006823),4.628571428571428,6.3,7.67142857142857
