,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Texans,4.8,2.6,3.3,1.2,0.7,0.9,1.0,0.5,0.7,1.4,0.8,1.0,0.2,0.1,0.2,0.1,0.0,0.0,20.6,15.3,18.5,280.0,337.5,313.5,11.2,6.0,8.5,16,DST
1,Ravens,3.2,2.5,2.8,1.2,0.8,0.9,1.2,0.6,0.8,1.7,1.1,1.3,0.2,0.1,0.2,0.1,0.0,0.0,17.5,15.8,16.7,282.0,313.9,300.0,9.2,7.1,8.4,16,DST
2,Browns,3.1,2.4,2.8,1.3,0.8,1.0,1.0,0.5,0.6,1.4,0.9,1.1,0.2,0.1,0.2,0.1,0.0,0.1,21.4,16.0,18.7,274.0,299.1,286.4,8.5,6.3,8.3,16,DST
3,Bears,3.5,1.7,2.6,1.0,0.9,0.9,0.8,0.5,0.6,1.1,0.9,1.0,0.2,0.1,0.2,0.1,0.0,0.0,21.1,16.9,18.8,292.0,354.0,327.0,7.6,6.3,7.8,16,DST
4,Bills,3.2,2.0,2.5,1.1,0.8,1.0,0.7,0.5,0.6,1.0,0.9,1.0,0.2,0.1,0.2,0.1,0.0,0.0,22.6,17.6,19.9,304.0,326.1,317.6,8.9,6.2,7.7,16,DST
5,Cardinals,3.4,1.9,2.8,1.4,0.9,1.1,1.0,0.5,0.7,1.5,0.8,1.2,0.3,0.1,0.2,0.1,0.0,0.0,22.4,18.9,20.8,324.2,355.3,341.2,9.3,6.8,7.5,16,DST
6,Eagles,3.4,2.3,2.9,1.0,0.8,0.9,1.0,0.5,0.7,1.4,0.8,1.0,0.2,0.1,0.2,0.0,0.0,0.0,24.0,20.8,23.1,335.2,347.6,342.9,8.9,6.0,7.0,16,DST
7,Rams,3.8,2.6,3.1,1.0,0.6,0.8,0.8,0.5,0.6,1.1,0.7,0.9,0.2,0.1,0.1,0.1,0.0,0.1,24.3,21.2,22.8,311.0,351.9,336.9,8.2,6.3,6.8,16,DST
8,Buccaneers,3.1,2.8,2.9,1.1,0.6,0.8,0.7,0.5,0.6,1.1,0.9,1.0,0.2,0.1,0.2,0.0,0.0,0.0,25.5,20.8,22.5,294.0,348.1,330.0,7.7,6.3,6.8,16,DST
9,Chiefs,3.1,2.4,2.7,1.2,0.7,1.0,0.7,0.4,0.5,0.8,0.7,0.8,0.3,0.1,0.2,0.0,0.0,0.0,21.8,19.7,21.2,350.0,369.4,356.9,8.2,6.5,6.8,16,DST
10,Panthers,3.2,2.4,2.9,0.9,0.7,0.8,1.0,0.5,0.7,1.4,0.8,1.0,0.2,0.0,0.1,0.1,0.0,0.1,25.1,21.2,22.8,290.0,342.9,319.2,8.0,6.3,6.7,16,DST
11,Dolphins,4.1,1.8,2.5,1.4,0.6,0.9,1.1,0.5,0.7,1.5,1.0,1.2,0.2,0.1,0.2,0.1,0.0,0.0,25.1,20.2,22.7,363.1,384.0,371.4,9.3,5.9,6.7,16,DST
12,Saints,3.0,2.5,2.7,1.2,0.7,0.9,0.9,0.5,0.6,1.2,0.7,0.9,0.2,0.0,0.1,0.1,0.0,0.1,22.0,18.3,20.4,319.0,357.7,343.7,8.2,6.3,6.7,16,DST
13,Cowboys,3.4,2.4,2.8,1.0,0.2,0.6,0.9,0.5,0.7,1.3,0.7,1.0,0.2,0.0,0.1,0.0,0.0,0.0,26.5,19.9,24.1,344.0,377.9,360.9,8.1,6.0,6.3,16,DST
14,Team,3.3,2.0,2.6,1.3,0.7,0.9,0.7,0.4,0.5,1.3,0.7,1.0,0.2,0.0,0.1,0.0,0.0,0.0,21.5,18.7,20.2,321.0,342.7,333.6,7.5,5.8,6.3,16,DST
15,Broncos,3.4,1.8,2.5,0.9,0.7,0.8,0.7,0.4,0.6,0.9,0.6,0.8,0.2,0.1,0.1,0.0,0.0,0.0,26.2,21.9,24.8,358.0,408.6,378.6,6.9,5.6,6.0,16,DST
16,Bengals,2.9,2.5,2.6,0.9,0.5,0.7,0.6,0.3,0.5,0.9,0.5,0.7,0.2,0.1,0.1,0.0,0.0,0.0,27.6,20.3,25.0,344.5,393.0,370.3,6.6,5.6,6.0,16,DST
17,49ers,3.1,1.8,2.3,1.1,0.7,0.8,0.8,0.5,0.6,1.1,0.8,0.9,0.2,0.0,0.1,0.0,0.0,0.0,28.0,21.4,25.7,329.0,378.5,358.8,7.3,4.5,5.9,16,DST
18,Steelers,3.4,1.5,2.2,1.1,0.8,0.9,0.7,0.4,0.5,0.9,0.7,0.8,0.2,0.0,0.1,0.2,0.0,0.1,23.0,19.2,21.3,319.0,354.1,336.8,6.9,5.4,5.9,16,DST
19,Seahawks,2.9,1.2,1.9,1.0,0.8,0.9,0.9,0.5,0.6,1.2,0.9,1.0,0.2,0.0,0.2,0.1,0.0,0.0,23.3,20.6,22.1,356.4,373.3,363.9,6.3,6.0,5.9,16,DST
