,Unnamed: 0,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
0,0,RB,Christian McCaffrey (16006156),Christian McCaffrey,16006156.0,RB/FLEX,9200.0,CAR@WAS 12/27/2020 04:05PM ET,CAR,30.13
1,1,WR,Tyreek Hill (16006352),Tyreek Hill,16006352.0,WR/FLEX,9000.0,ATL@KC 12/27/2020 01:00PM ET,KC,23.39
2,2,QB,Patrick Mahomes (16006097),Patrick Mahomes,16006097.0,QB,8500.0,ATL@KC 12/27/2020 01:00PM ET,KC,27.8
3,3,WR,Calvin Ridley (16006354),Calvin Ridley,16006354.0,WR/FLEX,8500.0,ATL@KC 12/27/2020 01:00PM ET,ATL,21.12
4,4,TE,Travis Kelce (16006636),Travis Kelce,16006636.0,TE/FLEX,8500.0,ATL@KC 12/27/2020 01:00PM ET,KC,22.07
5,5,QB,Lamar Jackson (16006098),Lamar Jackson,16006098.0,QB,8000.0,NYG@BAL 12/27/2020 01:00PM ET,BAL,23.4
6,6,RB,Nick Chubb (16006158),Nick Chubb,16006158.0,RB/FLEX,7800.0,CLE@NYJ 12/27/2020 01:00PM ET,CLE,18.93
7,7,WR,DK Metcalf (16006356),DK Metcalf,16006356.0,WR/FLEX,7800.0,LAR@SEA 12/27/2020 04:25PM ET,SEA,19.31
8,8,RB,David Montgomery (16006160),David Montgomery,16006160.0,RB/FLEX,7700.0,CHI@JAX 12/27/2020 01:00PM ET,CHI,17.42
9,9,WR,Allen Robinson II (16006358),Allen Robinson,16006358.0,WR/FLEX,7700.0,CHI@JAX 12/27/2020 01:00PM ET,CHI,17.56
10,10,RB,Austin Ekeler (16006162),Austin Ekeler,16006162.0,RB/FLEX,7600.0,DEN@LAC 12/27/2020 04:05PM ET,LAC,16.55
11,11,QB,Deshaun Watson (16006099),Deshaun Watson,16006099.0,QB,7600.0,CIN@HOU 12/27/2020 01:00PM ET,HOU,24.91
12,12,WR,Keenan Allen (16006360),Keenan Allen,16006360.0,WR/FLEX,7500.0,DEN@LAC 12/27/2020 04:05PM ET,LAC,18.51
13,13,QB,Justin Herbert (16006100),Justin Herbert,16006100.0,QB,7400.0,DEN@LAC 12/27/2020 04:05PM ET,LAC,24.24
14,14,RB,Jonathan Taylor (16006164),Jonathan Taylor,16006164.0,RB/FLEX,7300.0,IND@PIT 12/27/2020 01:00PM ET,IND,15.54
15,15,QB,Russell Wilson (16006101),Russell Wilson,16006101.0,QB,7300.0,LAR@SEA 12/27/2020 04:25PM ET,SEA,25.27
16,16,WR,Robert Woods (16006362),Robert Woods,16006362.0,WR/FLEX,7000.0,LAR@SEA 12/27/2020 04:25PM ET,LAR,16.83
17,17,QB,Jalen Hurts (16006102),Jalen Hurts,16006102.0,QB,7000.0,PHI@DAL 12/27/2020 04:25PM ET,PHI,6.88
18,18,RB,Miles Sanders (16006166),Miles Sanders,16006166.0,RB/FLEX,7000.0,PHI@DAL 12/27/2020 04:25PM ET,PHI,14.54
19,19,WR,Jarvis Landry (16006364),Jarvis Landry,16006364.0,WR/FLEX,6900.0,CLE@NYJ 12/27/2020 01:00PM ET,CLE,12.47
20,20,WR,Julio Jones (16006366),Julio Jones,16006366.0,WR/FLEX,6800.0,ATL@KC 12/27/2020 01:00PM ET,ATL,17.23
21,21,RB,James Robinson (16006168),James Robinson,16006168.0,RB/FLEX,6800.0,CHI@JAX 12/27/2020 01:00PM ET,JAC,18.81
22,22,WR,Terry McLaurin (16006368),Terry McLaurin,16006368.0,WR/FLEX,6700.0,CAR@WAS 12/27/2020 04:05PM ET,WAS,15.49
23,23,RB,Ezekiel Elliott (16006170),Ezekiel Elliott,16006170.0,RB/FLEX,6700.0,PHI@DAL 12/27/2020 04:25PM ET,DAL,15.28
24,24,RB,Antonio Gibson (16006172),Antonio Gibson,16006172.0,RB/FLEX,6600.0,CAR@WAS 12/27/2020 04:05PM ET,WAS,15.93
25,25,WR,Cooper Kupp (16006370),Cooper Kupp,16006370.0,WR/FLEX,6600.0,LAR@SEA 12/27/2020 04:25PM ET,LAR,14.58
26,26,RB,Mike Davis (16006174),Mike Davis,16006174.0,RB/FLEX,6500.0,CAR@WAS 12/27/2020 04:05PM ET,CAR,14.19
27,27,WR,Tyler Lockett (16006372),Tyler Lockett,16006372.0,WR/FLEX,6500.0,LAR@SEA 12/27/2020 04:25PM ET,SEA,16.5
28,28,RB,Tony Pollard (16006176),Tony Pollard,16006176.0,RB/FLEX,6500.0,PHI@DAL 12/27/2020 04:25PM ET,DAL,7.96
29,29,RB,J.D. McKissic (16006180),JD McKissic,16006180.0,RB/FLEX,6400.0,CAR@WAS 12/27/2020 04:05PM ET,WAS,11.51
30,30,QB,Ben Roethlisberger (16006103),Ben Roethlisberger,16006103.0,QB,6400.0,IND@PIT 12/27/2020 01:00PM ET,PIT,18.91
31,31,RB,Chris Carson (16006178),Chris Carson,16006178.0,RB/FLEX,6400.0,LAR@SEA 12/27/2020 04:25PM ET,SEA,16.66
32,32,WR,Diontae Johnson (16006374),Diontae Johnson,16006374.0,WR/FLEX,6300.0,IND@PIT 12/27/2020 01:00PM ET,PIT,14.97
33,33,RB,Cam Akers (16006182),Cam Akers,16006182.0,RB/FLEX,6300.0,LAR@SEA 12/27/2020 04:25PM ET,LAR,8.56
34,34,RB,J.K. Dobbins (16006184),JK Dobbins,16006184.0,RB/FLEX,6200.0,NYG@BAL 12/27/2020 01:00PM ET,BAL,9.98
35,35,WR,Brandin Cooks (16006376),Brandin Cooks,16006376.0,WR/FLEX,6200.0,CIN@HOU 12/27/2020 01:00PM ET,HOU,12.95
36,36,QB,Baker Mayfield (16006104),Baker Mayfield,16006104.0,QB,6100.0,CLE@NYJ 12/27/2020 01:00PM ET,CLE,17.17
37,37,RB,David Johnson (16006186),David Johnson,16006186.0,RB/FLEX,6100.0,CIN@HOU 12/27/2020 01:00PM ET,HOU,13.36
38,38,WR,JuJu Smith-Schuster (16006378),JuJu Smith-Schuster,16006378.0,WR/FLEX,6000.0,IND@PIT 12/27/2020 01:00PM ET,PIT,13.71
