,Player,Team,Position,Salary,Name + ID,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX
0,Matt Ryan,ATL,QB,6100.0,Matt Ryan (15560226),19.027,22.544000000000004,25.331999999999997
1,Teddy Bridgewater,CAR,QB,5900.0,Teddy Bridgewater (15560229),17.880999999999997,21.516,25.68
2,Jimmy Garoppolo,SF,QB,5500.0,Jimmy Garoppolo (15560234),15.469999999999999,19.826,24.81
0,Mike Davis,CAR,RB,6400.0,Mike Davis (15560300),10.48,18.779999999999998,25.8
1,David Johnson,HOU,RB,5200.0,David Johnson (15560324),10.38,15.200000000000001,21.38
2,Ezekiel Elliott,DAL,RB,7800.0,Ezekiel Elliott (15560282),16.63,22.63,28.254999999999995
3,Josh Jacobs,LV,RB,6300.0,Josh Jacobs (15560304),12.070000000000002,18.025,26.0
4,Derrick Henry,TEN,RB,7000.0,Derrick Henry (15560284),14.665,19.939999999999998,25.599999999999998
5,Clyde Edwards-Helaire,KC,RB,6800.0,Clyde Edwards-Helaire (15560288),13.500000000000004,19.229999999999997,23.924999999999997
6,Kareem Hunt,CLE,RB,6500.0,Kareem Hunt (15560296),9.580000000000002,17.639999999999997,26.389999999999997
7,Todd Gurley,ATL,RB,5700.0,Todd Gurley II (15560314),10.0,15.220000000000002,20.789999999999996
8,Antonio Gibson,WAS,RB,5000.0,Antonio Gibson (15560328),8.799999999999999,13.280000000000001,18.190000000000005
0,Olamide Zaccheaus,ATL,WR,3000.0,Olamide Zaccheaus (15560814),7.200000000000001,10.129999999999999,14.3
1,Darius Slayton,NYG,WR,4800.0,Darius Slayton (15560586),10.96,13.62,18.7
2,Robby Anderson,CAR,WR,5900.0,Robby Anderson (15560546),14.240000000000002,16.629999999999995,21.025
3,Terry McLaurin,WAS,WR,6100.0,Terry McLaurin (15560538),14.1,16.825000000000003,21.849999999999998
4,DeAndre Hopkins,ARI,WR,7900.0,DeAndre Hopkins (15560510),18.049999999999997,21.5,27.15
5,DJ Moore,CAR,WR,6000.0,DJ Moore (15560542),13.120000000000001,16.0,23.749999999999996
7,Jamison Crowder,NYJ,WR,5800.0,Jamison Crowder (15560548),12.000000000000002,15.22,19.5
8,DeVante Parker,MIA,WR,5900.0,DeVante Parker (15560544),11.92,15.45,19.75
9,Amari Cooper,DAL,WR,7400.0,Amari Cooper (15560514),15.25,19.349999999999998,27.200000000000003
10,AJ Brown,TEN,WR,5400.0,A.J. Brown (15560556),9.2,13.96,18.52
0,Darren Waller,LV,TE,5900.0,Darren Waller (15560854),11.84,16.43,27.249999999999996
1,Travis Kelce,KC,TE,6400.0,Travis Kelce (15560850),14.200000000000001,17.119999999999997,22.75
2,George Kittle,SF,TE,6600.0,George Kittle (15560848),13.8,17.32,27.400000000000002
3,Evan Engram,NYG,TE,4600.0,Evan Engram (15560870),8.74,11.82,15.600000000000001
4,Jonnu Smith,TEN,TE,4900.0,Jonnu Smith (15560864),8.370000000000001,12.540000000000001,16.97
0,Titans,TEN,DST,2100.0,Titans  (15561062),5.071428571428571,5.671428571428573,6.571428571428573
1,Cowboys,DAL,DST,3100.0,Cowboys  (15561050),4.5,7.000000000000001,8.299999999999999
2,Browns,CLE,DST,2700.0,Browns  (15561054),4.1571428571428575,5.957142857142858,7.3
