,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Alvin Kamara,NO,16.0,10.8,12.7,68.0,53.0,61.3,1.0,0.4,0.7,8.0,5.6,6.7,71.0,46.5,57.1,1.0,0.2,0.4,0.0,0.2,0.1,25.4,16.2,18.5,5,RB
1,Ezekiel Elliott,DAL,22.6,18.7,20.4,96.5,71.8,86.0,1.0,0.6,0.8,5.0,3.1,4.1,34.3,29.5,32.3,0.3,0.0,0.2,0.1,0.2,0.2,19.4,14.7,17.0,5,RB
2,Derrick Henry,TEN,21.8,17.5,20.2,101.0,86.5,92.8,1.0,0.5,0.8,3.0,1.4,1.9,24.0,8.4,15.4,0.2,0.0,0.1,0.1,0.2,0.1,16.3,15.3,15.7,5,RB
3,Clyde Edwards-Helaire,KC,19.5,13.1,16.9,81.5,70.4,75.4,1.0,0.2,0.7,3.8,2.9,3.3,39.5,25.6,30.9,0.3,0.0,0.2,0.0,0.2,0.1,17.8,12.1,15.4,5,RB
4,Dalvin Cook,MIN,18.2,14.4,16.4,82.7,65.0,76.2,1.0,0.3,0.7,5.0,2.6,3.5,41.0,17.0,28.4,0.2,0.0,0.1,0.1,0.2,0.2,17.5,10.9,15.0,5,RB
5,Kareem Hunt,CLE,19.0,8.6,14.5,89.0,37.0,67.6,1.0,0.2,0.6,4.0,2.5,3.3,37.4,23.8,28.8,0.4,0.0,0.2,0.0,0.2,0.1,18.0,9.2,14.3,5,RB
6,James Robinson,JAC,18.0,14.6,16.5,80.0,69.0,73.3,1.0,0.4,0.6,4.0,2.1,3.0,42.0,17.7,27.1,0.2,0.0,0.1,0.1,0.2,0.1,16.4,13.0,14.1,5,RB
7,Josh Jacobs,LV,20.2,15.3,17.9,98.8,66.0,82.5,1.0,0.3,0.6,4.0,2.2,3.0,28.0,16.7,23.0,0.1,0.0,0.1,0.1,0.2,0.1,16.8,11.1,14.1,5,RB
8,Chris Carson,SEA,19.0,13.7,16.1,84.7,61.2,69.8,1.0,0.4,0.6,3.3,2.6,3.0,25.9,17.9,22.5,0.3,0.0,0.2,0.1,0.2,0.2,16.4,11.6,13.9,5,RB
9,James Conner,PIT,19.0,13.4,15.0,75.0,59.0,64.6,1.0,0.5,0.7,4.5,2.6,3.4,37.0,21.0,27.1,0.2,0.0,0.1,0.1,0.2,0.1,16.1,12.4,13.8,5,RB
10,Mike Davis,CAR,18.0,11.7,14.5,77.0,38.0,58.9,1.0,0.2,0.6,6.3,3.5,4.8,41.0,21.8,33.9,0.3,0.0,0.2,0.1,0.2,0.1,17.4,10.8,13.5,5,RB
11,Todd Gurley,ATL,17.5,14.0,15.3,77.0,55.0,65.7,1.0,0.5,0.8,3.5,1.0,1.9,24.9,7.0,14.5,0.2,0.0,0.1,0.1,0.2,0.1,15.6,10.8,13.0,5,RB
12,Miles Sanders,PHI,16.1,11.1,13.8,70.5,53.0,61.0,0.4,0.0,0.3,5.0,3.0,4.0,45.0,31.3,37.4,1.0,0.1,0.3,0.1,0.2,0.1,16.7,11.5,12.9,5,RB
13,Joe Mixon,CIN,18.0,15.0,17.1,79.6,67.0,71.2,1.0,0.3,0.5,3.4,2.5,2.9,25.0,19.3,22.7,0.2,0.0,0.1,0.0,0.2,0.1,15.2,11.8,12.8,5,RB
14,Jonathan Taylor,IND,16.5,11.2,15.1,72.4,42.0,64.9,1.0,0.3,0.6,3.4,2.0,2.4,32.0,16.0,21.2,0.2,0.0,0.1,0.1,0.2,0.1,14.8,9.2,12.7,5,RB
15,David Johnson,HOU,16.8,13.1,15.2,65.1,52.8,59.5,1.0,0.4,0.6,3.8,1.4,2.6,39.7,15.0,25.5,0.2,0.0,0.1,0.1,0.2,0.1,14.0,11.1,12.6,5,RB
16,Ronald Jones,TB,20.0,13.3,16.7,82.0,61.7,67.6,1.0,0.4,0.5,5.0,2.2,3.1,33.0,15.8,23.3,0.1,0.0,0.1,0.1,0.2,0.1,16.2,10.5,12.4,5,RB
17,Devin Singletary,BUF,16.4,10.0,13.5,74.6,47.7,63.3,1.0,0.2,0.4,3.8,2.0,3.0,29.0,20.0,23.7,0.2,0.0,0.1,0.1,0.2,0.1,14.4,9.8,11.8,5,RB
18,Jerick McKinnon,SF,15.3,9.2,11.6,65.0,20.1,47.8,1.0,0.2,0.5,4.3,1.9,3.2,31.0,20.6,26.9,0.5,0.0,0.2,0.0,0.2,0.1,15.6,5.6,11.3,5,RB
19,Antonio Gibson,WAS,14.0,11.9,12.9,61.9,31.0,53.0,1.0,0.4,0.5,2.9,2.0,2.4,25.0,16.0,20.8,0.1,0.0,0.1,0.0,0.3,0.1,13.0,8.2,10.9,5,RB
