,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Patrick Mahomes,KC,38.0,35.1,36.6,25.0,23.0,24.1,322.0,280.4,302.1,2.8,2.0,2.4,0.0,0.8,0.5,5.0,3.2,4.4,33.3,16.4,24.7,0.4,0.0,0.2,0.0,0.2,0.1,28.2,23.3,24.5,5,QB
1,Lamar Jackson,BAL,30.4,25.9,27.8,19.8,16.8,18.3,239.6,208.0,222.0,2.3,1.0,1.8,0.0,0.7,0.5,12.3,8.0,10.3,79.6,54.4,64.1,1.0,0.3,0.5,0.1,0.4,0.3,28.1,22.5,23.8,5,QB
2,Russell Wilson,SEA,36.0,32.0,34.2,28.0,22.0,23.7,315.0,261.0,286.4,3.0,2.0,2.6,0.0,0.6,0.5,5.4,3.8,4.4,29.5,21.0,24.5,0.2,0.0,0.1,0.1,0.3,0.2,30.1,21.8,23.7,5,QB
3,Kyler Murray,ARI,38.0,33.1,35.1,25.2,21.5,23.3,286.0,232.6,252.3,2.1,1.6,1.9,0.8,1.0,0.9,10.0,6.5,7.6,59.0,29.7,45.3,0.6,0.0,0.3,0.1,0.2,0.2,26.7,20.7,21.8,5,QB
4,Josh Allen,BUF,37.0,32.6,35.4,23.0,19.5,21.9,289.0,242.4,266.8,2.3,1.3,1.8,0.7,1.0,0.8,8.0,4.0,6.7,46.3,21.0,36.4,0.7,0.0,0.4,0.1,0.5,0.3,24.7,19.5,21.7,5,QB
5,Deshaun Watson,HOU,38.0,30.0,33.3,24.0,20.0,22.1,290.0,235.0,270.3,2.3,1.6,2.0,0.6,1.0,0.7,5.7,3.0,4.7,34.0,16.0,26.9,0.5,0.0,0.3,0.0,0.3,0.2,23.7,20.8,21.2,5,QB
6,Matt Ryan,ATL,42.1,36.0,38.8,28.7,24.3,26.0,300.8,270.3,290.6,2.3,1.9,2.0,0.6,1.0,0.8,2.5,1.5,2.1,12.0,3.0,7.9,0.1,0.0,0.1,0.1,0.2,0.2,23.0,19.0,19.0,5,QB
7,Teddy Bridgewater,CAR,38.0,35.4,36.6,26.0,24.0,25.2,292.0,270.9,280.4,2.0,1.6,1.8,0.7,1.0,0.8,5.9,0.8,3.7,29.0,3.0,13.8,0.2,0.0,0.1,0.0,0.2,0.1,23.3,17.2,18.8,5,QB
8,Gardner Minshew,JAC,39.0,34.8,36.5,24.0,22.1,23.4,294.0,248.9,270.7,2.0,1.5,1.9,0.5,1.0,0.7,5.3,2.6,4.0,26.7,15.0,20.5,0.1,0.0,0.0,0.2,0.4,0.3,24.2,17.7,18.5,5,QB
9,Drew Brees,NO,35.7,32.0,33.7,25.8,23.0,24.4,317.6,248.0,272.5,2.2,1.4,1.9,0.0,0.6,0.5,1.5,0.5,1.1,8.0,0.1,2.2,0.1,0.0,0.1,0.0,0.2,0.1,21.8,15.1,18.1,5,QB
10,Ben Roethlisberger,PIT,41.0,33.9,37.2,26.0,22.1,24.2,305.0,262.0,279.7,2.1,1.7,1.9,0.6,1.0,0.8,2.9,0.0,1.8,14.0,0.0,5.4,0.1,0.0,0.1,0.1,0.3,0.1,22.9,17.3,18.0,5,QB
11,Justin Herbert,LAC,45.0,33.7,37.0,30.0,20.8,24.3,386.0,245.0,284.7,2.0,1.4,1.6,0.8,1.2,1.0,4.8,3.0,3.6,24.8,10.9,16.8,0.2,0.0,0.1,0.1,0.5,0.3,24.0,16.6,17.9,5,QB
12,Jared Goff,LAR,39.0,31.5,35.1,25.0,20.7,22.9,299.0,241.4,273.5,2.0,1.4,1.8,0.6,1.0,0.8,4.0,2.6,3.3,16.0,4.2,9.5,0.2,0.0,0.1,0.1,0.3,0.2,23.9,15.5,17.6,5,QB
13,Jimmy Garoppolo,SF,33.7,30.5,31.8,22.5,20.0,21.5,299.0,243.0,266.4,2.1,1.7,1.9,0.0,1.1,0.7,2.9,0.0,2.0,10.0,1.0,5.5,0.1,0.0,0.1,0.1,0.2,0.2,20.3,17.2,17.5,5,QB
14,Daniel Jones,NYG,39.6,34.0,37.2,24.6,23.0,23.7,275.0,244.0,255.8,1.9,1.0,1.6,0.9,1.1,1.0,8.0,3.6,4.8,30.0,21.4,26.0,0.2,0.0,0.1,0.1,0.8,0.5,20.8,16.9,16.9,5,QB
15,Tom Brady,TB,37.7,33.0,35.5,24.0,20.5,22.7,274.0,240.0,260.9,2.0,1.5,1.7,0.0,0.8,0.6,2.4,1.0,1.9,11.0,1.0,4.0,0.1,0.0,0.1,0.1,0.3,0.1,21.8,15.2,16.8,5,QB
16,Kirk Cousins,MIN,39.0,29.1,33.8,25.0,19.8,22.4,287.0,246.3,264.0,2.0,1.5,1.8,0.7,1.1,0.8,3.0,1.8,2.3,11.0,3.9,7.8,0.1,0.0,0.1,0.1,0.3,0.2,22.7,14.6,16.8,5,QB
17,Joe Burrow,CIN,45.0,32.1,39.9,31.0,20.6,25.7,292.9,238.4,267.4,2.0,1.2,1.4,0.5,1.0,0.8,4.8,2.9,3.6,23.2,11.8,17.2,0.2,0.0,0.1,0.1,0.4,0.2,24.0,15.7,16.7,5,QB
18,Ryan Tannehill,TEN,35.0,25.4,30.3,22.0,17.4,19.9,257.5,197.0,240.2,2.0,1.2,1.7,0.5,1.0,0.8,3.6,2.0,3.0,17.6,11.0,13.7,0.2,0.0,0.1,0.1,0.5,0.3,21.9,14.6,16.5,5,QB
19,Ryan Fitzpatrick,MIA,40.0,33.8,36.6,24.1,21.3,23.0,299.0,203.0,254.3,2.0,0.9,1.5,0.8,2.0,1.2,5.0,3.9,4.4,24.0,17.8,20.9,0.3,0.0,0.2,0.1,0.3,0.1,23.4,14.8,16.5,5,QB
20,Derek Carr,LV,40.0,33.3,36.4,27.0,22.9,24.6,292.0,240.0,267.0,2.0,1.4,1.7,0.6,1.0,0.7,2.5,1.3,1.9,10.3,3.6,5.9,0.1,0.0,0.1,0.1,0.5,0.3,22.4,15.3,16.3,5,QB
21,Philip Rivers,IND,38.0,29.0,33.4,25.0,20.0,22.1,319.0,243.0,262.6,2.0,1.5,1.7,0.7,1.0,0.9,1.5,0.0,1.0,4.0,0.0,1.9,0.0,0.0,0.0,0.0,0.2,0.1,20.5,14.5,15.5,5,QB
22,Carson Wentz,PHI,40.7,31.0,36.5,26.1,21.7,23.4,282.5,221.0,252.1,2.0,1.1,1.4,0.7,1.2,0.9,5.4,2.0,3.7,24.0,6.0,15.0,0.2,0.0,0.1,0.1,0.4,0.3,21.8,13.8,15.4,5,QB
23,Baker Mayfield,CLE,36.0,30.3,33.0,22.0,19.0,20.5,254.0,211.0,236.0,2.0,1.3,1.6,0.9,1.2,1.0,2.7,1.0,1.9,12.0,4.0,8.3,0.1,0.0,0.1,0.1,0.2,0.1,19.9,13.2,14.9,5,QB
24,Nick Foles,CHI,44.0,31.2,36.2,28.0,20.0,23.2,299.0,222.0,256.4,1.6,1.0,1.4,0.6,1.3,1.0,2.4,0.0,1.8,9.3,0.0,3.9,0.1,0.0,0.1,0.1,0.3,0.2,17.0,13.5,14.4,5,QB
25,Joe Flacco,NYJ,38.0,32.0,35.4,24.4,20.0,22.8,252.4,226.0,240.8,1.5,1.0,1.2,0.6,1.0,0.8,2.1,0.9,1.4,10.0,2.0,4.1,0.1,0.0,0.0,0.1,0.2,0.1,15.9,12.1,13.3,5,QB
26,Kyle Allen,WAS,39.0,30.0,34.3,23.5,18.8,21.5,267.9,193.0,240.6,1.5,0.9,1.1,0.9,1.2,1.0,5.3,1.4,2.7,15.2,4.3,10.9,0.2,0.0,0.1,0.1,0.5,0.3,16.9,11.2,13.3,5,QB
27,CJ Beathard,SF,24.5,1.2,12.8,14.6,0.9,7.8,162.9,12.2,68.4,0.5,0.1,0.2,0.1,0.8,0.4,3.8,0.3,2.0,20.9,0.0,7.5,0.0,0.0,0.0,0.0,0.3,0.1,1.7,0.8,3.7,5,QB
28,Alex Smith,WAS,25.0,1.2,13.1,15.6,0.8,8.2,166.3,8.1,67.1,0.3,0.1,0.2,0.0,0.4,0.2,2.7,0.2,1.5,12.1,0.0,4.4,0.0,0.0,0.0,0.0,0.1,0.0,1.3,0.8,3.3,5,QB
29,Jalen Hurts,PHI,28.6,0.0,9.8,17.8,0.0,6.1,194.2,0.0,54.3,0.7,0.0,0.2,0.0,0.7,0.2,3.2,1.3,2.2,9.4,1.6,6.1,0.1,0.0,0.0,0.0,0.2,0.1,1.4,1.0,3.3,5,QB
30,Nick Mullens,SF,7.3,7.3,7.3,5.0,5.0,5.0,47.2,47.2,47.2,0.1,0.1,0.1,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,5,QB
31,Taysom Hill,NO,3.0,0.0,1.1,2.0,0.0,0.5,19.0,0.0,7.2,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,1.1,12.0,0.0,6.2,0.1,0.0,0.0,0.0,0.1,0.0,2.2,0.8,1.0,5,QB
32,Mitchell Trubisky,CHI,6.2,1.4,3.8,3.6,0.9,2.2,32.7,9.0,23.8,0.1,0.0,0.1,0.1,0.3,0.2,1.1,0.2,0.7,3.5,0.0,1.4,0.0,0.0,0.0,0.0,0.1,0.0,1.5,0.6,1.0,5,QB
33,Jameis Winston,NO,5.8,1.4,3.6,3.2,1.0,2.1,34.1,10.1,22.1,0.1,0.1,0.1,0.0,0.5,0.2,0.9,0.3,0.6,2.1,1.2,1.6,0.0,0.0,0.0,0.0,0.2,0.1,0.9,0.9,0.9,5,QB
34,Mike White,NYJ,7.6,7.6,7.6,4.2,4.2,4.2,38.8,21.1,30.0,0.1,0.0,0.0,0.1,0.4,0.2,1.0,1.0,1.0,2.2,0.1,1.1,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,0.9,5,QB
35,Marcus Mariota,LV,4.5,1.3,2.9,2.8,0.9,1.9,30.8,9.7,20.2,0.1,0.0,0.1,0.0,0.2,0.1,0.7,0.3,0.5,2.1,1.4,1.7,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.9,0.9,5,QB
36,Andy Dalton,DAL,9.5,1.6,5.5,5.0,1.1,3.0,44.8,13.6,24.7,0.1,0.1,0.1,0.0,0.6,0.2,0.6,0.3,0.5,1.1,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,1.1,0.8,0.9,5,QB
37,Matt Moore,KC,10.3,10.3,10.3,4.3,4.3,4.3,34.7,34.7,34.7,0.1,0.1,0.1,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.9,5,QB
38,Josh McCown,PHI,13.8,13.8,13.8,7.2,7.2,7.2,53.3,53.3,53.3,0.0,0.0,0.0,0.6,0.6,0.6,1.5,1.5,1.5,1.5,1.5,1.5,0.1,0.1,0.1,0.3,0.3,0.3,0.0,0.0,0.9,5,QB
39,Matt Schaub,ATL,7.5,1.7,4.6,4.3,1.2,2.8,40.2,11.6,25.9,0.1,0.0,0.1,0.0,0.4,0.2,0.6,0.2,0.4,0.5,0.2,0.3,0.0,0.0,0.0,0.0,0.1,0.1,0.9,0.9,0.8,5,QB
