"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","17.4","83.3","0.7","6.8","56.4","0.3","0.2","19.8"
"Saquon Barkley","NYG","18.1","85.5","0.6","5.6","41.2","0.2","0.2","17.1"
"Alvin Kamara","NO","13.7","66.3","0.6","6.1","51.6","0.2","0.2","16.4"
"Nick Chubb","CLE","20.0","94.2","0.8","2.3","18.5","0.1","0.2","16.2"
"Ezekiel Elliott","DAL","18.9","88.1","0.7","3.6","27.2","0.2","0.2","16.2"
"Austin Ekeler","LAC","12.2","53.5","0.5","5.0","49.8","0.3","0.1","15.1"
"Derrick Henry","TEN","19.0","83.9","0.8","1.2","13.6","0.1","0.2","14.5"
"Le'Veon Bell","NYJ","18.1","76.9","0.6","3.8","28.5","0.1","0.2","14.5"
"Dalvin Cook","MIN","16.8","76.6","0.6","4.0","30.8","0.1","0.2","14.4"
"James Conner","PIT","16.1","68.5","0.7","3.6","30.4","0.1","0.2","14.4"
"Chris Carson","SEA","17.1","75.2","0.6","3.7","28.1","0.1","0.2","14.1"
"Leonard Fournette","JAC","17.3","66.2","0.5","4.5","36.0","0.1","0.2","13.7"
"Josh Jacobs","OAK","16.1","70.4","0.7","2.6","22.1","0.1","0.2","13.5"
"Mark Ingram","BAL","15.8","74.7","0.7","1.7","11.9","0.1","0.2","13.2"
"Todd Gurley","LAR","14.7","66.2","0.6","2.4","21.3","0.1","0.1","13.1"
"Marlon Mack","IND","18.4","82.6","0.6","1.6","10.8","0.0","0.2","13.0"
"Sony Michel","NE","19.3","81.5","0.7","0.8","6.5","0.0","0.2","12.9"
"Damien Williams","KC","11.2","48.3","0.6","3.7","33.0","0.2","0.1","12.7"
"David Johnson","ARI","15.1","56.2","0.5","4.0","32.5","0.2","0.2","12.6"
"Matt Breida","SF","14.5","61.9","0.5","2.3","21.2","0.1","0.1","12.0"
"Duke Johnson","HOU","10.3","40.6","0.2","4.1","34.1","0.4","0.1","11.0"
"Devonta Freeman","ATL","12.8","52.1","0.5","2.7","20.5","0.1","0.2","10.6"
"Phillip Lindsay","DEN","12.3","55.0","0.5","2.8","20.4","0.1","0.1","10.6"
"Kerryon Johnson","DET","14.2","66.9","0.3","2.8","18.5","0.1","0.2","10.3"
"Adrian Peterson","WAS","15.0","58.0","0.5","1.6","11.2","0.1","0.1","10.3"
"Aaron Jones","GB","13.1","62.6","0.3","2.0","15.5","0.1","0.1","10.1"
"James White","NE","5.4","23.9","0.2","4.9","43.2","0.3","0.1","9.1"
"Miles Sanders","PHI","10.2","43.9","0.5","2.2","16.0","0.1","0.2","8.8"
"Devin Singletary","BUF","9.5","44.3","0.2","2.6","23.6","0.1","0.2","8.2"
"LeSean McCoy","KC","10.6","45.5","0.2","2.0","18.9","0.1","0.1","8.1"
"Kenyan Drake","MIA","7.8","34.4","0.1","3.0","27.6","0.1","0.1","7.6"
"Giovani Bernard","CIN","8.7","34.9","0.2","3.0","24.7","0.1","0.1","7.5"
"David Montgomery","CHI","12.0","49.1","0.2","1.3","12.1","0.0","0.2","7.5"
"Joe Mixon","CIN","10.2","43.9","0.2","2.0","14.5","0.1","0.1","7.5"
"Chris Thompson","WAS","5.5","22.0","0.1","5.4","40.5","0.1","0.1","7.5"
"Rex Burkhead","NE","7.0","30.0","0.2","2.7","24.0","0.2","0.1","7.4"
"Tarik Cohen","CHI","3.4","15.0","0.1","5.1","44.9","0.2","0.2","7.3"
"Justin Jackson","LAC","10.1","42.9","0.2","1.8","15.5","0.1","0.1","7.3"
"Carlos Hyde","HOU","11.3","43.1","0.5","0.7","3.6","0.0","0.1","7.3"
"Frank Gore","BUF","11.9","50.1","0.2","0.7","5.6","0.0","0.1","6.4"
"Latavius Murray","NO","9.8","40.3","0.3","1.1","8.2","0.0","0.1","6.4"
"Ronald Jones II","TB","10.4","44.6","0.2","1.2","7.4","0.0","0.1","6.1"
"Royce Freeman","DEN","10.9","43.9","0.2","1.0","6.5","0.0","0.1","6.1"
"Darren Sproles","PHI","6.0","27.1","0.1","2.2","18.5","0.1","0.1","5.7"
"Mike Davis","CHI","8.2","32.5","0.1","2.2","15.7","0.0","0.1","5.7"
"Peyton Barber","TB","10.0","40.6","0.1","1.1","7.0","0.0","0.1","5.5"
"C.J. Anderson","DET","9.1","39.4","0.2","0.6","4.0","0.0","0.1","5.5"
"Jordan Howard","PHI","8.1","34.7","0.2","1.2","8.0","0.0","0.1","5.5"
"Gus Edwards","BAL","9.8","43.5","0.2","0.3","1.4","0.0","0.1","5.3"
"Raheem Mostert","SF","9.0","40.1","0.2","0.9","5.9","0.0","0.2","5.3"
"Malcolm Brown","LAR","10.0","41.9","0.1","0.4","2.7","0.0","0.1","5.2"
"Dion Lewis","TEN","5.5","22.2","0.1","3.0","21.3","0.1","0.1","5.2"
"Ito Smith","ATL","8.1","30.2","0.2","1.6","11.2","0.0","0.1","5.0"
"Jalen Richard","OAK","3.5","17.6","0.1","3.4","27.3","0.1","0.2","5.0"
"Kalen Ballage","MIA","7.6","32.3","0.1","1.6","11.8","0.0","0.1","4.9"
"Rashaad Penny","SEA","8.3","36.7","0.1","0.8","6.7","0.0","0.1","4.9"
"Jamaal Williams","GB","6.9","27.0","0.1","1.9","14.7","0.0","0.1","4.8"
"Jaylen Samuels","PIT","4.7","20.1","0.1","1.9","14.1","0.1","0.1","4.7"
"Justice Hill","BAL","6.3","28.1","0.2","0.7","5.4","0.0","0.1","4.4"
"Nyheim Hines","IND","4.6","17.9","0.1","2.9","18.9","0.1","0.1","4.4"
"Tony Pollard","DAL","5.9","26.6","0.1","0.7","5.3","0.0","0.1","3.9"
"Wayne Gallman","NYG","5.4","21.0","0.1","1.8","12.1","0.0","0.1","3.8"
"Alexander Mattison","MIN","6.0","24.1","0.1","1.2","8.2","0.0","0.1","3.8"
