,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Derek Carr (13304218),Josh Jacobs (13304315),Austin Ekeler (13304287),Tyrell Williams (13304579),Sammy Watkins (13304505),Michael Thomas (13304493),Darren Waller (13304847),Alvin Kamara (13304267),Texans  (13305009),162.48600000000002,162.48600000000002
1,Josh Allen (13304215),Josh Jacobs (13304315),Austin Ekeler (13304287),Tyrell Williams (13304579),Sammy Watkins (13304505),Keenan Allen (13304497),Darren Waller (13304847),Alvin Kamara (13304267),Texans  (13305009),161.534,161.534
2,Ben Roethlisberger (13304211),Austin Ekeler (13304287),Chris Thompson (13304339),Tyrell Williams (13304579),Sammy Watkins (13304505),Michael Thomas (13304493),Darren Waller (13304847),Alvin Kamara (13304267),Texans  (13305009),161.23,161.23
3,Jared Goff (13304210),Josh Jacobs (13304315),Austin Ekeler (13304287),Tyrell Williams (13304579),Sammy Watkins (13304505),Keenan Allen (13304497),T.J. Hockenson (13304845),Alvin Kamara (13304267),Texans  (13305009),160.982,160.982
4,Ben Roethlisberger (13304211),Adrian Peterson (13304367),Austin Ekeler (13304287),Tyrell Williams (13304579),Keenan Allen (13304497),Michael Thomas (13304493),Darren Waller (13304847),Alvin Kamara (13304267),Texans  (13305009),160.71,160.71
5,Patrick Mahomes (13304200),Adrian Peterson (13304367),Josh Jacobs (13304315),Tyrell Williams (13304579),Keenan Allen (13304497),DeAndre Hopkins (13304491),Darren Waller (13304847),Alvin Kamara (13304267),Texans  (13305009),160.32399999999998,160.32399999999998
6,Derek Carr (13304218),Josh Jacobs (13304315),Austin Ekeler (13304287),Tyrell Williams (13304579),Sammy Watkins (13304505),Michael Thomas (13304493),T.J. Hockenson (13304845),Alvin Kamara (13304267),Texans  (13305009),160.01600000000002,160.01600000000002
7,Josh Allen (13304215),Josh Jacobs (13304315),Austin Ekeler (13304287),Tyrell Williams (13304579),Sammy Watkins (13304505),Michael Thomas (13304493),T.J. Hockenson (13304845),Alvin Kamara (13304267),Texans  (13305009),159.91400000000002,159.91400000000002
8,Tom Brady (13304204),Adrian Peterson (13304367),Alvin Kamara (13304267),Sammy Watkins (13304505),Keenan Allen (13304497),Michael Thomas (13304493),Darren Waller (13304847),T.J. Hockenson (13304845),Texans  (13305009),159.60999999999999,159.60999999999999
9,Derek Carr (13304218),Josh Jacobs (13304315),Alvin Kamara (13304267),Sammy Watkins (13304505),Keenan Allen (13304497),Davante Adams (13304495),Darren Waller (13304847),T.J. Hockenson (13304845),Texans  (13305009),159.376,159.376
