"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.1","90.2","0.7","0.1","13.3"
"George Kittle","SF","5.8","80.2","0.5","0.1","11.0"
"Evan Engram","NYG","6.1","68.7","0.6","0.1","10.2"
"Darren Waller","OAK","5.6","61.9","0.5","0.1","9.2"
"Zach Ertz","PHI","6.3","59.4","0.6","0.1","9.1"
"O.J. Howard","TB","3.8","52.3","0.5","0.1","8.2"
"Mark Andrews","BAL","3.8","47.8","0.5","0.0","7.9"
"T.J. Hockenson","DET","4.4","49.2","0.5","0.1","7.8"
"Delanie Walker","TEN","4.7","46.8","0.5","0.1","7.7"
"Austin Hooper","ATL","4.7","43.9","0.5","0.1","7.0"
"Vance McDonald","PIT","3.7","41.5","0.5","0.1","6.9"
"Jared Cook","NO","3.4","42.7","0.4","0.0","6.9"
"David Njoku","CLE","3.7","43.7","0.3","0.0","6.1"
"Greg Olsen","CAR","3.6","38.0","0.3","0.0","5.6"
"Vernon Davis","WAS","3.3","44.3","0.2","0.0","5.6"
"Jimmy Graham","GB","3.5","37.5","0.2","0.0","4.9"
"Tyler Eifert","CIN","3.2","33.7","0.2","0.0","4.4"
"Noah Fant","DEN","3.1","33.6","0.1","0.1","4.1"
"Eric Ebron","IND","2.9","29.1","0.2","0.0","4.1"
"Will Dissly","SEA","2.0","28.6","0.2","0.0","3.9"
"Kyle Rudolph","MIN","3.0","28.8","0.2","0.0","3.8"
"Dallas Goedert","PHI","2.2","21.6","0.2","0.0","3.5"
"Jason Witten","DAL","2.7","24.9","0.2","0.0","3.4"
"Mike Gesicki","MIA","2.3","28.5","0.1","0.1","3.2"
"Virgil Green","LAC","2.2","25.3","0.1","0.1","3.0"
"Tyler Higbee","LAR","1.9","21.2","0.1","0.0","3.0"
"Cameron Brate","TB","2.0","18.5","0.2","0.0","3.0"
"Ryan Griffin","NYJ","2.1","24.3","0.1","0.0","2.9"
"Jack Doyle","IND","2.8","24.2","0.1","0.1","2.9"
"Geoff Swaim","JAC","2.5","24.0","0.1","0.0","2.8"
"Trey Burton","CHI","1.9","21.9","0.1","0.0","2.8"
"Hayden Hurst","BAL","2.0","22.0","0.1","0.0","2.8"
"Blake Jarwin","DAL","1.7","17.6","0.2","0.0","2.7"
"C.J. Uzomah","CIN","1.9","20.5","0.1","0.0","2.7"
"Marcedes Lewis","GB","1.3","14.8","0.2","0.0","2.4"
"Jeff Heuerman","DEN","1.5","14.0","0.1","0.0","2.2"
"Gerald Everett","LAR","1.6","14.4","0.1","0.0","2.1"
"Foster Moreau","OAK","1.4","14.5","0.1","0.0","2.1"
"Ian Thomas","CAR","1.4","15.3","0.1","0.0","2.1"
"James O'Shaughnessy","JAC","2.1","18.3","0.1","0.0","2.1"
