"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Carolina Panthers","","3.6","1.2","0.7","1.2","0.2","0.0","16.5","270.6","9.6"
"Philadelphia Eagles","","3.4","1.2","0.6","1.0","0.2","0.0","17.1","293.1","9.4"
"Green Bay Packers","","3.6","1.0","0.7","1.2","0.2","0.0","18.8","326.5","9.0"
"Chicago Bears","","3.2","1.0","0.6","1.0","0.2","0.0","15.7","283.4","8.6"
"Pittsburgh Steelers","","3.0","1.0","0.7","1.3","0.2","0.0","19.3","360.1","8.5"
"New England Patriots","","3.1","1.0","0.7","1.2","0.2","0.1","18.1","362.1","8.4"
"New York Jets","","2.9","1.0","0.7","1.3","0.2","0.0","19.0","295.5","8.3"
"New Orleans Saints","","2.9","0.8","0.8","1.2","0.2","0.0","19.9","352.4","8.2"
"Jacksonville Jaguars","","3.1","1.2","0.6","0.9","0.2","0.0","22.7","379.0","8.0"
"Dallas Cowboys","","2.7","0.9","0.7","1.1","0.2","0.0","18.5","326.8","7.8"
"Los Angeles Chargers","","2.9","0.9","0.5","0.7","0.2","0.0","17.0","328.4","7.7"
"Baltimore Ravens","","2.5","1.0","0.6","1.0","0.2","0.0","19.5","354.3","7.6"
"Cleveland Browns","","2.2","1.1","0.6","1.2","0.2","0.0","19.7","296.2","7.6"
"Los Angeles Rams","","3.5","0.8","0.7","0.9","0.2","0.0","21.0","321.4","7.4"
"Washington Redskins","","3.2","0.9","0.7","1.2","0.1","0.1","24.7","355.4","7.2"
"Indianapolis Colts","","3.1","0.8","0.7","1.0","0.1","0.1","20.6","329.4","6.9"
"Detroit Lions","","2.6","0.8","0.7","1.1","0.2","0.0","20.6","308.0","6.7"
"Minnesota Vikings","","3.2","0.6","0.6","0.8","0.1","0.0","23.4","362.6","6.5"
"Cincinnati Bengals","","2.7","0.9","0.5","0.7","0.1","0.1","21.1","331.2","6.5"
"Denver Broncos","","2.4","0.9","0.6","0.9","0.1","0.0","20.7","349.7","6.2"
"Arizona Cardinals","","2.2","0.8","0.6","1.0","0.1","0.1","24.1","374.8","6.1"
"San Francisco 49ers","","2.7","0.7","0.6","1.1","0.1","0.0","24.6","375.5","6.1"
"Tampa Bay Buccaneers","","2.2","0.7","0.7","1.4","0.1","0.0","23.9","330.8","5.9"
"Kansas City Chiefs","","2.2","0.7","0.6","1.0","0.1","0.0","20.7","352.1","5.9"
"Miami Dolphins","","2.3","0.8","0.6","0.9","0.1","0.0","26.1","354.1","5.8"
"Seattle Seahawks","","2.2","0.6","0.7","1.3","0.1","0.1","22.2","373.3","5.6"
"Tennessee Titans","","2.3","0.6","0.6","0.8","0.1","0.1","21.8","319.6","5.6"
"Buffalo Bills","","2.1","0.8","0.5","0.8","0.1","0.0","23.7","378.2","5.5"
"New York Giants","","2.6","0.5","0.5","0.8","0.1","0.0","25.0","358.3","5.3"
"Houston Texans","","1.9","0.6","0.5","0.9","0.1","0.0","22.5","349.5","4.8"
"Oakland Raiders","","1.7","0.6","0.6","0.8","0.1","0.0","29.0","437.3","4.7"
"Atlanta Falcons","","1.8","0.6","0.5","0.7","0.1","0.0","26.7","403.1","4.6"
""
""
