,Player,Salary
0,Marlon Mack,6200
1,T.Y. Hilton,6200
2,A.J. Green,6000
3,JuJu Smith-Schuster,5900
4,Golden Tate,5800
5,DeVante Parker,5700
6,Evan Engram,5200
7,Ronald Jones,5100
8,Damien Williams,4800
9,Benny Snell,4700
10,Gerald Everett,4600
11,DeShone Kizer,4300
12,Hunter Renfrow,4300
13,Chad Kelly,4000
14,Jake Dolegala,4000
15,C.J. Beathard,4000
16,Trace McSorley,4000
17,Blaine Gabbert,4000
18,Josh Dobbs,4000
19,Alex Tanney,4000
20,Paxton Lynch,4000
21,Ben Roethlisberger,4000
22,Easton Stick,4000
23,Eric Ebron,3900
24,Jordan Matthews,3900
25,Delanie Walker,3800
26,Paul Richardson,3700
27,Devin Funchess,3500
28,Jordan Scarlett,3500
29,Rhett Ellison,3200
30,JJ Arcega-Whiteside,3200
31,Russell Shepard,3100
32,Stanley Morgan,3000
33,Dante Pettis,3000
34,Jaleel Scott,3000
35,Roc Thomas,3000
36,Scotty Miller,3000
37,Danny Vitale,3000
38,Bennie Fowler,3000
39,Isaiah Crowell,3000
40,Jalin Marshall,3000
41,Nsimba Webster,3000
42,KhaDarel Hodge,3000
43,Juwann Winfree,3000
44,Seth DeValve,2800
45,Beau Brinkley,2500
46,Drew Sample,2500
47,Cethan Carter,2500
48,Clark Harris,2500
49,Kyle Nelson,2500
50,Matt Orzech,2500
51,James Winchester,2500
52,Rico Gathers,2500
53,Xavier Grimble,2500
