"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes","KC","37.2","25.1","333.2","2.7","0.5","2.5","11.7","0.1","0.2","24.3"
"Lamar Jackson","BAL","27.3","18.1","211.5","1.6","0.5","11.0","69.7","0.6","0.2","23.7"
"Russell Wilson","SEA","32.0","21.0","254.5","2.0","0.5","4.9","26.1","0.1","0.2","19.8"
"Drew Brees","NO","37.0","27.8","297.7","2.1","0.5","0.7","1.0","0.0","0.1","19.6"
"Dak Prescott","DAL","34.1","22.7","270.7","1.7","0.8","3.4","18.3","0.3","0.2","19.3"
"Aaron Rodgers","GB","34.5","22.8","270.1","1.9","0.3","2.8","13.8","0.0","0.2","18.9"
"Jameis Winston","TB","37.4","22.9","308.1","1.9","1.3","3.2","15.8","0.1","0.3","18.6"
"Kyler Murray","ARI","36.4","23.6","256.4","1.3","0.8","6.8","37.5","0.2","0.2","18.5"
"Carson Wentz","PHI","34.7","22.7","254.0","1.9","0.8","3.7","15.6","0.1","0.3","17.5"
"Deshaun Watson","HOU","33.3","22.2","251.7","1.3","0.9","5.5","30.6","0.2","0.3","16.9"
"Matt Ryan","ATL","36.9","24.9","286.2","1.7","0.8","1.5","5.4","0.0","0.3","16.6"
"Jared Goff","LAR","36.6","23.5","284.1","1.7","0.9","1.7","4.1","0.1","0.3","16.5"
"Josh Allen","BUF","32.5","19.2","218.1","1.1","0.9","7.1","37.4","0.3","0.2","16.5"
"Kirk Cousins","MIN","33.9","23.6","259.8","1.7","0.6","1.6","4.7","0.1","0.3","16.4"
"Sam Darnold","NYJ","33.9","22.1","257.2","1.8","1.0","2.4","8.3","0.1","0.1","16.4"
"Tom Brady","NE","36.9","24.3","265.5","1.6","0.5","1.1","1.7","0.0","0.1","16.4"
"Nick Foles","JAC","38.0","25.0","265.1","1.7","0.8","1.3","3.4","0.1","0.2","16.3"
"Mitch Trubisky","CHI","33.4","21.1","230.5","1.4","0.9","3.4","16.3","0.1","0.2","15.2"
"Ryan Tannehill","TEN","31.2","20.7","237.5","1.3","0.8","4.3","19.3","0.1","0.3","15.0"
"Kyle Allen","CAR","35.0","22.0","255.3","1.7","0.9","1.3","3.7","0.0","0.4","14.9"
"Jacoby Brissett","IND","32.2","20.6","219.3","1.3","0.6","3.5","14.0","0.2","0.2","14.9"
"Baker Mayfield","CLE","34.3","21.9","260.0","1.5","1.0","1.8","6.7","0.1","0.2","14.8"
"Daniel Jones","NYG","35.1","22.2","244.6","1.4","1.0","3.7","22.4","0.1","0.7","14.6"
"Andy Dalton","CIN","35.1","20.8","237.2","1.5","1.0","2.3","8.2","0.1","0.2","14.6"
"Derek Carr","OAK","34.8","24.4","252.4","1.3","0.7","1.3","4.0","0.1","0.3","14.2"
"Ryan Fitzpatrick","MIA","34.8","21.3","244.8","1.2","1.2","3.0","13.8","0.1","0.2","13.8"
"Philip Rivers","LAC","35.0","22.4","260.7","1.3","0.9","0.9","1.5","0.0","0.1","13.8"
"Jimmy Garoppolo","SF","32.6","21.5","247.7","1.3","1.0","1.8","4.4","0.1","0.2","13.5"
"Devlin Hodges","PIT","32.8","21.0","219.0","1.2","1.0","2.2","8.1","0.1","0.2","12.2"
"Dwayne Haskins","WAS","30.7","18.7","207.7","1.0","1.1","2.9","10.5","0.0","0.2","10.8"
"David Blough","DET","32.3","19.0","208.2","0.9","1.0","2.1","8.2","0.0","0.2","10.4"
"Drew Lock","DEN","28.3","17.9","195.6","0.8","0.7","2.4","8.6","0.0","0.2","10.3"
"Brandon Allen","DEN","22.6","13.5","151.4","0.6","0.7","2.1","9.8","0.0","0.1","8.1"
"Taysom Hill","NO","6.7","4.4","45.8","0.2","0.1","1.3","4.9","0.0","0.1","2.7"
"Jeff Driskel","DET","3.9","2.5","30.9","0.1","0.1","0.4","1.7","0.0","0.0","1.4"
"Mason Rudolph","PIT","6.3","3.7","34.5","0.1","0.3","0.4","0.5","0.0","0.1","1.0"
"Blake Bortles","LAR","4.7","2.7","25.7","0.1","0.2","0.6","1.4","0.0","0.1","0.9"
"Josh McCown","PHI","4.7","2.7","25.5","0.1","0.2","0.6","1.4","0.0","0.1","0.9"
"Chase Daniel","CHI","5.2","3.0","28.3","0.1","0.2","0.4","0.7","0.0","0.1","0.9"
"Tyrod Taylor","LAC","4.7","2.7","25.2","0.1","0.2","0.5","1.2","0.0","0.1","0.9"
"Ryan Finley","CIN","4.3","2.4","24.9","0.1","0.2","0.6","2.1","0.0","0.1","0.9"
"Robert Griffin","BAL","4.1","2.3","23.8","0.1","0.2","0.7","2.4","0.0","0.1","0.9"
"Gardner Minshew","JAC","3.3","1.9","17.5","0.1","0.1","0.7","2.3","0.0","0.0","0.9"
"Chad Henne","KC","1.4","0.8","11.0","0.1","0.0","0.2","0.2","0.0","0.0","0.9"
"Matt Schaub","ATL","5.9","3.2","28.6","0.1","0.2","0.6","0.8","0.0","0.1","0.9"
"Matt Moore","KC","4.3","2.4","24.1","0.1","0.2","0.5","0.9","0.0","0.1","0.8"
"Marcus Mariota","TEN","4.1","2.4","22.3","0.1","0.2","0.5","1.3","0.0","0.1","0.8"
"Brian Hoyer","IND","4.4","2.4","22.2","0.1","0.2","0.5","1.0","0.0","0.1","0.7"
"Case Keenum","WAS","4.6","2.6","23.7","0.1","0.2","0.5","1.2","0.0","0.1","0.7"
"Ryan Griffin","TB","4.5","2.5","24.4","0.1","0.2","0.5","0.9","0.0","0.1","0.7"
"Eli Manning","NYG","4.3","2.4","23.0","0.1","0.2","0.5","1.2","0.0","0.1","0.7"
"Josh Rosen","MIA","4.7","2.7","25.3","0.1","0.2","0.4","0.6","0.0","0.1","0.7"
"Teddy Bridgewater","NO","3.5","2.0","19.3","0.1","0.2","0.3","0.7","0.0","0.0","0.6"
"Nick Mullens","SF","2.7","1.6","14.7","0.1","0.2","0.6","1.6","0.0","0.0","0.6"
"Nate Sudfeld","PHI","7.3","4.2","37.0","0.0","0.4","0.5","0.4","0.0","0.1","0.6"
"Mike Glennon","OAK","5.1","2.7","23.9","0.1","0.2","0.6","0.7","0.0","0.1","0.6"
"Brett Hundley","ARI","3.5","1.9","17.8","0.1","0.2","0.4","1.0","0.0","0.1","0.6"
"Colt McCoy","WAS","1.1","0.7","6.7","0.1","0.1","0.2","0.8","0.0","0.0","0.5"
"Tim Boyle","GB","3.5","2.1","18.8","0.1","0.2","0.3","0.3","0.0","0.1","0.5"
"Will Grier","CAR","3.3","1.9","17.0","0.1","0.2","0.3","0.5","0.0","0.0","0.5"
"Matt Barkley","BUF","5.1","2.7","23.5","0.0","0.2","0.5","0.8","0.0","0.1","0.5"
