"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Michael Thomas","NO","9.5","108.9","0.7","0.0","0.0","0.0","0.1","15.2"
"Tyreek Hill","KC","5.9","96.6","0.7","0.8","5.1","0.0","0.1","14.6"
"Mike Evans","TB","5.5","88.5","0.6","0.1","0.4","0.0","0.0","12.6"
"Chris Godwin","TB","5.6","84.5","0.6","0.1","0.5","0.0","0.1","12.2"
"Davante Adams","GB","6.6","84.4","0.6","0.1","0.6","0.0","0.1","12.2"
"D.J. Chark","JAC","5.3","73.0","0.7","0.2","1.3","0.0","0.1","11.4"
"Calvin Ridley","ATL","5.4","75.0","0.6","0.4","3.0","0.0","0.1","11.2"
"Tyler Lockett","SEA","5.4","72.9","0.6","0.5","2.5","0.0","0.0","11.2"
"Cooper Kupp","LAR","6.0","76.5","0.6","0.3","1.7","0.0","0.1","11.0"
"Christian Kirk","ARI","5.8","71.3","0.5","0.6","4.4","0.0","0.1","10.6"
"D.J. Moore","CAR","5.8","77.3","0.4","0.5","5.4","0.0","0.1","10.6"
"Julian Edelman","NE","6.5","74.5","0.5","0.5","3.3","0.0","0.1","10.6"
"Stefon Diggs","MIN","5.0","71.5","0.5","0.3","1.8","0.0","0.1","10.2"
"Odell Beckham Jr.","CLE","5.4","74.9","0.5","0.2","1.0","0.0","0.1","10.1"
"Allen Robinson","CHI","5.4","71.3","0.5","0.0","0.1","0.0","0.0","10.0"
"Jarvis Landry","CLE","5.7","72.7","0.5","0.1","1.1","0.0","0.1","10.0"
"Courtland Sutton","DEN","4.5","69.4","0.4","0.3","1.7","0.0","0.0","9.7"
"Devante Parker","MIA","5.0","71.2","0.4","0.0","0.0","0.0","0.0","9.7"
"Michael Gallup","DAL","4.7","67.5","0.5","0.2","1.4","0.0","0.1","9.6"
"John Brown","BUF","4.6","65.5","0.5","0.1","0.3","0.0","0.0","9.5"
"Adam Thielen","MIN","4.8","62.5","0.5","0.2","1.0","0.0","0.1","9.4"
"Amari Cooper","DAL","4.8","68.2","0.4","0.1","0.4","0.0","0.0","9.1"
"Robert Woods","LAR","4.8","61.3","0.4","0.7","4.8","0.0","0.1","9.1"
"Jamison Crowder","NYJ","5.4","62.2","0.5","0.2","1.1","0.0","0.1","9.0"
"Terry McLaurin","WAS","4.4","61.3","0.4","0.2","1.6","0.0","0.0","8.9"
"D.K. Metcalf","SEA","4.0","57.6","0.5","0.3","1.9","0.0","0.1","8.9"
"DeAndre Hopkins","HOU","6.3","70.8","0.3","0.1","0.2","0.0","0.1","8.9"
"Alshon Jeffery","PHI","4.6","56.1","0.5","0.0","0.0","0.0","0.0","8.8"
"Tyrell Williams","OAK","4.2","59.1","0.5","0.0","0.1","0.0","0.0","8.8"
"Tyler Boyd","CIN","5.4","63.1","0.4","0.2","1.4","0.0","0.1","8.7"
"A.J. Brown","TEN","3.8","59.9","0.4","0.2","0.5","0.0","0.0","8.6"
"Marquise Brown","BAL","3.9","53.7","0.5","0.5","3.6","0.0","0.0","8.6"
"Keenan Allen","LAC","5.5","66.4","0.3","0.2","1.7","0.0","0.1","8.4"
"Dede Westbrook","JAC","4.9","53.3","0.4","0.3","1.8","0.0","0.1","7.8"
"Will Fuller","HOU","4.5","64.5","0.2","0.1","0.6","0.0","0.0","7.8"
"Deebo Samuel","SF","4.5","52.3","0.4","0.4","2.8","0.0","0.1","7.7"
"Sammy Watkins","KC","4.2","57.6","0.3","0.2","1.3","0.0","0.0","7.6"
"Curtis Samuel","CAR","3.7","47.9","0.3","1.0","8.5","0.1","0.0","7.5"
"Brandin Cooks","LAR","3.9","57.5","0.2","0.5","3.3","0.0","0.0","7.4"
"Sterling Shepard","NYG","4.6","57.5","0.2","0.4","3.4","0.0","0.0","7.1"
"Kenny Golladay","DET","4.0","58.5","0.2","0.1","0.5","0.0","0.0","7.1"
"Mike Williams","LAC","3.5","58.0","0.1","0.1","0.7","0.0","0.0","6.7"
"Darius Slayton","NYG","3.5","51.2","0.2","0.2","1.3","0.0","0.0","6.7"
"Larry Fitzgerald","ARI","4.9","54.7","0.2","0.1","0.7","0.0","0.1","6.6"
"Marvin Jones","DET","4.0","51.2","0.2","0.1","0.5","0.0","0.0","6.5"
"Robby Anderson","NYJ","3.1","49.1","0.2","0.1","0.4","0.0","0.0","6.3"
"Chris Conley","JAC","3.9","53.3","0.2","0.0","0.2","0.0","0.0","6.3"
"Russell Gage","ATL","4.3","48.3","0.2","0.2","1.3","0.0","0.1","6.1"
"Randall Cobb","DAL","3.9","47.9","0.2","0.3","1.5","0.0","0.0","6.1"
"Corey Davis","TEN","3.8","48.9","0.2","0.1","0.6","0.0","0.0","5.9"
"Cole Beasley","BUF","4.4","46.6","0.2","0.0","0.2","0.0","0.0","5.8"
"Emmanuel Sanders","SF","3.9","47.2","0.2","0.1","0.6","0.0","0.0","5.7"
"Anthony Miller","CHI","3.6","45.5","0.1","0.4","2.7","0.0","0.1","5.6"
"Zach Pascal","IND","3.2","40.4","0.2","0.2","1.5","0.0","0.0","5.4"
"Demaryius Thomas","NYJ","3.6","43.8","0.1","0.0","0.2","0.0","0.0","5.2"
"Auden Tate","CIN","3.3","42.6","0.2","0.1","1.0","0.0","0.1","5.2"
"James Washington","PIT","3.3","44.2","0.1","0.0","0.3","0.0","0.1","5.2"
"Allen Hurns","MIA","3.2","42.2","0.1","0.0","0.2","0.0","0.0","5.0"
"Ted Ginn","NO","2.7","37.8","0.1","0.3","1.8","0.0","0.0","4.8"
"Alex Erickson","CIN","3.1","40.5","0.1","0.2","1.5","0.0","0.0","4.8"
"Mecole Hardman","KC","2.0","36.2","0.2","0.2","0.8","0.0","0.0","4.7"
"Nelson Agholor","PHI","3.0","36.8","0.2","0.1","0.8","0.0","0.0","4.7"
"Diontae Johnson","PIT","3.3","39.3","0.1","0.2","0.9","0.0","0.1","4.6"
"Kenny Stills","HOU","2.7","37.8","0.1","0.0","0.0","0.0","0.0","4.4"
"John Ross","CIN","1.5","25.8","0.3","0.1","0.6","0.0","0.1","4.2"
"Mohamed Sanu","NE","3.1","33.1","0.1","0.2","1.0","0.0","0.0","4.2"
"Danny Amendola","DET","3.7","37.3","0.1","0.0","0.1","0.0","0.0","4.2"
"Josh Gordon","SEA","2.3","32.9","0.1","0.1","0.2","0.0","0.0","4.1"
"Demarcus Robinson","KC","2.1","28.9","0.2","0.0","0.0","0.0","0.0","4.0"
"Allen Lazard","GB","2.3","31.0","0.1","0.3","2.1","0.0","0.0","3.9"
"Adam Humphries","TEN","3.1","33.3","0.1","0.1","0.4","0.0","0.0","3.9"
"Christian Blake","ATL","2.7","32.8","0.1","0.0","0.2","0.0","0.0","3.9"
"Albert Wilson","MIA","2.5","26.7","0.1","0.4","1.9","0.0","0.0","3.7"
"Zay Jones","OAK","2.9","30.2","0.1","0.1","0.5","0.0","0.0","3.6"
"Marquez Valdes-Scantling","GB","1.7","28.6","0.1","0.2","1.1","0.0","0.0","3.6"
"Phillip Dorsett","NE","2.0","25.8","0.1","0.1","0.9","0.0","0.0","3.5"
"N'Keal Harry","NE","2.3","28.7","0.1","0.0","0.3","0.0","0.0","3.4"
"Tre'Quan Smith","NO","1.7","23.3","0.2","0.1","0.8","0.0","0.0","3.4"
