,Unnamed: 0,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary,Actual_Points,Ownership
0,0,Patrick Mahomes,Phillip Lindsay,Josh Jacobs,Davante Adams,Christian Kirk,Alshon Jeffery,Jack Doyle,Leonard Fournette,New York Giants,146.128,49800,139.9,16.26%9.32%3.78%60.34%10.63%18.28%26.72%16.33%6.00%
1,1,Patrick Mahomes,Phillip Lindsay,Leonard Fournette,Davante Adams,Christian Kirk,Mike Evans,Jack Doyle,Alshon Jeffery,New York Giants,146.028,49800,135.79999999999998,16.26%9.32%16.33%60.34%10.63%8.89%26.72%18.28%6.00%
2,2,Patrick Mahomes,Phillip Lindsay,Le'Veon Bell,Christian Kirk,Mike Evans,Alshon Jeffery,Jack Doyle,Leonard Fournette,New York Giants,145.75799999999998,50000,122.1,16.26%9.32%14.34%10.63%8.89%18.28%26.72%16.33%6.00%
3,3,Patrick Mahomes,Phillip Lindsay,Josh Jacobs,Christian Kirk,Mike Evans,Alshon Jeffery,Jack Doyle,Leonard Fournette,New York Giants,145.53799999999998,49700,124.80000000000001,16.26%9.32%3.78%10.63%8.89%18.28%26.72%16.33%6.00%
4,4,Jameis Winston,Phillip Lindsay,Josh Jacobs,Davante Adams,Christian Kirk,Jamison Crowder,Jack Doyle,Leonard Fournette,Cleveland Browns,145.34400000000005,49900,108.22,1.89%9.32%3.78%60.34%10.63%1.02%26.72%16.33%37.98%
5,5,Jameis Winston,Phillip Lindsay,Leonard Fournette,Davante Adams,Christian Kirk,Mike Evans,Jack Doyle,Jamison Crowder,Cleveland Browns,145.244,49900,104.11999999999999,1.89%9.32%16.33%60.34%10.63%8.89%26.72%1.02%37.98%
6,6,Patrick Mahomes,Phillip Lindsay,Le'Veon Bell,Davante Adams,Jamison Crowder,Alshon Jeffery,Jack Doyle,Leonard Fournette,New York Giants,145.03799999999998,50000,134.7,16.26%9.32%14.34%60.34%1.02%18.28%26.72%16.33%6.00%
7,7,Patrick Mahomes,Phillip Lindsay,Josh Jacobs,Davante Adams,Jamison Crowder,Alshon Jeffery,Jack Doyle,Leonard Fournette,New York Giants,144.81799999999996,49700,137.4,16.26%9.32%3.78%60.34%1.02%18.28%26.72%16.33%6.00%
8,8,Jameis Winston,Phillip Lindsay,Josh Jacobs,Christian Kirk,Mike Evans,Jamison Crowder,Jack Doyle,Leonard Fournette,Cleveland Browns,144.75400000000005,49800,93.12,1.89%9.32%3.78%10.63%8.89%1.02%26.72%16.33%37.98%
9,9,Patrick Mahomes,Phillip Lindsay,Leonard Fournette,Davante Adams,Mike Evans,Jamison Crowder,Jack Doyle,Alshon Jeffery,New York Giants,144.718,49700,133.29999999999998,16.26%9.32%16.33%60.34%8.89%1.02%26.72%18.28%6.00%
10,10,Lamar Jackson,Phillip Lindsay,Josh Jacobs,Christian Kirk,Mike Evans,Alshon Jeffery,Jack Doyle,Leonard Fournette,Cleveland Browns,144.67000000000004,50000,136.6,38.08%9.32%3.78%10.63%8.89%18.28%26.72%16.33%37.98%
11,11,Jameis Winston,Josh Jacobs,Leonard Fournette,Davante Adams,Christian Kirk,Jamison Crowder,Jack Doyle,Alshon Jeffery,Cleveland Browns,144.554,50000,130.72,1.89%3.78%16.33%60.34%10.63%1.02%26.72%18.28%37.98%
12,12,Jameis Winston,Phillip Lindsay,Josh Jacobs,Davante Adams,Mike Evans,Alshon Jeffery,Jack Doyle,Leonard Fournette,New York Giants,144.54399999999998,49900,136.12,1.89%9.32%3.78%60.34%8.89%18.28%26.72%16.33%6.00%
13,13,Patrick Mahomes,Phillip Lindsay,Le'Veon Bell,Mike Evans,Jamison Crowder,Alshon Jeffery,Jack Doyle,Leonard Fournette,New York Giants,144.44799999999998,49900,119.6,16.26%9.32%14.34%8.89%1.02%18.28%26.72%16.33%6.00%
14,14,Jameis Winston,Phillip Lindsay,Le'Veon Bell,Davante Adams,Christian Kirk,Alshon Jeffery,Jack Doyle,Leonard Fournette,Cleveland Browns,144.25400000000005,49700,134.42,1.89%9.32%14.34%60.34%10.63%18.28%26.72%16.33%37.98%
15,15,Patrick Mahomes,Phillip Lindsay,Josh Jacobs,Mike Evans,Jamison Crowder,Alshon Jeffery,Jack Doyle,Leonard Fournette,New York Giants,144.22799999999998,49600,122.30000000000001,16.26%9.32%3.78%8.89%1.02%18.28%26.72%16.33%6.00%
16,16,Lamar Jackson,Phillip Lindsay,Josh Jacobs,Davante Adams,Christian Kirk,Jamison Crowder,Jack Doyle,Leonard Fournette,New York Giants,143.97,49900,117.79999999999998,38.08%9.32%3.78%60.34%10.63%1.02%26.72%16.33%6.00%
