QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST
Patrick Mahomes (13837241),Phillip Lindsay (13837345),Josh Jacobs (13837313),Davante Adams (13837491),Christian Kirk (13837521),Alshon Jeffery (13837539),Jack Doyle (13837791),Leonard Fournette (13837305),Giants  (13837933)
Patrick Mahomes (13837241),Phillip Lindsay (13837345),Leonard Fournette (13837305),Davante Adams (13837491),Christian Kirk (13837521),Mike Evans (13837493),Jack Doyle (13837791),Alshon Jeffery (13837539),Giants  (13837933)
Patrick Mahomes (13837241),Phillip Lindsay (13837345),Le'Veon Bell (13837311),Christian Kirk (13837521),Mike Evans (13837493),Alshon Jeffery (13837539),Jack Doyle (13837791),Leonard Fournette (13837305),Giants  (13837933)
Patrick Mahomes (13837241),Phillip Lindsay (13837345),Josh Jacobs (13837313),Christian Kirk (13837521),Mike Evans (13837493),Alshon Jeffery (13837539),Jack Doyle (13837791),Leonard Fournette (13837305),Giants  (13837933)
Jameis Winston (13837245),Phillip Lindsay (13837345),Josh Jacobs (13837313),Davante Adams (13837491),Christian Kirk (13837521),Jamison Crowder (13837525),Jack Doyle (13837791),Leonard Fournette (13837305),Browns  (13837930)
Jameis Winston (13837245),Phillip Lindsay (13837345),Leonard Fournette (13837305),Davante Adams (13837491),Christian Kirk (13837521),Mike Evans (13837493),Jack Doyle (13837791),Jamison Crowder (13837525),Browns  (13837930)
Patrick Mahomes (13837241),Phillip Lindsay (13837345),Le'Veon Bell (13837311),Davante Adams (13837491),Jamison Crowder (13837525),Alshon Jeffery (13837539),Jack Doyle (13837791),Leonard Fournette (13837305),Giants  (13837933)
Patrick Mahomes (13837241),Phillip Lindsay (13837345),Josh Jacobs (13837313),Davante Adams (13837491),Jamison Crowder (13837525),Alshon Jeffery (13837539),Jack Doyle (13837791),Leonard Fournette (13837305),Giants  (13837933)
Jameis Winston (13837245),Phillip Lindsay (13837345),Josh Jacobs (13837313),Christian Kirk (13837521),Mike Evans (13837493),Jamison Crowder (13837525),Jack Doyle (13837791),Leonard Fournette (13837305),Browns  (13837930)
Patrick Mahomes (13837241),Phillip Lindsay (13837345),Leonard Fournette (13837305),Davante Adams (13837491),Mike Evans (13837493),Jamison Crowder (13837525),Jack Doyle (13837791),Alshon Jeffery (13837539),Giants  (13837933)
