,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Chiefs,3.3,2.1,2.7,1.4,0.9,1.2,0.9,0.5,0.7,1.2,0.8,1.0,0.4,0.2,0.3,0.1,0.0,0.0,19.4,16.8,17.8,317.0,321.5,319.3,10.6,8.3,9.1,10,DST
1,Jets,2.7,2.1,2.4,2.1,0.9,1.4,0.8,0.5,0.6,1.1,0.9,1.0,0.4,0.2,0.3,0.1,0.0,0.0,15.5,12.8,14.4,249.0,257.0,253.0,11.3,9.7,9.1,10,DST
2,Eagles,3.5,2.5,3.1,1.1,0.6,0.8,0.9,0.5,0.7,1.2,0.7,1.0,0.3,0.2,0.2,0.1,0.0,0.0,22.0,18.5,19.7,339.0,341.0,340.0,9.5,7.3,8.4,10,DST
3,Chargers,2.8,2.3,2.6,1.1,0.9,1.0,0.9,0.3,0.7,1.2,0.5,0.9,0.3,0.1,0.2,0.0,0.0,0.0,21.3,15.6,19.1,336.0,369.2,352.6,8.9,7.4,8.2,10,DST
4,Bears,3.5,2.7,3.1,1.0,0.6,0.8,1.1,0.5,0.7,1.4,0.8,1.1,0.4,0.2,0.3,0.1,0.0,0.0,22.1,18.8,20.4,337.0,370.8,353.9,10.0,7.2,7.8,10,DST
5,Team,2.8,2.2,2.5,1.5,1.0,1.2,0.9,0.6,0.7,1.3,1.0,1.2,0.3,0.2,0.2,0.0,0.0,0.0,27.3,22.7,25.2,378.0,397.7,387.8,8.9,6.6,7.7,10,DST
6,Rams,3.7,2.6,3.1,1.4,0.7,0.9,1.0,0.6,0.8,1.1,0.9,1.0,0.2,0.1,0.2,0.0,0.0,0.0,27.2,20.2,22.8,342.0,385.7,363.9,9.0,7.1,7.5,10,DST
7,Falcons,3.2,2.3,2.9,1.1,0.8,0.9,0.9,0.5,0.7,1.2,0.7,1.0,0.3,0.1,0.2,0.1,0.0,0.1,22.0,20.1,21.2,337.0,368.0,352.5,8.6,5.9,7.4,10,DST
8,Packers,3.4,2.1,2.8,1.1,0.5,0.9,0.8,0.3,0.6,1.1,0.5,0.8,0.4,0.0,0.2,0.1,0.0,0.0,26.4,18.6,21.3,288.0,389.9,339.0,9.8,4.7,7.2,10,DST
9,Patriots,3.0,2.2,2.6,1.1,0.8,1.0,0.9,0.4,0.6,0.9,0.6,0.8,0.3,0.1,0.2,0.0,0.0,0.0,22.6,17.8,20.1,314.0,334.9,324.4,9.2,6.1,7.1,10,DST
10,Colts,2.3,1.6,2.1,1.2,0.9,1.1,1.1,0.5,0.7,1.6,0.8,1.2,0.3,0.2,0.2,0.0,0.0,0.0,22.5,20.2,21.4,350.8,363.0,356.9,8.1,5.8,7.0,10,DST
11,Saints,2.5,1.8,2.2,1.1,0.8,1.0,0.8,0.5,0.6,0.9,0.7,0.8,0.3,0.2,0.3,0.0,0.0,0.0,28.6,23.0,25.1,344.0,414.7,379.4,7.4,5.5,6.9,10,DST
12,Cowboys,3.3,2.1,2.8,0.9,0.5,0.6,1.4,0.6,0.8,1.9,0.9,1.4,0.3,0.1,0.2,0.0,0.0,0.0,26.0,23.8,24.6,336.0,369.7,352.9,8.1,5.6,6.9,10,DST
13,Giants,2.5,1.8,2.2,1.2,0.9,1.0,1.0,0.5,0.7,1.4,0.7,1.1,0.3,0.2,0.2,0.0,0.0,0.0,25.2,23.8,24.3,345.9,358.0,352.0,8.5,5.8,6.9,10,DST
14,49ers,3.1,2.3,2.7,1.3,0.6,0.8,0.7,0.4,0.6,1.0,0.7,0.9,0.3,0.1,0.2,0.0,0.0,0.0,23.1,20.8,21.9,351.0,354.4,352.7,8.2,6.1,6.9,10,DST
15,Panthers,2.3,1.7,2.0,1.1,0.9,1.0,0.8,0.5,0.7,1.1,0.9,1.0,0.3,0.2,0.2,0.1,0.0,0.1,29.1,25.8,27.4,400.0,423.6,411.8,7.2,5.2,6.8,10,DST
16,Jaguars,3.2,1.7,2.3,1.2,0.9,1.0,0.9,0.5,0.6,1.3,0.7,1.0,0.3,0.1,0.2,0.1,0.0,0.1,26.6,22.5,24.9,339.0,359.8,349.4,8.9,4.8,6.7,10,DST
17,Lions,2.8,2.3,2.6,0.8,0.6,0.7,1.0,0.5,0.8,1.2,0.8,1.0,0.3,0.1,0.2,0.1,0.0,0.1,32.7,25.8,28.2,354.0,445.1,399.6,7.3,5.0,6.7,10,DST
18,Seahawks,2.7,2.0,2.3,0.9,0.8,0.8,1.1,0.5,0.7,1.5,0.8,1.2,0.3,0.1,0.2,0.2,0.0,0.1,30.0,25.9,28.1,384.0,399.0,391.5,7.8,4.1,6.5,10,DST
19,Steelers,3.3,2.2,2.6,1.1,0.5,0.9,0.6,0.5,0.6,0.8,0.7,0.8,0.2,0.1,0.2,0.0,0.0,0.0,26.3,23.6,24.6,361.0,379.3,370.1,7.6,4.5,6.5,10,DST
