Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1269514198,LuciousDiamond (1/3),0,229.96,QB Patrick Mahomes RB David Johnson RB Nick Chubb FLEX Aaron Jones WR Tyreek Hill WR DeSean Jackson WR Tyler Lockett TE Austin Hooper DST Chiefs ,,Dion Lewis,RB,63.06%,8.8
2,1268631069,JParisi (2/2),0,224.8,QB Drew Brees RB Alvin Kamara FLEX Leonard Fournette RB Mark Ingram WR Michael Thomas WR Tyler Lockett WR Corey Davis TE Austin Hooper DST Redskins ,,Todd Gurley II,RB,50.40%,28
3,1268380874,returnofthejets,0,224.26,QB Aaron Rodgers RB Todd Gurley II RB Leonard Fournette FLEX Nick Chubb WR Davante Adams WR Allen Robinson II WR Chris Godwin TE Eric Ebron DST Titans ,,Kareem Hunt,RB,48.67%,11.6
4,1269748355,timbeutelspacher75,0,214.6,QB Mitchell Trubisky RB Melvin Gordon III RB Aaron Jones FLEX Kerryon Johnson WR Julio Jones WR Josh Gordon WR Anthony Miller TE Trey Burton DST Bears ,,Maurice Harris,WR,39.02%,10.6
5,1268855518,joeyhop80,0,212.66,QB Tom Brady RB David Johnson RB Nick Chubb WR Tyler Boyd FLEX Tyreek Hill WR Josh Gordon WR Allen Robinson II TE Eric Ebron DST Rams ,,Josh Gordon,WR,36.94%,12.1
6,1268283611,libbeedog69,0,211.5,QB Andrew Luck FLEX Alvin Kamara RB Nick Chubb RB Aaron Jones WR Brandin Cooks WR Marquez Valdes-Scantling WR Allen Robinson II TE Jimmy Graham DST Bears ,,Marquez Valdes-Scantling,WR,35.28%,10.4
7,1262368325,animal44,0,210.36,QB Patrick Mahomes RB Nick Chubb RB Aaron Jones FLEX Tyreek Hill WR Keenan Allen WR Allen Robinson II WR Dede Westbrook TE Jared Cook DST Chiefs ,,Rams ,DST,29.26%,5
8,1262358327,CVA31,0,209.42,QB Jared Goff RB Todd Gurley II RB Mark Ingram WR Tyreek Hill WR Brandin Cooks WR Marvin Jones Jr. FLEX Trey Burton TE Eric Ebron DST Redskins ,,Melvin Gordon III,RB,24.44%,27.5
9,1267417617,jock1185 (2/3),0,207.02,QB Marcus Mariota FLEX Alvin Kamara RB Nick Chubb RB Aaron Jones WR Julio Jones WR Corey Davis WR Josh Doctson TE Travis Kelce DST Buccaneers ,,Ryan Fitzpatrick,QB,20.97%,19.74
10,1265772445,Lionsblowagain,0,207,QB Drew Brees RB Nick Chubb RB Tevin Coleman FLEX Jordan Howard WR Michael Thomas WR Tyreek Hill WR Brandin Cooks TE Eric Ebron DST Rams ,,Michael Thomas,WR,20.35%,27
11,1266101661,YoungTank3 (1/5),0,206.6,QB Mitchell Trubisky FLEX Nick Chubb RB Aaron Jones RB Duke Johnson Jr. WR Michael Thomas WR Keenan Allen WR Josh Gordon TE Jordan Reed DST Chargers ,,Jarvis Landry,WR,19.87%,4.2
12,1267467679,rtaylor0701,0,205.1,QB Drew Brees RB Leonard Fournette RB Nick Chubb WR Julio Jones WR Michael Thomas FLEX T.Y. Hilton WR John Ross TE Eric Ebron DST Rams ,,Trey Burton,TE,18.75%,10
13,1269879308,boomerpatzfan,0,205,QB Drew Brees RB Tarik Cohen RB Aaron Jones FLEX Julio Jones WR Michael Thomas WR Tyreek Hill WR Chris Hogan TE Eric Ebron DST Titans ,,Corey Davis,WR,18.59%,28.5
14,1269444656,joeboss676 (2/2),0,204.6,QB Mitchell Trubisky RB Melvin Gordon III RB Aaron Jones WR Keenan Allen WR Allen Robinson II FLEX Anthony Miller WR Cordarrelle Patterson TE Travis Kelce DST Chargers ,,Mike Davis,FLEX,18.57%,18
15,1264588812,micwilson1881,0,202.52,QB Philip Rivers FLEX Leonard Fournette RB Nick Chubb RB Aaron Jones WR Keenan Allen WR Robert Woods WR Josh Gordon TE Eric Ebron DST Bears ,,Jets ,DST,17.52%,-3
16,1267278339,RedFeather64 (2/5),0,201.64,QB Russell Wilson RB Todd Gurley II RB David Johnson FLEX Aaron Jones WR Michael Thomas WR Doug Baldwin WR Tyler Lockett TE Jonnu Smith DST Rams ,,Tyler Boyd,WR,15.78%,9.5
17,1268093083,kungfugripjesus (1/11),0,199.86,QB Patrick Mahomes RB Melvin Gordon III FLEX Aaron Jones RB Dion Lewis WR Tyreek Hill WR Marvin Jones Jr. WR Corey Davis TE Austin Hooper DST Packers ,,Jack Doyle,TE,14.50%,6.6
17,1268843575,kungfugripjesus (2/11),0,199.86,QB Patrick Mahomes RB Melvin Gordon III FLEX Aaron Jones RB Dion Lewis WR Tyreek Hill WR Marvin Jones Jr. WR Corey Davis TE Austin Hooper DST Packers ,,Marcus Mariota,QB,14.24%,22.32
17,1268843581,kungfugripjesus (3/11),0,199.86,QB Patrick Mahomes RB Melvin Gordon III FLEX Aaron Jones RB Dion Lewis WR Tyreek Hill WR Marvin Jones Jr. WR Corey Davis TE Austin Hooper DST Packers ,,Patrick Mahomes,QB,13.07%,20.06
17,1268853698,kungfugripjesus (4/11),0,199.86,QB Patrick Mahomes RB Melvin Gordon III FLEX Aaron Jones RB Dion Lewis WR Tyreek Hill WR Marvin Jones Jr. WR Corey Davis TE Austin Hooper DST Packers ,,Tevin Coleman,FLEX,11.94%,9.3
17,1268864282,kungfugripjesus (5/11),0,199.86,QB Patrick Mahomes RB Melvin Gordon III FLEX Aaron Jones RB Dion Lewis WR Tyreek Hill WR Marvin Jones Jr. WR Corey Davis TE Austin Hooper DST Packers ,,Philip Rivers,QB,11.79%,16.02
17,1268864287,kungfugripjesus (6/11),0,199.86,QB Patrick Mahomes RB Melvin Gordon III FLEX Aaron Jones RB Dion Lewis WR Tyreek Hill WR Marvin Jones Jr. WR Corey Davis TE Austin Hooper DST Packers ,,Adam Humphries,WR,11.76%,7.3
17,1268873284,kungfugripjesus (7/11),0,199.86,QB Patrick Mahomes RB Melvin Gordon III FLEX Aaron Jones RB Dion Lewis WR Tyreek Hill WR Marvin Jones Jr. WR Corey Davis TE Austin Hooper DST Packers ,,Alvin Kamara,RB,11.29%,26.2
17,1268881190,kungfugripjesus (8/11),0,199.86,QB Patrick Mahomes RB Melvin Gordon III FLEX Aaron Jones RB Dion Lewis WR Tyreek Hill WR Marvin Jones Jr. WR Corey Davis TE Austin Hooper DST Packers ,,Travis Kelce,TE,11.02%,10.6
17,1268889927,kungfugripjesus (9/11),0,199.86,QB Patrick Mahomes RB Melvin Gordon III FLEX Aaron Jones RB Dion Lewis WR Tyreek Hill WR Marvin Jones Jr. WR Corey Davis TE Austin Hooper DST Packers ,,Larry Fitzgerald,WR,10.47%,11
17,1268889928,kungfugripjesus (10/11),0,199.86,QB Patrick Mahomes RB Melvin Gordon III FLEX Aaron Jones RB Dion Lewis WR Tyreek Hill WR Marvin Jones Jr. WR Corey Davis TE Austin Hooper DST Packers ,,Aaron Rodgers,QB,10.32%,18.06
17,1268889933,kungfugripjesus (11/11),0,199.86,QB Patrick Mahomes RB Melvin Gordon III FLEX Aaron Jones RB Dion Lewis WR Tyreek Hill WR Marvin Jones Jr. WR Corey Davis TE Austin Hooper DST Packers ,,Keenan Allen,WR,10.24%,17.7
28,1268560787,bhy101 (7/13),0,199.42,QB Marcus Mariota RB Todd Gurley II RB Melvin Gordon III FLEX LeSean McCoy WR Tyreek Hill WR Josh Gordon WR Corey Davis TE Jonnu Smith DST Buccaneers ,,Aaron Jones,FLEX,9.73%,35.2
29,1267858705,datikibar16,0,199.3,QB Mitchell Trubisky FLEX Tarik Cohen RB Aaron Jones RB Duke Johnson Jr. WR Julio Jones WR Michael Thomas WR Allen Robinson II TE Jordan Reed DST Jets ,,Chiefs ,DST,9.60%,10
30,1265843843,tmish1019,0,199.1,QB Drew Brees RB David Johnson RB Aaron Jones FLEX Mike Davis WR Michael Thomas WR Josh Gordon WR Calvin Ridley TE Austin Hooper DST Bears ,,Duke Johnson Jr.,FLEX,8.94%,14.6
31,1269403853,zchuk (1/2),0,198.96,QB Patrick Mahomes FLEX David Johnson RB Nick Chubb RB Tevin Coleman WR Tyreek Hill WR Brandin Cooks WR Kenny Golladay TE Trey Burton DST Seahawks ,,Buccaneers ,DST,8.93%,4
32,1266253000,JordanGroll,0,198.36,QB Matthew Stafford FLEX Leonard Fournette RB Nick Chubb RB Jordan Howard WR Michael Thomas WR Tyreek Hill WR Keenan Allen TE Eric Ebron DST Falcons ,,Austin Hooper,TE,8.71%,21.6
33,1267272185,RedFeather64 (1/5),0,197.64,QB Russell Wilson RB Todd Gurley II RB David Johnson FLEX Aaron Jones WR Michael Thomas WR Doug Baldwin WR Tyler Lockett TE Jonnu Smith DST Falcons ,,Benjamin Watson,TE,8.15%,1.1
34,1263967641,Lbus87,0,197,QB Andrew Luck FLEX Todd Gurley II RB Tarik Cohen RB Mark Ingram WR Tyreek Hill WR Keenan Allen WR DeSean Jackson TE Eric Ebron DST Saints ,,Packers ,DST,7.51%,14
35,1265950592,saltman001,0,196.92,QB Jared Goff RB Kerryon Johnson RB LeSean McCoy FLEX Julio Jones WR Brandin Cooks WR Robert Woods WR Cooper Kupp TE Eric Ebron DST Bills ,,Cooper Kupp,WR,7.44%,8.9
36,1269582775,Macrinamark,0,195.9,QB Drew Brees RB Todd Gurley II RB Duke Johnson Jr. WR Davante Adams WR Tyreek Hill FLEX Allen Robinson II WR Jermaine Kearse TE Eric Ebron DST Falcons ,,Mike Evans,WR,7.02%,8.1
37,1265714536,Winebest (11/20),0,195.86,QB Aaron Rodgers RB Nick Chubb FLEX Aaron Jones RB Mark Ingram WR Davante Adams WR DeSean Jackson WR Tyler Lockett TE Travis Kelce DST Bears ,,Julio Jones,WR,6.88%,26.7
38,1269532199,kfreds (11/20),0,195.22,QB Alex Smith FLEX Nick Chubb RB Aaron Jones RB LeSean McCoy WR Michael Thomas WR Tyler Boyd WR Corey Davis TE Travis Kelce DST Rams ,,Jordan Reed,TE,6.18%,9.1
39,1268252626,vas33 (2/3),0,195.2,QB Drew Brees RB Kareem Hunt RB David Johnson FLEX Aaron Jones WR Tyler Boyd WR Corey Davis WR Maurice Harris TE Austin Hooper DST Bears ,,Bears ,DST,6.07%,12
40,1266718694,lyght75 (1/20),0,195.04,QB Ryan Fitzpatrick FLEX Todd Gurley II RB David Johnson RB Mark Ingram WR Tyreek Hill WR DeSean Jackson WR Chris Godwin TE Jordan Reed DST Rams ,,David Njoku,TE,5.54%,2.8
40,1267369992,lyght75 (11/20),0,195.04,QB Ryan Fitzpatrick FLEX Todd Gurley II RB David Johnson RB Mark Ingram WR Tyreek Hill WR DeSean Jackson WR Chris Godwin TE Jordan Reed DST Rams ,,DeSean Jackson,WR,5.50%,11.7
42,1268977515,nlong18,0,194.94,QB Russell Wilson RB Todd Gurley II RB David Johnson FLEX Nick Chubb WR Tyreek Hill WR Josh Gordon WR Maurice Harris TE Benjamin Watson DST Buccaneers ,,Davante Adams,WR,5.45%,21.7
43,1268788904,grandpadave624 (4/20),0,194.7,QB Matt Ryan RB Aaron Jones RB Dion Lewis FLEX Mark Ingram WR Julio Jones WR Michael Thomas WR Keenan Allen TE Austin Hooper DST Rams ,,Calvin Ridley,WR,5.05%,7
43,1268798923,amandamarie987 (4/20),0,194.7,QB Matt Ryan RB Aaron Jones RB Dion Lewis FLEX Mark Ingram WR Julio Jones WR Michael Thomas WR Keenan Allen TE Austin Hooper DST Rams ,,Drew Brees,QB,4.98%,28.9
43,1268809186,adam_menzer (4/20),0,194.7,QB Matt Ryan RB Aaron Jones RB Dion Lewis FLEX Mark Ingram WR Julio Jones WR Michael Thomas WR Keenan Allen TE Austin Hooper DST Rams ,,Patriots ,DST,4.76%,1
46,1265714534,Winebest (9/20),0,194.46,QB Aaron Rodgers RB Alvin Kamara RB Nick Chubb FLEX Aaron Jones WR Davante Adams WR Kenny Golladay WR Josh Doctson TE Trey Burton DST Chiefs ,,Jimmy Graham,FLEX,4.74%,2.4
47,1269589339,carlito3321 (1/3),0,193.9,QB Mitchell Trubisky RB Melvin Gordon III RB Tarik Cohen WR Michael Thomas WR Brandin Cooks WR Tyrell Williams FLEX Anthony Miller TE C.J. Uzomah DST Packers ,,Saints ,DST,4.54%,9
48,1268260566,jtrichard83,0,193,QB Mitchell Trubisky RB Nick Chubb RB Dion Lewis WR Michael Thomas FLEX Tyreek Hill WR Mike Evans WR Corey Davis TE Trey Burton DST Jets ,,John Ross,WR,4.50%,11.9
49,1268540515,Hammbone (2/3),0,192.9,QB Mitchell Trubisky RB David Johnson FLEX Aaron Jones RB Duke Johnson Jr. WR Julio Jones WR Michael Thomas WR Josh Gordon TE Vernon Davis DST Patriots ,,O.J. Howard,TE,4.41%,2.5
50,1263499051,SlaughterHouse179 (2/2),0,191.66,QB Patrick Mahomes RB Aaron Jones RB Kerryon Johnson FLEX Dion Lewis WR Davante Adams WR Tyreek Hill WR Keenan Allen TE Austin Hooper DST Rams ,,David Johnson,RB,4.30%,37.3
51,1262398578,shortmichael12,0,191.62,QB Marcus Mariota RB Todd Gurley II FLEX Melvin Gordon III RB Aaron Jones WR Julio Jones WR Corey Davis WR Maurice Harris TE Nick Vannett DST Rams ,,Tyreek Hill,WR,4.30%,35.7
52,1265530570,champ1mil (1/5),0,191.54,QB Mitchell Trubisky RB Kareem Hunt RB David Johnson FLEX Aaron Jones WR Julian Edelman WR Larry Fitzgerald WR Danny Amendola TE Jack Doyle DST Packers ,,Nick Chubb,FLEX,4.21%,38.9
53,1267998849,RPowell1103,0,191.3,QB Mitchell Trubisky FLEX Todd Gurley II RB Melvin Gordon III RB Aaron Jones WR Allen Robinson II WR Tre'Quan Smith WR Chris Godwin TE Trey Burton DST Jets ,,Nick Vannett,TE,3.99%,7.8
54,1265467209,skinred44 (17/20),0,190.8,QB Mitchell Trubisky RB Kareem Hunt RB Nick Chubb FLEX Tarik Cohen WR Michael Thomas WR Keenan Allen WR Anthony Miller TE Trey Burton DST Buccaneers ,,Jared Goff,QB,3.98%,24.02
55,1267076671,ballsohard5150 (3/13),0,190.74,QB Baker Mayfield RB David Johnson RB Adrian Peterson FLEX Nick Chubb WR Tyler Boyd WR Brandin Cooks WR Larry Fitzgerald TE Austin Hooper DST Bills ,,Vernon Davis,TE,3.89%,0
56,1269197116,boady158,0,190.7,QB Mitchell Trubisky RB Todd Gurley II RB Kapri Bibbs WR Julio Jones WR Michael Thomas WR Corey Davis FLEX Chris Godwin TE Benjamin Watson DST Packers ,,Tyrell Williams,WR,3.89%,8.6
57,1267409201,ericb1973 (2/2),0,190.6,QB Blake Bortles FLEX Alvin Kamara RB Dion Lewis RB Mark Ingram WR Michael Thomas WR Tyreek Hill WR Calvin Ridley TE Eric Ebron DST Rams ,,Matt Ryan,QB,3.84%,24.5
58,1269499658,whenwasit,0,190.3,QB Mitchell Trubisky RB Melvin Gordon III RB Aaron Jones FLEX Duke Johnson Jr. WR Michael Thomas WR DeSean Jackson WR Danny Amendola TE Jordan Reed DST Bears ,,Julian Edelman,WR,3.73%,22.64
59,1267286733,RedFeather64 (3/5),0,190.14,QB Russell Wilson RB Todd Gurley II RB David Johnson FLEX Aaron Jones WR Michael Thomas WR Doug Baldwin WR Tyler Lockett TE Jason Croom DST Falcons ,,Baker Mayfield,QB,3.69%,22.64
60,1264293233,zyyonrocks (1/2),0,190.06,QB Patrick Mahomes RB Alvin Kamara RB T.J. Yeldon FLEX Nick Chubb WR Tyreek Hill WR Tyler Lockett WR Dede Westbrook TE Eric Ebron DST Patriots ,,Marvin Jones Jr.,WR,3.38%,8.5
60,1264301807,zyyonrocks (2/2),0,190.06,QB Patrick Mahomes RB Alvin Kamara RB T.J. Yeldon FLEX Nick Chubb WR Tyreek Hill WR Tyler Lockett WR Dede Westbrook TE Eric Ebron DST Patriots ,,Chargers ,DST,3.33%,13
62,1269435800,Mrloki32 (2/2),0,189.9,QB Mitchell Trubisky RB Melvin Gordon III RB Alvin Kamara FLEX Tyreek Hill WR Corey Davis WR DeVante Parker WR Cordarrelle Patterson TE Austin Hooper DST Patriots ,,Jordan Howard,RB,3.28%,4.2
63,1265639279,jrcbdc2001,0,189.82,QB Philip Rivers RB David Johnson RB Nick Chubb FLEX Aaron Jones WR Julio Jones WR Keenan Allen WR DeSean Jackson TE C.J. Uzomah DST Patriots ,,Kenny Golladay,WR,3.20%,19.8
64,1265714532,Winebest (7/20),0,189.66,QB Patrick Mahomes RB Nick Chubb FLEX Aaron Jones RB Mark Ingram WR Davante Adams WR Marquez Valdes-Scantling WR Maurice Harris TE Travis Kelce DST Packers ,,Mark Ingram,RB,3.03%,28.2
65,1262801354,Asavino94 (2/2),0,189.4,QB Patrick Mahomes RB Melvin Gordon III RB Nick Chubb WR Tyreek Hill FLEX Julian Edelman WR Chris Godwin WR Adam Humphries TE Trey Burton DST Browns ,,Chris Herndon,TE,3.02%,6.4
66,1268952683,RMarkJames (2/5),0,189.3,QB Mitchell Trubisky RB Nick Chubb RB Jordan Howard WR Julio Jones WR Michael Thomas FLEX Josh Gordon WR Allen Robinson II TE Ricky Seals-Jones DST Jets ,,Mitchell Trubisky,QB,2.88%,39
67,1269904667,harrisonl1992,0,188.7,QB Drew Brees RB David Johnson RB Mark Ingram WR Tyreek Hill WR Cooper Kupp FLEX Doug Baldwin WR Allen Robinson II TE O.J. Howard DST Colts ,,Adrian Peterson,RB,2.87%,8.9
68,1268073524,AntsMarching (2/2),0,188.62,QB Marcus Mariota RB Todd Gurley II RB David Johnson FLEX Brandin Cooks WR Josh Gordon WR Corey Davis WR John Ross TE Jack Doyle DST Bears ,,Eric Ebron,TE,2.76%,28.1
69,1268533254,GoldenBuff57 (2/2),0,188.58,QB Baker Mayfield RB Todd Gurley II RB Nick Chubb FLEX Aaron Jones WR Julian Edelman WR Kenny Golladay WR Antonio Callaway TE O.J. Howard DST Chargers ,,Tarik Cohen,RB,2.72%,16.4
70,1264162668,kplally,0,188.4,QB Blake Bortles RB Todd Gurley II RB Melvin Gordon III FLEX Aaron Jones WR Josh Gordon WR Donte Moncrief WR Maurice Harris TE Austin Hooper DST Chiefs ,,Robert Woods,WR,2.58%,14.6
71,1269622803,rjmjrmkt,0,188.24,QB Baker Mayfield RB Alvin Kamara RB Kareem Hunt FLEX Theo Riddick WR Tyreek Hill WR T.Y. Hilton WR Allen Robinson II TE Eric Ebron DST Titans ,,Chris Conley,WR,2.47%,3.2
72,1267302814,Pride2120,0,188.1,QB Mitchell Trubisky RB Alvin Kamara RB T.J. Yeldon FLEX Dion Lewis WR Michael Thomas WR Brandin Cooks WR Adam Humphries TE Austin Hooper DST Redskins ,,James White,RB,2.45%,7.6
