Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Mike Williams (11574165),Mike Williams,11574165,WR/FLEX,3800,LAC@OAK 11/11/2018 04:05PM ET,LAC,10.42
WR,Robby Anderson (11574167),Robby Anderson,11574167,WR/FLEX,3800,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,9.22
TE,C.J. Uzomah (11574347),C.J. Uzomah,11574347,TE/FLEX,3700,NO@CIN 11/11/2018 01:00PM ET,CIN,5.92
RB,Ito Smith (11573941),Ito Smith,11573941,RB/FLEX,3700,ATL@CLE 11/11/2018 01:00PM ET,ATL,8.09
RB,Nyheim Hines (11573943),Nyheim Hines,11573943,RB/FLEX,3700,JAX@IND 11/11/2018 01:00PM ET,IND,11.81
WR,Chester Rogers (11574169),Chester Rogers,11574169,WR/FLEX,3700,JAX@IND 11/11/2018 01:00PM ET,IND,8.94
WR,Quincy Enunwa (11574171),Quincy Enunwa,11574171,WR/FLEX,3700,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,8.96
WR,Ryan Grant (11574173),Ryan Grant,11574173,WR/FLEX,3600,JAX@IND 11/11/2018 01:00PM ET,IND,9.83
WR,D.J. Chark Jr. (11574175),D.J. Chark Jr.,11574175,WR/FLEX,3600,JAX@IND 11/11/2018 01:00PM ET,JAX,3.36
DST,Bears  (11574505),Bears ,11574505,DST,3600,DET@CHI 11/11/2018 01:00PM ET,CHI,12.38
WR,Tajae Sharpe (11574177),Tajae Sharpe,11574177,WR/FLEX,3600,NE@TEN 11/11/2018 01:00PM ET,TEN,6.22
RB,Kapri Bibbs (11573945),Kapri Bibbs,11573945,RB/FLEX,3600,WAS@TB 11/11/2018 01:00PM ET,WAS,6
RB,Mark Walton (11573947),Mark Walton,11573947,RB/FLEX,3500,NO@CIN 11/11/2018 01:00PM ET,CIN,1.92
WR,Rashard Higgins (11574179),Rashard Higgins,11574179,WR/FLEX,3500,ATL@CLE 11/11/2018 01:00PM ET,CLE,8.55
RB,Jamaal Williams (11573949),Jamaal Williams,11573949,RB/FLEX,3500,MIA@GB 11/11/2018 04:25PM ET,GB,6.55
RB,Frank Gore (11573951),Frank Gore,11573951,RB/FLEX,3500,MIA@GB 11/11/2018 04:25PM ET,MIA,7.4
WR,Equanimeous St. Brown (11574181),Equanimeous St. Brown,11574181,WR/FLEX,3500,MIA@GB 11/11/2018 04:25PM ET,GB,4.26
WR,Jakeem Grant (11574183),Jakeem Grant,11574183,WR/FLEX,3500,MIA@GB 11/11/2018 04:25PM ET,MIA,8.03
TE,Eric Ebron (11574349),Eric Ebron,11574349,TE/FLEX,3500,JAX@IND 11/11/2018 01:00PM ET,IND,15.04
RB,Rex Burkhead (11573953),Rex Burkhead,11573953,RB/FLEX,3500,NE@TEN 11/11/2018 01:00PM ET,NE,4.9
RB,Peyton Barber (11573955),Peyton Barber,11573955,RB/FLEX,3500,WAS@TB 11/11/2018 01:00PM ET,TB,7.78
RB,Rashaad Penny (11573957),Rashaad Penny,11573957,RB/FLEX,3500,SEA@LAR 11/11/2018 04:25PM ET,SEA,3.89
WR,Martavis Bryant (11574185),Martavis Bryant,11574185,WR/FLEX,3500,LAC@OAK 11/11/2018 04:05PM ET,OAK,6
DST,Chargers  (11574507),Chargers ,11574507,DST,3500,LAC@OAK 11/11/2018 04:05PM ET,LAC,6.5
WR,Jermaine Kearse (11574187),Jermaine Kearse,11574187,WR/FLEX,3500,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,5.44
WR,Alex Erickson (11574189),Alex Erickson,11574189,WR/FLEX,3400,NO@CIN 11/11/2018 01:00PM ET,CIN,1.65
TE,Benjamin Watson (11574351),Benjamin Watson,11574351,TE/FLEX,3400,NO@CIN 11/11/2018 01:00PM ET,NO,8.4
RB,Jordan Wilkins (11573959),Jordan Wilkins,11573959,RB/FLEX,3400,JAX@IND 11/11/2018 01:00PM ET,IND,4.59
RB,Kenjon Barner (11573961),Kenjon Barner,11573961,RB/FLEX,3400,NE@TEN 11/11/2018 01:00PM ET,NE,1.42
WR,Taywan Taylor (11574191),Taywan Taylor,11574191,WR/FLEX,3400,NE@TEN 11/11/2018 01:00PM ET,TEN,5.92
WR,Phillip Dorsett (11574193),Phillip Dorsett,11574193,WR/FLEX,3400,NE@TEN 11/11/2018 01:00PM ET,NE,6.42
RB,Ronald Jones II (11573963),Ronald Jones II,11573963,RB/FLEX,3400,WAS@TB 11/11/2018 01:00PM ET,TB,4.9
RB,Elijah McGuire (11573965),Elijah McGuire,11573965,RB/FLEX,3400,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,9.7
WR,Kelvin Benjamin (11574195),Kelvin Benjamin,11574195,WR/FLEX,3400,BUF@NYJ 11/11/2018 01:00PM ET,BUF,6.24
DST,Jets  (11574506),Jets ,11574506,DST,3400,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,8.11
WR,Zach Pascal (11574197),Zach Pascal,11574197,WR/FLEX,3300,JAX@IND 11/11/2018 01:00PM ET,IND,4.22
DST,Chiefs  (11574509),Chiefs ,11574509,DST,3300,ARI@KC 11/11/2018 01:00PM ET,KC,7.56
