,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
29,Sterling Shepard,NYG,4.7,4.0,4.4,64.8,45.0,55.9,0.4,0.0,0.2,0.1,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,8.3,4.5,7.0,10,WR
30,Marquise Goodwin,PHI,4.0,2.3,3.1,55.6,45.5,48.9,0.5,0.0,0.3,0.8,0.0,0.5,4.9,0.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,8.7,5.0,6.9,10,WR
31,Tyler Lockett,SEA,4.0,2.5,3.2,57.0,36.1,47.7,0.4,0.0,0.3,0.6,0.2,0.4,5.6,2.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,8.1,4.5,6.6,10,WR
32,DeSean Jackson,PHI,3.4,2.0,2.9,63.6,40.0,50.3,0.3,0.0,0.2,0.6,0.1,0.4,3.8,0.5,2.3,0.0,0.0,0.0,0.0,0.0,0.0,8.4,5.0,6.6,10,WR
33,Dede Westbrook,JAC,4.1,3.0,3.7,58.6,48.0,52.5,0.3,0.0,0.2,0.4,0.0,0.2,2.7,0.0,1.1,0.0,0.0,0.0,0.0,0.1,0.0,7.8,5.5,6.6,10,WR
34,Tyrell Williams,LV,3.4,1.9,2.6,68.7,27.1,46.4,0.5,0.0,0.3,0.1,0.0,0.1,1.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.4,6.5,10,WR
35,Donte Moncrief,NE,5.0,3.0,3.8,55.0,38.3,48.1,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.3,5.5,6.3,10,WR
36,Tre'Quan Smith,NO,4.0,1.9,3.1,46.0,36.7,43.5,0.5,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,4.5,6.3,10,WR
37,Mohamed Sanu,DET,3.9,3.0,3.6,48.5,40.0,44.9,0.3,0.0,0.2,0.1,0.0,0.1,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,6.7,4.0,6.0,10,WR
38,DJ Moore,CAR,4.0,2.7,3.4,48.0,38.4,45.0,0.2,0.0,0.1,0.9,0.2,0.7,14.4,2.5,6.3,0.0,0.0,0.0,0.0,0.1,0.0,6.7,5.5,6.0,10,WR
39,David Moore,SEA,3.4,1.2,2.4,47.0,25.9,39.1,0.4,0.2,0.3,0.2,0.0,0.1,0.9,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,7.1,4.0,5.8,10,WR
40,Chris Godwin,TB,3.8,2.8,3.3,47.2,35.0,42.6,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,6.8,3.5,5.7,10,WR
41,Josh Doctson,NYJ,4.0,2.8,3.3,50.2,36.6,43.2,0.3,0.0,0.2,0.0,0.0,0.0,0.1,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,4.0,5.6,10,WR
42,Danny Amendola,DET,5.0,3.6,4.4,50.0,38.5,46.3,0.2,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,6.3,4.4,5.5,10,WR
43,Anthony Miller,CHI,3.2,2.0,2.7,41.7,20.0,33.9,0.4,0.0,0.3,0.5,0.0,0.2,3.3,0.0,1.5,0.0,0.0,0.0,0.0,0.1,0.0,6.9,2.0,5.2,10,WR
44,Tajae Sharpe,KC,3.1,2.1,2.7,45.0,33.9,37.5,0.5,0.0,0.2,0.3,0.0,0.1,1.6,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,6.6,4.2,5.1,10,WR
45,John Ross,CIN,3.3,2.0,2.8,42.1,29.9,35.4,0.4,0.0,0.2,0.4,0.2,0.2,2.0,-0.1,1.0,0.0,0.0,0.0,0.0,0.1,0.1,6.7,3.0,4.9,10,WR
