,Player,Position,Salary,DK_Points,DK_Value
0,Blake Bortles,QB,4900,19.144000000000002,255.95486836606767
1,Aaron Rodgers,QB,6400,24.896,257.0694087403599
2,Philip Rivers,QB,6000,23.019999999999996,260.6429192006951
3,Matt Ryan,QB,6200,23.75,261.05263157894734
4,Matthew Stafford,QB,5000,18.887999999999998,264.71833968657353
5,Ryan Fitzpatrick,QB,5900,22.110000000000007,266.847580280416
6,Derek Carr,QB,4700,17.058,275.53054285379295
7,Tom Brady,QB,6000,21.518,278.836323078353
8,Jared Goff,QB,6100,21.872000000000007,278.89539136795895
9,Mitch Trubisky,QB,5600,20.058,279.1903479908266
10,Drew Brees,QB,6300,22.526,279.67681789931635
11,Alex Smith,QB,5300,18.892,280.5420283717976
12,Patrick Mahomes,QB,7200,25.577999999999996,281.4919071076707
13,Andy Dalton,QB,5800,20.574000000000005,281.90920579372016
14,Baker Mayfield,QB,5400,19.012,284.03113822848724
15,Marcus Mariota,QB,4700,16.372000000000003,287.0754947471292
16,Andrew Luck,QB,5500,18.656,294.811320754717
17,Russell Wilson,QB,5700,19.266000000000002,295.85798816568047
18,Josh McCown,QB,4300,14.324,300.1954761239877
19,Brock Osweiler,QB,4600,14.666000000000002,313.65062048274916
20,Josh Rosen,QB,4800,14.458,331.996126711855
21,Dion Lewis,RB,4600,15.090000000000002,304.8376408217362
22,Aaron Jones,RB,5000,14.649999999999999,341.2969283276451
23,Todd Gurley,RB,9400,26.790000000000003,350.8771929824561
24,Tevin Coleman,RB,5400,15.37,351.3337670787248
25,Kerryon Johnson,RB,4700,13.31,353.11795642374153
26,LeSean McCoy,RB,4500,12.67,355.1696921862668
27,Austin Ekeler,RB,4000,11.23,356.18878005342833
28,Mark Ingram,RB,4500,12.42,362.3188405797101
29,Alvin Kamara,RB,8700,23.99,362.6511046269279
30,Duke Johnson,RB,4700,12.930000000000001,363.49574632637274
31,Jalen Richard,RB,4800,13.200000000000001,363.6363636363636
32,Isaiah Crowell,RB,4200,11.52,364.58333333333337
33,Melvin Gordon,RB,9000,24.43,368.3995088006549
34,Nick Chubb,RB,5500,14.86,370.121130551817
35,Kareem Hunt,RB,8500,22.82,372.48028045574057
36,David Johnson,RB,6800,18.130000000000003,375.06894649751786
37,Elijah McGuire,RB,3400,8.9,382.02247191011236
38,Peyton Barber,RB,3500,8.97,390.1895206243032
39,Jordan Howard,RB,4700,11.889999999999999,395.2901597981498
40,Adrian Peterson,RB,5700,14.27,399.43938332165385
41,Marlon Mack,RB,6000,14.610000000000001,410.67761806981514
42,Theo Riddick,RB,3800,9.23,411.70097508125673
