,Player,Salary,Position
0,Lamar Jackson,8000.0,QB
93,DK Metcalf,7800.0,WR
35,David Montgomery,7700.0,RB
1,Deshaun Watson,7600.0,QB
2,Justin Herbert,7400.0,QB
36,Jonathan Taylor,7300.0,RB
3,Jalen Hurts,7000.0,QB
37,Miles Sanders,7000.0,RB
38,James Robinson,6800.0,RB
94,Terry McLaurin,6700.0,WR
95,Cooper Kupp,6600.0,WR
39,Antonio Gibson,6600.0,RB
40,Tony Pollard,6500.0,RB
41,JD McKissic,6400.0,RB
42,Chris Carson,6400.0,RB
96,Diontae Johnson,6300.0,WR
43,Cam Akers,6300.0,RB
44,JK Dobbins,6200.0,RB
97,Brandin Cooks,6200.0,WR
45,David Johnson,6100.0,RB
46,Clyde Edwards-Helaire,6000.0,RB
98,Chase Claypool,5900.0,WR
47,Le'Veon Bell,5800.0,RB
99,Marquise Brown,5700.0,WR
177,Mark Andrews,5700.0,TE
48,Melvin Gordon,5600.0,RB
100,Robby Anderson,5500.0,WR
101,Keke Coutee,5400.0,WR
102,CeeDee Lamb,5300.0,WR
49,Benny Snell,5300.0,RB
4,Dwayne Haskins,5200.0,QB
5,Gardner Minshew,5200.0,QB
6,Drew Lock,5000.0,QB
50,Duke Johnson,5000.0,RB
8,Daniel Jones,5000.0,QB
7,Sam Darnold,5000.0,QB
103,Sammy Watkins,5000.0,WR
51,Boston Scott,4900.0,RB
9,Joe Flacco,4900.0,QB
178,Noah Fant,4800.0,TE
13,Ben DiNucci,4800.0,QB
11,Case Keenum,4800.0,QB
10,Brett Rypien,4800.0,QB
12,Ryan Finley,4800.0,QB
104,Tee Higgins,4700.0,WR
179,Hunter Henry,4700.0,TE
105,Jalen Reagor,4600.0,WR
15,John Wolford,4500.0,QB
106,Jamison Crowder,4500.0,WR
52,Ty Johnson,4500.0,RB
53,Devonta Freeman,4500.0,RB
54,Darrell Henderson,4500.0,RB
14,PJ Walker,4500.0,QB
16,Jeff Driskel,4400.0,QB
