,Player,Salary,Position
75,DK Metcalf,7800.0,WR
25,David Montgomery,7700.0,RB
0,Justin Herbert,7400.0,QB
26,Jonathan Taylor,7300.0,RB
27,Miles Sanders,7000.0,RB
1,Jalen Hurts,7000.0,QB
28,James Robinson,6800.0,RB
76,Terry McLaurin,6700.0,WR
29,Antonio Gibson,6600.0,RB
30,Tony Pollard,6500.0,RB
31,JD McKissic,6400.0,RB
77,Diontae Johnson,6300.0,WR
32,Cam Akers,6300.0,RB
33,JK Dobbins,6200.0,RB
34,Clyde Edwards-Helaire,6000.0,RB
78,Chase Claypool,5900.0,WR
35,Le'Veon Bell,5800.0,RB
79,Marquise Brown,5700.0,WR
2,Carson Wentz,5400.0,QB
80,Keke Coutee,5400.0,WR
36,Benny Snell,5300.0,RB
81,CeeDee Lamb,5300.0,WR
4,Gardner Minshew,5200.0,QB
3,Dwayne Haskins,5200.0,QB
82,Russell Gage,5100.0,WR
6,Daniel Jones,5000.0,QB
5,Drew Lock,5000.0,QB
37,Boston Scott,4900.0,RB
83,Curtis Samuel,4900.0,WR
147,Noah Fant,4800.0,TE
8,Ryan Finley,4800.0,QB
7,Brett Rypien,4800.0,QB
9,Ben DiNucci,4800.0,QB
84,Tee Higgins,4700.0,WR
148,Hunter Henry,4700.0,TE
85,Jalen Reagor,4600.0,WR
10,PJ Walker,4500.0,QB
38,Ty Johnson,4500.0,RB
39,Devonta Freeman,4500.0,RB
40,Darrell Henderson,4500.0,RB
11,John Wolford,4500.0,QB
13,Jake Luton,4300.0,QB
12,Will Grier,4300.0,QB
86,Michael Pittman,4200.0,WR
41,Mark Ingram,4200.0,RB
42,Anthony McFarland,4100.0,RB
14,Mason Rudolph,4100.0,QB
15,Tyler Huntley,4100.0,QB
16,Trace McSorley,4100.0,QB
69,Nick Bellore,4000.0,RB
70,Xavier Jones,4000.0,RB
20,Jacob Eason,4000.0,QB
68,Travis Homer,4000.0,RB
71,Raymond Calais,4000.0,RB
72,Jason Huntley,4000.0,RB
73,Rico Dowdle,4000.0,RB
74,Sewo Olonilua,4000.0,RB
24,Joe Burrow,4000.0,QB
19,Josh Dobbs,4000.0,QB
18,Kyle Allen,4000.0,QB
17,Steven Montez,4000.0,QB
66,Artavis Pierce,4000.0,RB
87,Tyron Johnson,4000.0,WR
88,Darnell Mooney,4000.0,WR
89,Greg Ward,4000.0,WR
67,DeeJay Dallas,4000.0,RB
65,Ryan Nall,4000.0,RB
23,Clayton Thorson,4000.0,QB
52,Josh Adams,4000.0,RB
22,James Morgan,4000.0,QB
43,Rodney Smith,4000.0,RB
44,Reggie Bonnafon,4000.0,RB
45,Mike Warren,4000.0,RB
46,Bryce Love,4000.0,RB
47,Darwin Thompson,4000.0,RB
21,Easton Stick,4000.0,QB
49,Kalen Ballage,4000.0,RB
50,Joshua Kelley,4000.0,RB
64,Ryquell Armstead,4000.0,RB
51,Gabe Nabers,4000.0,RB
53,La'Mical Perine,4000.0,RB
54,D'Ernest Johnson,4000.0,RB
55,Justice Hill,4000.0,RB
56,Eli Penny,4000.0,RB
57,Samaje Perine,4000.0,RB
58,Trayveon Williams,4000.0,RB
59,CJ Prosise,4000.0,RB
60,Scottie Phillips,4000.0,RB
61,Dontrell Hilliard,4000.0,RB
62,Devine Ozigbo,4000.0,RB
63,Nathan Cottrell,4000.0,RB
48,Qadree Ollison,4000.0,RB
90,Darius Slayton,3800.0,WR
91,Jerry Jeudy,3700.0,WR
92,Donovan Peoples-Jones,3700.0,WR
93,Laviska Shenault,3700.0,WR
94,Denzel Mims,3600.0,WR
95,Travis Fulgham,3500.0,WR
149,Hayden Hurst,3400.0,TE
