,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Antonio Brown,TB,8.5,6.7,7.4,125.0,91.0,107.8,1.0,0.6,0.8,0.1,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,18.5,13.2,15.4,2,WR
1,Michael Thomas,NO,8.2,6.4,7.3,105.0,81.0,92.8,1.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,16.5,11.5,13.2,2,WR
2,Julio Jones,ATL,9.0,5.6,6.7,110.0,82.0,95.1,1.0,0.4,0.6,0.3,0.0,0.1,2.0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,17.0,10.5,12.8,2,WR
3,DeAndre Hopkins,ARI,8.0,5.8,6.5,105.0,81.3,91.3,1.0,0.5,0.6,0.1,0.0,0.1,0.8,-0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.1,16.5,11.2,12.8,2,WR
4,Odell Beckham,CLE,8.8,6.0,6.9,94.3,81.6,87.3,1.0,0.5,0.6,0.5,0.0,0.2,2.8,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,15.0,11.1,12.5,2,WR
5,Tyreek Hill,KC,6.0,4.9,5.4,100.0,69.0,77.9,1.0,0.3,0.6,1.5,0.9,1.3,9.1,4.0,7.2,0.0,0.0,0.0,0.0,0.1,0.0,16.0,10.3,11.8,2,WR
6,Keenan Allen,LAC,7.4,5.7,6.5,94.6,77.0,83.1,1.0,0.4,0.5,0.1,0.0,0.1,0.9,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,14.0,10.2,11.5,2,WR
7,AJ Green,CIN,6.0,5.2,5.7,80.0,73.0,76.0,1.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,14.0,10.0,11.0,2,WR
8,Jarvis Landry,CLE,7.6,5.8,6.6,99.1,59.1,77.7,1.0,0.3,0.5,0.2,0.0,0.1,1.3,-0.1,0.3,0.0,0.0,0.0,0.0,0.2,0.1,14.0,7.8,10.7,2,WR
9,Davante Adams,GB,5.4,4.7,5.0,80.0,61.1,67.5,1.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.1,10.6,2,WR
10,Mike Evans,TB,7.0,4.8,5.5,80.0,63.0,73.0,1.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.7,10.5,2,WR
11,Stefon Diggs,BUF,6.0,4.5,5.2,80.0,61.6,68.8,1.0,0.4,0.6,0.8,0.2,0.5,3.0,1.9,2.4,0.0,0.0,0.0,0.0,0.2,0.1,14.0,9.6,10.5,2,WR
12,Adam Thielen,MIN,5.7,5.0,5.3,80.7,69.5,74.9,1.0,0.3,0.5,0.2,0.0,0.1,1.5,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.1,13.5,8.8,10.5,2,WR
13,JuJu Smith-Schuster,PIT,5.3,4.3,4.8,80.2,55.0,66.9,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.8,10.3,2,WR
14,Emmanuel Sanders,NO,6.0,4.9,5.4,85.0,58.4,69.0,1.0,0.4,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,8.1,10.0,2,WR
15,Golden Tate,NYG,7.0,5.5,6.1,75.0,65.4,68.8,1.0,0.3,0.5,0.3,0.0,0.2,1.8,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.1,13.5,8.5,9.7,2,WR
16,Brandin Cooks,HOU,6.0,3.6,4.4,75.0,53.0,61.9,1.0,0.3,0.5,1.0,0.1,0.6,5.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.8,9.6,2,WR
17,Nelson Agholor,LV,6.6,4.6,5.3,65.6,56.5,61.5,1.0,0.3,0.5,0.6,0.2,0.4,3.1,1.1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,7.8,9.4,2,WR
18,TY Hilton,IND,5.0,4.3,4.7,75.3,66.4,71.4,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,10.5,7.0,9.2,2,WR
19,Devin Funchess,GB,4.2,3.8,3.9,65.0,51.3,57.9,1.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,12.5,7.5,8.7,2,WR
20,Randall Cobb,HOU,5.0,4.6,4.8,60.0,49.0,54.5,1.0,0.3,0.5,0.7,0.3,0.6,3.9,0.4,2.1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.1,8.6,2,WR
21,Kenny Golladay,DET,5.0,2.9,3.9,75.0,41.9,59.7,1.0,0.1,0.4,0.2,0.0,0.1,1.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,6.1,8.4,2,WR
22,Cooper Kupp,LAR,4.9,3.6,4.2,58.9,42.5,51.5,1.0,0.3,0.5,0.6,0.0,0.2,3.6,0.0,1.3,0.0,0.0,0.0,0.0,0.1,0.0,11.0,5.9,8.2,2,WR
23,Allen Robinson,CHI,4.4,4.0,4.2,65.0,58.0,61.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,6.5,8.2,2,WR
24,Marvin Jones,DET,4.1,3.8,4.0,64.6,55.0,60.4,0.5,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,9.5,5.5,8.2,2,WR
25,Corey Davis,TEN,5.0,4.0,4.4,65.0,46.1,55.3,1.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,12.5,6.4,8.1,2,WR
26,Tyler Lockett,SEA,4.4,3.2,3.8,65.0,41.1,53.3,1.0,0.1,0.4,0.8,0.1,0.5,5.5,0.6,3.3,0.0,0.0,0.0,0.0,0.0,0.0,12.5,4.9,7.9,2,WR
27,Will Fuller,HOU,3.5,3.0,3.3,50.6,44.0,48.1,1.0,0.3,0.5,0.3,0.0,0.2,1.6,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.3,7.8,2,WR
28,Larry Fitzgerald,ARI,6.6,6.0,6.4,70.0,62.2,66.2,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,8.6,7.0,7.8,2,WR
29,Robert Woods,LAR,5.2,4.0,4.4,67.0,53.0,57.1,0.4,0.0,0.3,0.3,0.0,0.2,1.8,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,9.2,5.5,7.5,2,WR
30,Amari Cooper,DAL,5.0,3.3,4.3,65.0,43.6,57.2,0.4,0.0,0.3,0.2,0.0,0.1,1.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,8.1,6.3,7.3,2,WR
31,Robby Anderson,CAR,5.0,3.5,3.9,70.0,44.8,53.7,0.4,0.0,0.3,0.3,0.0,0.2,1.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.1,6.9,7.1,2,WR
32,Jamison Crowder,NYJ,4.5,4.0,4.2,57.8,49.4,53.4,0.3,0.0,0.2,0.5,0.2,0.3,2.7,0.6,1.6,0.0,0.0,0.0,0.0,0.2,0.1,7.7,5.5,6.8,2,WR
33,Mike Williams,LAC,5.0,3.0,3.5,60.0,34.8,42.8,1.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,12.0,4.9,6.7,2,WR
34,Sterling Shepard,NYG,5.7,4.0,4.7,59.0,50.0,52.8,0.3,0.0,0.2,0.2,0.0,0.1,1.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,7.2,5.0,6.5,2,WR
35,Dante Pettis,NYG,4.0,3.2,3.6,55.0,42.2,48.9,0.4,0.0,0.3,0.5,0.0,0.2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,7.6,5.5,6.5,2,WR
36,Sammy Watkins,KC,3.8,2.8,3.2,61.0,37.6,45.7,0.4,0.0,0.3,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,4.0,6.1,2,WR
37,Tyrell Williams,LV,3.7,2.6,3.0,53.8,41.0,45.5,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.8,4.5,6.0,2,WR
38,Chris Godwin,TB,3.4,2.3,2.9,42.4,33.1,38.6,1.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.9,5.9,2,WR
39,Keelan Cole,JAC,4.0,2.6,3.4,54.0,36.1,47.1,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,6.7,4.5,5.7,2,WR
