,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
50,WR,Antonio Brown (15751678),Antonio Brown,15751678.0,WR/FLEX,5800.0,TB@CAR 11/15/2020 01:00PM ET,TB,6.1
51,WR,Chase Claypool (15751680),Chase Claypool,15751680.0,WR/FLEX,5800.0,CIN@PIT 11/15/2020 04:25PM ET,PIT,15.24
52,RB,Myles Gaskin (15751436),Myles Gaskin,15751436.0,RB/FLEX,5800.0,LAC@MIA 11/15/2020 04:05PM ET,MIA,14.21
53,RB,Raheem Mostert (15751438),Raheem Mostert,15751438.0,RB/FLEX,5700.0,SF@NO 11/15/2020 04:25PM ET,SF,17.08
54,WR,Brandon Aiyuk (15751682),Brandon Aiyuk,15751682.0,WR/FLEX,5700.0,SF@NO 11/15/2020 04:25PM ET,SF,14.14
55,WR,Christian Kirk (15751684),Christian Kirk,15751684.0,WR/FLEX,5700.0,BUF@ARI 11/15/2020 04:05PM ET,ARI,14.61
56,QB,Joe Burrow (15751363),Joe Burrow,15751363.0,QB,5700.0,CIN@PIT 11/15/2020 04:25PM ET,CIN,21.61
57,RB,Antonio Gibson (15751442),Antonio Gibson,15751442.0,RB/FLEX,5600.0,WAS@DET 11/15/2020 01:00PM ET,WAS,13.79
58,WR,Jerry Jeudy (15751688),Jerry Jeudy,15751688.0,WR/FLEX,5600.0,DEN@LV 11/15/2020 04:05PM ET,DEN,11.68
59,RB,Jerick McKinnon (15751440),Jerick McKinnon,15751440.0,RB/FLEX,5600.0,SF@NO 11/15/2020 04:25PM ET,SF,11.49
60,WR,Brandin Cooks (15751686),Brandin Cooks,15751686.0,WR/FLEX,5600.0,HOU@CLE 11/15/2020 01:00PM ET,HOU,13.62
61,QB,Tua Tagovailoa (15751364),Tua Tagovailoa,15751364.0,QB,5600.0,LAC@MIA 11/15/2020 04:05PM ET,MIA,9.5
62,QB,Drew Lock (15751365),Drew Lock,15751365.0,QB,5500.0,DEN@LV 11/15/2020 04:05PM ET,DEN,14.57
63,QB,Gardner Minshew II (15751366),Gardner Minshew,15751366.0,QB,5500.0,JAX@GB 11/15/2020 01:00PM ET,JAC,21.2
64,RB,Leonard Fournette (15751444),Leonard Fournette,15751444.0,RB/FLEX,5500.0,TB@CAR 11/15/2020 01:00PM ET,TB,12.27
65,WR,Tee Higgins (15751690),Tee Higgins,15751690.0,WR/FLEX,5500.0,CIN@PIT 11/15/2020 04:25PM ET,CIN,15.09
66,QB,Derek Carr (15751367),Derek Carr,15751367.0,QB,5400.0,DEN@LV 11/15/2020 04:05PM ET,LV,19.24
67,WR,Deebo Samuel (15751692),Deebo Samuel,15751692.0,WR/FLEX,5400.0,SF@NO 11/15/2020 04:25PM ET,SF,10.48
68,QB,Jake Luton (15751368),Jake Luton,15751368.0,QB,5400.0,JAX@GB 11/15/2020 01:00PM ET,JAC,25.46
69,RB,David Johnson (15751448),David Johnson,15751448.0,RB/FLEX,5400.0,HOU@CLE 11/15/2020 01:00PM ET,HOU,11.99
70,RB,Giovani Bernard (15751446),Giovani Bernard,15751446.0,RB/FLEX,5400.0,CIN@PIT 11/15/2020 04:25PM ET,CIN,10.16
71,WR,Mike Williams (15751694),Mike Williams,15751694.0,WR/FLEX,5400.0,LAC@MIA 11/15/2020 04:05PM ET,LAC,11.91
72,QB,Nick Mullens (15751369),Nick Mullens,15751369.0,QB,5300.0,SF@NO 11/15/2020 04:25PM ET,SF,12.5
73,QB,Jimmy Garoppolo (15751370),Jimmy Garoppolo,15751370.0,QB,5300.0,SF@NO 11/15/2020 04:25PM ET,SF,11.56
74,WR,John Brown (15751696),John Brown,15751696.0,WR/FLEX,5300.0,BUF@ARI 11/15/2020 04:05PM ET,BUF,9.49
75,RB,Ronald Jones II (15751450),Ronald Jones,15751450.0,RB/FLEX,5300.0,TB@CAR 11/15/2020 01:00PM ET,TB,13.62
76,QB,Ryan Fitzpatrick (15751371),Ryan Fitzpatrick,15751371.0,QB,5300.0,LAC@MIA 11/15/2020 04:05PM ET,MIA,22.65
77,QB,Tyrod Taylor (15751372),Tyrod Taylor,15751372.0,QB,5300.0,LAC@MIA 11/15/2020 04:05PM ET,LAC,4.51
78,RB,Austin Ekeler (15751452),Austin Ekeler,15751452.0,RB/FLEX,5300.0,LAC@MIA 11/15/2020 04:05PM ET,LAC,15.55
79,QB,Alex Smith (15751375),Alex Smith,15751375.0,QB,5200.0,WAS@DET 11/15/2020 01:00PM ET,WAS,9.29
80,WR,Marvin Jones Jr. (15751698),Marvin Jones,15751698.0,WR/FLEX,5200.0,WAS@DET 11/15/2020 01:00PM ET,DET,9.98
81,RB,Melvin Gordon III (15751454),Melvin Gordon,15751454.0,RB/FLEX,5200.0,DEN@LV 11/15/2020 04:05PM ET,DEN,14.0
82,QB,C.J. Beathard (15751374),CJ Beathard,15751374.0,QB,5200.0,SF@NO 11/15/2020 04:25PM ET,SF,6.14
83,RB,Zack Moss (15751456),Zack Moss,15751456.0,RB/FLEX,5200.0,BUF@ARI 11/15/2020 04:05PM ET,BUF,9.92
84,QB,Daniel Jones (15751373),Daniel Jones,15751373.0,QB,5200.0,PHI@NYG 11/15/2020 01:00PM ET,NYG,14.24
85,WR,Diontae Johnson (15751700),Diontae Johnson,15751700.0,WR/FLEX,5200.0,CIN@PIT 11/15/2020 04:25PM ET,PIT,11.47
86,RB,D'Andre Swift (15751460),D'Andre Swift,15751460.0,RB/FLEX,5100.0,WAS@DET 11/15/2020 01:00PM ET,DET,13.09
87,TE,T.J. Hockenson (15751948),TJ Hockenson,15751948.0,TE/FLEX,5100.0,WAS@DET 11/15/2020 01:00PM ET,DET,12.75
88,QB,Jameis Winston (15751376),Jameis Winston,15751376.0,QB,5100.0,SF@NO 11/15/2020 04:25PM ET,NO,0.18
89,RB,DeeJay Dallas (15751458),DeeJay Dallas,15751458.0,RB/FLEX,5100.0,SEA@LAR 11/15/2020 04:25PM ET,SEA,8.56
90,WR,DJ Moore (15751702),DJ Moore,15751702.0,WR/FLEX,5100.0,TB@CAR 11/15/2020 01:00PM ET,CAR,13.33
91,QB,Chase Daniel (15751378),Chase Daniel,15751378.0,QB,5000.0,WAS@DET 11/15/2020 01:00PM ET,DET,7.26
92,QB,Dwayne Haskins Jr. (15751379),Dwayne Haskins,15751379.0,QB,5000.0,WAS@DET 11/15/2020 01:00PM ET,WAS,15.14
93,RB,Phillip Lindsay (15751462),Phillip Lindsay,15751462.0,RB/FLEX,5000.0,DEN@LV 11/15/2020 04:05PM ET,DEN,8.68
94,QB,Case Keenum (15751377),Case Keenum,15751377.0,QB,5000.0,HOU@CLE 11/15/2020 01:00PM ET,CLE,1.84
95,RB,Duke Johnson (15751464),Duke Johnson,15751464.0,RB/FLEX,5000.0,HOU@CLE 11/15/2020 01:00PM ET,HOU,6.57
96,WR,Sterling Shepard (15751704),Sterling Shepard,15751704.0,WR/FLEX,5000.0,PHI@NYG 11/15/2020 01:00PM ET,NYG,12.24
97,RB,Kalen Ballage (15751466),Kalen Ballage,15751466.0,RB/FLEX,5000.0,LAC@MIA 11/15/2020 04:05PM ET,LAC,8.35
98,WR,DeVante Parker (15751706),DeVante Parker,15751706.0,WR/FLEX,5000.0,LAC@MIA 11/15/2020 04:05PM ET,MIA,12.51
99,RB,J.D. McKissic (15751470),JD McKissic,15751470.0,RB/FLEX,4900.0,WAS@DET 11/15/2020 01:00PM ET,WAS,9.32
100,WR,Nelson Agholor (15751710),Nelson Agholor,15751710.0,WR/FLEX,4900.0,DEN@LV 11/15/2020 04:05PM ET,LV,10.59
101,WR,Tim Patrick (15751712),Tim Patrick,15751712.0,WR/FLEX,4900.0,DEN@LV 11/15/2020 04:05PM ET,DEN,12.76
102,TE,Noah Fant (15751950),Noah Fant,15751950.0,TE/FLEX,4900.0,DEN@LV 11/15/2020 04:05PM ET,DEN,11.56
103,RB,Kenyan Drake (15751468),Kenyan Drake,15751468.0,RB/FLEX,4900.0,BUF@ARI 11/15/2020 04:05PM ET,ARI,12.59
104,WR,Curtis Samuel (15751708),Curtis Samuel,15751708.0,WR/FLEX,4900.0,TB@CAR 11/15/2020 01:00PM ET,CAR,14.01
