,Player,Team,Position,Salary,Name + ID,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX
0,Justin Herbert,LAC,QB,6600.0,Justin Herbert (15751354),19.439,25.319000000000003,32.14
1,Derek Carr,LV,QB,5400.0,Derek Carr (15751367),16.560000000000002,19.278,22.642000000000003
2,Tom Brady,TB,QB,6300.0,Tom Brady (15751356),17.680999999999997,22.304,26.192
0,Mike Davis,CAR,RB,4000.0,Mike Davis (15751496),9.63,16.48,25.400000000000002
1,D'Andre Swift,DET,RB,5100.0,D'Andre Swift (15751460),9.48,14.9,21.94
2,Duke Johnson,HOU,RB,5000.0,Duke Johnson (15751464),7.17,14.440000000000003,22.82
3,Aaron Jones,GB,RB,7100.0,Aaron Jones (15751412),11.990000000000002,20.23,24.65
4,Alvin Kamara,NO,RB,8200.0,Alvin Kamara (15751410),16.03,21.58,28.0
5,James Robinson,JAC,RB,6600.0,James Robinson (15751420),13.33,17.27,25.5
7,Miles Sanders,PHI,RB,6400.0,Miles Sanders (15751424),12.700000000000003,16.08,21.71
8,Josh Jacobs,LV,RB,6500.0,Josh Jacobs (15751422),11.51,16.15,22.35
11,James Conner,PIT,RB,6900.0,James Conner (15751414),12.64,16.39,21.75
0,Keenan Allen,LAC,WR,7100.0,Keenan Allen (15751648),16.99,21.6,28.0
1,Davante Adams,GB,WR,9000.0,Davante Adams (15751638),22.3,26.93,31.900000000000002
2,Terry McLaurin,WAS,WR,6800.0,Terry McLaurin (15751652),14.82,19.95,26.8
3,Jakeem Grant,MIA,WR,3000.0,Jakeem Grant (15751800),6.0,8.64,11.81
4,DeVante Parker,MIA,WR,5000.0,DeVante Parker (15751706),11.990000000000002,14.21,19.18
5,Robby Anderson,CAR,WR,6100.0,Robby Anderson (15751670),14.38,16.909999999999997,23.0
6,Danny Amendola,DET,WR,3900.0,Danny Amendola (15751746),8.49,10.739999999999998,12.7
7,DJ Moore,CAR,WR,5100.0,DJ Moore (15751702),10.700000000000001,13.890000000000002,16.049999999999997
8,Stefon Diggs,BUF,WR,7500.0,Stefon Diggs (15751644),15.97,20.325000000000003,27.200000000000003
9,Keelan Cole,JAC,WR,3400.0,Keelan Cole (15751772),6.4,9.08,11.400000000000002
0,Austin Hooper,CLE,TE,3900.0,Austin Hooper (15751968),6.74,11.320000000000002,17.4
1,Darren Waller,LV,TE,5900.0,Darren Waller (15751946),13.420000000000002,16.24,22.7
0,Rams,LAR,DST,2200.0,Rams  (15752149),4.4714285714285715,6.185714285714287,7.700000000000001
1,Lions,DET,DST,2600.0,Lions  (15752142),4.971428571428571,6.542857142857143,7.428571428571429
