QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Salary,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Draft Kings_MIN_Rank,Draft Kings_MID_Rank,Draft Kings_MAX_Rank,Raw Rank,Final Rank
Tom Brady (15751356),Mike Davis (15751496),D'Andre Swift (15751460),Davante Adams (15751638),Terry McLaurin (15751652),Jakeem Grant (15751800),Darren Waller (15751946),Stefon Diggs (15751644),Rams  (15752149),49800.0,113.77242857142858,151.9547142857143,201.642,621,420,677,1718,225
Tom Brady (15751356),Mike Davis (15751496),Aaron Jones (15751412),Keenan Allen (15751648),Terry McLaurin (15751652),Jakeem Grant (15751800),Darren Waller (15751946),Stefon Diggs (15751644),Rams  (15752149),49900.0,110.97242857142858,151.9547142857143,200.452,2880,421,947,4248,872
Derek Carr (15751367),Mike Davis (15751496),Duke Johnson (15751464),Keenan Allen (15751648),Davante Adams (15751638),Robby Anderson (15751670),Darren Waller (15751946),DJ Moore (15751702),Rams  (15752149),49800.0,115.62142857142858,151.95371428571428,200.212,156,422,1003,1581,194
Tom Brady (15751356),Mike Davis (15751496),Alvin Kamara (15751410),Keenan Allen (15751648),Davante Adams (15751638),Jakeem Grant (15751800),Austin Hooper (15751968),Robby Anderson (15751670),Rams  (15752149),49800.0,114.22242857142858,151.9497142857143,199.402,468,423,1233,2124,296
Tom Brady (15751356),Mike Davis (15751496),Miles Sanders (15751424),Keenan Allen (15751648),Davante Adams (15751638),Terry McLaurin (15751652),Austin Hooper (15751968),Danny Amendola (15751746),Lions  (15752142),50000.0,114.32242857142859,151.94685714285714,197.5305714285714,439,424,1846,2709,449
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Davante Adams (15751638),DeVante Parker (15751706),Keelan Cole (15751772),Darren Waller (15751946),James Robinson (15751420),Rams  (15752149),49800.0,112.97042857142858,151.9447142857143,200.57,1040,425,921,2386,364
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Davante Adams (15751638),DeVante Parker (15751706),Robby Anderson (15751670),Darren Waller (15751946),Keelan Cole (15751772),Lions  (15752142),49700.0,114.52042857142858,151.94185714285715,197.79857142857142,384,426,1732,2542,409
Tom Brady (15751356),Mike Davis (15751496),Aaron Jones (15751412),Keenan Allen (15751648),Davante Adams (15751638),Danny Amendola (15751746),Austin Hooper (15751968),Josh Jacobs (15751422),Rams  (15752149),50000.0,109.80242857142856,151.9397142857143,196.29199999999997,4474,427,2340,7241,1837
Tom Brady (15751356),Mike Davis (15751496),Duke Johnson (15751464),Keenan Allen (15751648),Davante Adams (15751638),Danny Amendola (15751746),Austin Hooper (15751968),Alvin Kamara (15751410),Lions  (15752142),50000.0,110.00242857142858,151.93685714285715,199.84057142857142,4144,428,1097,5669,1346
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Davante Adams (15751638),Terry McLaurin (15751652),Keelan Cole (15751772),Austin Hooper (15751968),Miles Sanders (15751424),Lions  (15752142),49800.0,108.99042857142858,151.93185714285715,198.82857142857142,5776,429,1396,7601,1963
