,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Steelers,5.0,2.6,3.6,1.0,0.7,0.9,1.0,0.5,0.7,1.4,0.9,1.1,0.2,0.0,0.1,0.1,0.0,0.0,21.7,17.9,19.4,289.0,372.1,331.7,10.2,7.2,8.6,10,DST
1,Ravens,3.0,1.9,2.4,1.3,0.8,1.1,1.1,0.5,0.7,1.5,1.0,1.2,0.3,0.1,0.2,0.1,0.0,0.0,19.1,17.1,18.1,316.6,333.0,327.3,8.8,6.4,8.1,10,DST
2,Packers,3.2,2.1,2.7,1.2,0.7,1.0,0.8,0.4,0.6,1.1,0.7,0.9,0.2,0.0,0.2,0.1,0.0,0.0,20.0,17.8,18.8,331.0,336.0,333.2,8.9,6.8,8.0,10,DST
3,Eagles,3.5,2.4,3.0,1.1,0.8,0.9,1.0,0.6,0.7,1.4,0.9,1.1,0.2,0.1,0.2,0.0,0.0,0.0,23.2,19.0,21.1,295.0,309.5,304.0,8.9,6.8,7.3,10,DST
4,Saints,3.3,2.4,2.7,1.5,0.9,1.1,0.7,0.4,0.6,0.9,0.7,0.8,0.3,0.0,0.2,0.0,0.0,0.0,23.3,19.2,20.4,312.0,363.8,342.2,9.3,6.5,7.1,10,DST
5,Giants,3.3,2.3,2.9,1.1,0.7,0.9,0.9,0.5,0.7,1.3,0.8,1.0,0.2,0.1,0.1,0.0,0.0,0.0,24.3,21.0,22.7,335.8,360.4,344.4,8.4,6.6,7.0,10,DST
6,Rams,4.1,2.6,3.2,1.1,0.5,0.8,0.8,0.4,0.6,1.1,0.6,0.8,0.2,0.0,0.1,0.1,0.0,0.1,28.4,19.5,24.3,343.0,375.1,362.1,8.5,6.1,6.9,10,DST
7,Browns,3.6,2.6,3.0,1.0,0.6,0.8,0.8,0.5,0.6,1.0,0.9,1.0,0.2,0.0,0.1,0.1,0.0,0.0,25.5,18.9,22.2,362.0,373.9,366.7,8.2,6.7,6.8,10,DST
8,Team,3.9,2.4,2.9,1.3,0.6,0.9,0.7,0.4,0.6,1.3,0.5,0.9,0.2,0.0,0.2,0.0,0.0,0.0,26.8,21.5,24.8,328.0,363.3,344.4,7.9,6.0,6.8,10,DST
9,Colts,5.1,1.9,2.9,1.0,0.6,0.8,0.8,0.4,0.6,0.9,0.6,0.8,0.3,0.0,0.2,0.1,0.0,0.0,25.5,22.0,23.9,329.2,384.6,352.9,9.9,5.7,6.7,10,DST
