Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Saquon Barkley (11659376),Saquon Barkley,11659376,RB/FLEX,9100,NYG@PHI 11/25/2018 01:00PM ET,NYG,26.18
WR,Odell Beckham Jr. (11659558),Odell Beckham Jr.,11659558,WR/FLEX,8800,NYG@PHI 11/25/2018 01:00PM ET,NYG,21.44
WR,Antonio Brown (11659560),Antonio Brown,11659560,WR/FLEX,8700,PIT@DEN 11/25/2018 04:25PM ET,PIT,21.77
RB,Melvin Gordon III (11659378),Melvin Gordon III,11659378,RB/FLEX,8600,ARI@LAC 11/25/2018 04:05PM ET,LAC,26.99
RB,Christian McCaffrey (11659380),Christian McCaffrey,11659380,RB/FLEX,7900,SEA@CAR 11/25/2018 01:00PM ET,CAR,22.58
RB,James Conner (11659382),James Conner,11659382,RB/FLEX,7800,PIT@DEN 11/25/2018 04:25PM ET,PIT,24.97
WR,Mike Evans (11659562),Mike Evans,11659562,WR/FLEX,7700,SF@TB 11/25/2018 01:00PM ET,TB,20.17
WR,A.J. Green (11659564),A.J. Green,11659564,WR/FLEX,7600,CLE@CIN 11/25/2018 01:00PM ET,CIN,19.34
WR,JuJu Smith-Schuster (11659566),JuJu Smith-Schuster,11659566,WR/FLEX,7500,PIT@DEN 11/25/2018 04:25PM ET,PIT,18.69
RB,James White (11659384),James White,11659384,RB/FLEX,7400,NE@NYJ 11/25/2018 01:00PM ET,NE,20.52
RB,David Johnson (11659386),David Johnson,11659386,RB/FLEX,7300,ARI@LAC 11/25/2018 04:05PM ET,ARI,17.48
WR,Keenan Allen (11659568),Keenan Allen,11659568,WR/FLEX,7100,ARI@LAC 11/25/2018 04:05PM ET,LAC,17.01
WR,Julian Edelman (11659570),Julian Edelman,11659570,WR/FLEX,7000,NE@NYJ 11/25/2018 01:00PM ET,NE,17.85
RB,Joe Mixon (11659388),Joe Mixon,11659388,RB/FLEX,6800,CLE@CIN 11/25/2018 01:00PM ET,CIN,17.39
RB,Leonard Fournette (11659390),Leonard Fournette,11659390,RB/FLEX,6700,JAX@BUF 11/25/2018 01:00PM ET,JAX,15.75
WR,T.Y. Hilton (11659572),T.Y. Hilton,11659572,WR/FLEX,6500,MIA@IND 11/25/2018 04:25PM ET,IND,17.31
QB,Tom Brady (11659324),Tom Brady,11659324,QB,6500,NE@NYJ 11/25/2018 01:00PM ET,NE,19.43
QB,Andrew Luck (11659325),Andrew Luck,11659325,QB,6400,MIA@IND 11/25/2018 04:25PM ET,IND,23.89
TE,Zach Ertz (11659818),Zach Ertz,11659818,TE/FLEX,6400,NYG@PHI 11/25/2018 01:00PM ET,PHI,19.94
WR,Josh Gordon (11659574),Josh Gordon,11659574,WR/FLEX,6400,NE@NYJ 11/25/2018 01:00PM ET,NE,12.55
RB,Nick Chubb (11659392),Nick Chubb,11659392,RB/FLEX,6300,CLE@CIN 11/25/2018 01:00PM ET,CLE,11.07
QB,Cam Newton (11659326),Cam Newton,11659326,QB,6200,SEA@CAR 11/25/2018 01:00PM ET,CAR,24.11
TE,George Kittle (11659820),George Kittle,11659820,TE/FLEX,6200,SF@TB 11/25/2018 01:00PM ET,SF,15.35
QB,Ben Roethlisberger (11659327),Ben Roethlisberger,11659327,QB,6100,PIT@DEN 11/25/2018 04:25PM ET,PIT,25.86
WR,Tyler Boyd (11659576),Tyler Boyd,11659576,WR/FLEX,6000,CLE@CIN 11/25/2018 01:00PM ET,CIN,17.09
