Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier
Dak Prescott,DAL,QB,4000.0,Dak Prescott (16006144) (LOCKED),30.33,14.748,18.990000000000002,23.8,13.448,17.99,23.6,14.448,18.69,23.6,271.22321670735016,210.63717746182198,168.0672268907563,9,5,1,1,1,6
Matt Ryan,ATL,QB,5800.0,Matt Ryan (16006106) (LOCKED),19.18,21.900000000000002,25.662000000000006,30.41,17.700000000000003,21.762000000000008,26.71,18.700000000000003,22.462000000000007,27.21,264.8401826484018,226.01511963214085,190.72673462676752,1,1,2,2,1,3
Carson Wentz,PHI,QB,5400.0,Carson Wentz (16006110) (LOCKED),18.37,16.697000000000003,20.592,24.009999999999998,15.132000000000001,17.951999999999998,20.86,16.132,18.852,21.56,323.4113912678924,262.23776223776224,224.90628904623077,3,3,3,3,3,6
Josh McCown,HOU,QB,4000.0,Josh McCown (16006146) (LOCKED),0.0,11.299999999999999,15.189999999999998,20.82,9.9,13.889999999999999,18.470000000000002,11.0,14.889999999999999,19.370000000000005,353.9823008849558,263.33113890717584,192.12295869356387,11,7,4,3,3,10
Philip Rivers,IND,QB,5600.0,Philip Rivers (16006108) (LOCKED),16.64,16.207,20.503,24.11,14.892000000000001,17.818,20.61,15.892000000000001,18.618000000000002,21.11,345.5297093848337,273.13076135199725,232.2687681459975,4,3,5,4,3,7
Ben Roethlisberger,PIT,QB,6400.0,Ben Roethlisberger (16006103) (LOCKED),19.54,19.750000000000004,22.950000000000003,25.529999999999998,16.100000000000005,18.750000000000004,21.63,17.300000000000004,19.750000000000004,22.43,324.05063291139237,278.8671023965141,250.68546807677245,2,2,6,4,2,6
Case Keenum,CLE,QB,4800.0,Case Keenum (16006125) (LOCKED),1.84,11.728,16.16,21.46,10.328,14.51,18.96,11.328,15.410000000000002,19.660000000000004,409.2769440654843,297.029702970297,223.67194780987884,10,6,7,5,5,11
Baker Mayfield,CLE,QB,6100.0,Baker Mayfield (16006104) (LOCKED),16.69,14.5,19.177,23.97,13.200000000000001,17.012,20.57,14.200000000000001,17.912000000000003,21.37,420.6896551724138,318.0893779006101,254.48477263245724,7,5,8,6,5,11
Colt McCoy,NYG,QB,5000.0,Colt McCoy (16006120) (LOCKED),5.05,11.296,13.946,16.59,9.996,12.846,15.540000000000001,10.996,13.646,16.240000000000002,442.6345609065156,358.52574214828627,301.38637733574444,12,8,9,7,7,15
Russell Wilson,SEA,QB,7300.0,Russell Wilson (16006101) (LOCKED),24.91,15.935999999999998,19.144000000000002,25.0,14.536,18.144,22.950000000000003,15.535999999999998,18.844,23.55,458.0823293172691,381.3205181780192,292.0,8,5,10,8,5,13
Deshaun Watson,HOU,QB,7600.0,Deshaun Watson (16006099) (LOCKED),25.3,15.756,19.907000000000004,22.909999999999997,13.956000000000001,18.292,21.36,15.456000000000001,19.192000000000004,21.959999999999997,482.35592790048236,381.77525493544977,331.73286774334355,6,4,11,8,4,12
Lamar Jackson,BAL,QB,8000.0,Lamar Jackson (16006098) (LOCKED),23.33,14.14,20.380000000000003,26.470000000000002,12.94,19.380000000000003,25.770000000000003,13.94,20.180000000000003,26.270000000000003,565.7708628005657,392.5417075564278,302.22893842085375,5,3,12,8,3,11
Saquon Barkley,NYG,RB,4000.0,Saquon Barkley (16006294) (LOCKED),7.7,17.970000000000002,22.93,29.299999999999997,15.270000000000001,19.73,25.1,17.770000000000003,22.73,28.450000000000003,222.59321090706732,174.44395987788923,136.51877133105805,2,2,1,1,1,3
Marlon Mack,IND,RB,4000.0,Marlon Mack (16006336) (LOCKED),8.6,10.690000000000001,15.340000000000002,18.900000000000002,10.090000000000002,14.290000000000001,17.75,10.590000000000002,15.240000000000002,18.900000000000002,374.1814780168381,260.7561929595828,211.64021164021162,10,5,2,2,2,7
Tarik Cohen,CHI,RB,4000.0,Tarik Cohen (16006274) (LOCKED),5.83,10.919999999999998,15.29,22.97,8.67,12.890000000000002,19.47,10.62,15.19,22.97,366.30036630036636,261.6088947024199,174.140182847192,11,5,3,2,2,7
Melvin Gordon,DEN,RB,5600.0,Melvin Gordon III (16006198) (LOCKED),13.39,16.2,20.959999999999997,24.3,14.049999999999999,18.71,22.0,15.999999999999998,20.759999999999998,24.200000000000003,345.67901234567904,267.175572519084,230.45267489711932,5,3,4,3,3,6
