"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Los Angeles Chargers","","2.9","1.3","0.6","0.9","0.2","0.0","15.1","293.5","9.0"
"Jacksonville Jaguars","","2.8","1.1","0.6","0.8","0.2","0.0","16.7","281.3","8.8"
"Baltimore Ravens","","2.8","0.9","0.7","0.9","0.2","0.0","17.1","306.8","8.2"
"New England Patriots","","2.5","1.0","0.6","1.0","0.2","0.0","18.8","329.9","8.2"
"Houston Texans","","3.0","1.0","0.7","1.0","0.3","0.0","20.4","311.5","8.0"
"Dallas Cowboys","","2.8","0.8","0.7","1.0","0.2","0.0","17.5","313.8","8.0"
"Chicago Bears","","3.0","0.9","0.8","1.2","0.2","0.0","20.0","319.0","7.7"
"Buffalo Bills","","2.0","0.9","0.7","1.2","0.2","0.0","19.8","322.6","7.6"
"San Francisco 49ers","","2.3","1.3","0.6","0.8","0.2","0.0","27.4","392.9","7.5"
"Tennessee Titans","","3.1","0.9","0.7","1.0","0.2","0.0","24.8","357.3","7.5"
"Indianapolis Colts","","2.6","0.9","0.7","1.0","0.2","0.0","23.0","347.1","7.4"
"Cincinnati Bengals","","2.7","1.0","0.6","0.7","0.2","0.1","22.6","369.9","7.3"
"Carolina Panthers","","3.2","0.8","0.7","0.9","0.2","0.0","25.3","373.1","7.3"
"Pittsburgh Steelers","","3.0","0.9","0.5","0.9","0.2","0.0","21.8","353.6","7.3"
"Philadelphia Eagles","","2.8","0.8","0.7","0.9","0.2","0.0","20.5","361.4","7.1"
"Minnesota Vikings","","3.1","0.8","0.7","1.0","0.2","0.0","22.2","365.2","7.0"
"Washington Redskins","","2.7","0.9","0.7","1.2","0.2","0.0","22.7","335.6","6.9"
"Tampa Bay Buccaneers","","2.4","0.9","0.7","1.1","0.2","0.0","25.1","373.8","6.9"
"Detroit Lions","","2.7","0.8","0.8","1.0","0.2","0.0","25.4","395.2","6.9"
"Cleveland Browns","","2.2","1.0","0.6","1.0","0.2","0.0","22.9","325.3","6.8"
"Denver Broncos","","2.0","1.1","0.6","0.8","0.2","0.1","25.7","395.7","6.8"
"New Orleans Saints","","2.5","0.8","0.7","0.8","0.2","0.0","25.6","415.4","6.7"
"Seattle Seahawks","","2.3","0.9","0.7","1.0","0.2","0.0","24.6","352.5","6.6"
"Green Bay Packers","","2.6","0.8","0.6","1.0","0.2","0.0","23.6","352.5","6.5"
"New York Giants","","2.0","1.0","0.6","1.0","0.2","0.0","25.5","360.3","6.2"
"Miami Dolphins","","1.6","1.0","0.6","0.8","0.2","0.0","31.0","416.3","5.9"
"Arizona Cardinals","","2.1","0.7","0.6","0.9","0.1","0.0","28.8","391.2","5.5"
"Oakland Raiders","","1.8","0.9","0.5","0.6","0.1","0.0","28.1","390.5","5.4"
"New York Jets","","1.6","0.7","0.6","1.0","0.2","0.0","28.0","394.2","5.4"
"Atlanta Falcons","","1.3","0.5","0.7","1.0","0.1","0.0","36.3","447.2","4.5"
""
""
