,Player,Salary
0,Saquon Barkley,8500
1,Tyreek Hill,7000
2,DJ Moore,5600
3,Cam Newton,5500
4,Damien Williams,5400
5,DJ Chark,5100
6,Golden Tate,5000
7,Mike Williams,4800
8,DK Metcalf,4800
9,Ronald Jones,4400
10,Garrett Gilbert,4100
11,David Blough,4100
12,Justin Jackson,4100
13,DeVante Parker,4100
14,Hunter Henry,4100
15,Geno Smith,4100
16,Blaine Gabbert,4100
17,Brandon Allen,4100
18,Josh Dobbs,4100
19,Trace McSorley,4000
20,Alex McGough,4000
21,Chad Kelly,4000
22,DeShone Kizer,4000
23,Easton Stick,4000
24,Alex Tanney,4000
25,Taylor Gabriel,3700
26,Ben Watson,3500
27,Jordan Reed,3400
28,Michael Crabtree,3400
29,Isaiah Crowell,3300
30,Damiere Byrd,3300
31,Russell Shepard,3100
32,Kenjon Barner,3000
33,Olamide Zaccheaus,3000
34,Kareem Hunt,3000
35,KhaDarel Hodge,3000
36,Jaleel Scott,3000
37,James Develin,3000
38,Matthew Slater,3000
39,N'Keal Harry,3000
40,Travis Fulgham,3000
41,Ryan Grant,3000
42,Dwayne Harris,3000
43,Jalin Marshall,3000
44,Travis Benjamin,3000
45,Allen Hurns,3000
46,Scotty Miller,3000
47,Nsimba Webster,3000
48,Kerrith Whyte,3000
49,C.J. Ham,3000
50,Devine Ozigbo,3000
51,Roc Thomas,3000
52,River Cracraft,3000
53,C.J. Board,3000
54,Irv Smith,2900
55,Nick Vannett,2700
56,Josh Oliver,2700
57,Virgil Green,2600
58,Kaden Smith,2600
59,Beau Brinkley,2500
60,Rico Gathers,2500
61,James Winchester,2500
62,Hale Hentges,2500
63,Garrett Dickerson,2500
64,Eric Tomlinson,2500
65,Tyler Ott,2500
66,Bradley Sowell,2500
67,Patrick Scales,2500
68,Tyler Conklin,2500
69,Matt Orzech,2500
