,Player,Position,Salary,DK_Points,DK_Value
0,Daniel Jones,QB,5300,20.522000000000002,258.25942890556473
1,Russell Wilson,QB,6100,22.811999999999998,267.40312116429953
2,Matthew Stafford,QB,5500,20.384000000000004,269.8194662480376
3,Patrick Mahomes,QB,7500,27.791999999999998,269.8618307426598
4,Jared Goff,QB,6300,22.736,277.0935960591133
5,Deshaun Watson,QB,6400,22.752,281.29395218002816
6,Jameis Winston,QB,5700,20.088000000000005,283.75149342891274
7,Philip Rivers,QB,6200,21.832,283.98680835470867
8,Matt Ryan,QB,5900,20.674,285.3826061720035
9,Case Keenum,QB,4900,16.592000000000002,295.3230472516875
10,Kyle Allen,QB,5200,16.732,310.7817355964619
11,Kyler Murray,QB,6000,19.296,310.9452736318408
12,Lamar Jackson,QB,6900,21.694000000000003,318.060293168618
13,Marcus Mariota,QB,5100,16.008000000000003,318.5907046476761
14,Jacoby Brissett,QB,5400,16.514000000000003,326.99527673489155
15,Mitch Trubisky,QB,5000,14.984000000000002,333.68926855312327
16,Baker Mayfield,QB,5800,17.372000000000003,333.8705963619617
17,Josh Allen,QB,5600,16.204,345.5936805726981
18,Derek Carr,QB,5300,15.030000000000003,352.62807717897533
19,Gardner Minshew,QB,5200,14.706000000000001,353.5971712226302
20,Tom Brady,QB,6600,18.604000000000003,354.7624166845839
21,Josh Rosen,QB,4500,12.096,372.0238095238095
22,Joe Flacco,QB,4600,12.336,372.8923476005188
23,Kirk Cousins,QB,5000,13.260000000000002,377.07390648567116
24,Dwayne Haskins,QB,4700,6.130000000000001,766.7210440456769
25,Phillip Lindsay,RB,5200,15.67,331.8442884492661
26,Chris Thompson,RB,4500,13.16,341.9452887537994
27,Marlon Mack,RB,6100,17.8,342.6966292134831
28,Kerryon Johnson,RB,5400,15.7,343.9490445859873
29,Leonard Fournette,RB,6000,17.35,345.821325648415
30,Wayne Gallman,RB,4600,12.59,365.3693407466243
31,Christian McCaffrey,RB,8800,24.03,366.2089055347482
32,Austin Ekeler,RB,8000,21.71,368.49378166743435
33,Kenyan Drake,RB,4200,10.91,384.967919340055
34,Devonta Freeman,RB,5000,12.92,386.9969040247678
