"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes","KC","37.0","24.2","337.8","2.6","0.5","2.5","8.8","0.1","0.1","24.2"
"Lamar Jackson","BAL","31.5","19.8","236.6","1.5","0.5","10.2","52.3","0.3","0.3","21.0"
"Russell Wilson","SEA","32.2","21.3","267.3","2.1","0.5","5.2","28.3","0.1","0.2","20.9"
"Deshaun Watson","HOU","33.5","22.4","268.3","1.9","0.9","5.9","33.3","0.2","0.2","20.7"
"Jared Goff","LAR","35.3","23.3","293.9","2.1","0.5","2.7","7.0","0.1","0.2","20.0"
"Philip Rivers","LAC","36.2","24.2","297.3","2.1","0.6","1.2","2.6","0.0","0.1","19.3"
"Dak Prescott","DAL","31.7","21.7","261.3","1.7","0.5","3.7","18.3","0.2","0.2","19.1"
"Aaron Rodgers","GB","33.8","21.9","261.2","1.9","0.3","2.4","11.8","0.0","0.2","18.3"
"Daniel Jones","NYG","36.8","24.8","264.8","1.9","1.0","4.0","19.4","0.1","0.2","18.2"
"Matt Ryan","ATL","36.4","25.0","286.1","1.9","0.8","1.8","6.5","0.0","0.2","18.0"
"Matthew Stafford","DET","36.5","22.7","274.1","1.7","0.7","2.4","9.4","0.1","0.2","17.4"
"Kyler Murray","ARI","37.5","23.5","248.4","1.7","1.1","4.5","23.7","0.1","0.3","16.9"
"Carson Wentz","PHI","35.8","22.8","264.1","1.7","0.9","3.2","12.4","0.1","0.2","16.7"
"Tom Brady","NE","35.8","23.1","256.1","1.8","0.5","1.1","1.7","0.1","0.1","16.6"
"Jameis Winston","TB","35.2","21.1","280.7","1.6","1.2","3.0","12.8","0.1","0.2","16.4"
"Jacoby Brissett","IND","32.3","20.1","230.6","1.5","0.5","3.6","13.9","0.1","0.2","16.2"
"Mason Rudolph","PIT","35.0","22.5","268.4","1.5","1.0","2.4","9.3","0.1","0.2","15.5"
"Josh Allen","BUF","33.0","18.3","229.6","0.9","1.1","6.5","36.2","0.2","0.3","15.4"
"Marcus Mariota","TEN","30.6","20.1","221.7","1.2","0.6","4.4","25.4","0.1","0.2","15.1"
"Case Keenum","WAS","35.5","24.0","263.8","1.4","0.9","1.7","5.5","0.0","0.2","15.0"
"Kyle Allen","CAR","35.6","23.3","252.8","1.6","1.0","1.4","4.3","0.0","0.2","14.6"
"Andy Dalton","CIN","36.6","23.5","261.2","1.4","0.9","1.7","6.0","0.0","0.2","14.6"
"Baker Mayfield","CLE","34.5","21.5","273.8","1.3","1.1","1.7","5.4","0.0","0.2","14.3"
