,Unnamed: 0,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary,Actual_Points,Ownership
0,0,Kyler Murray,Todd Gurley,Saquon Barkley,Dede Westbrook,Darius Slayton,Chris Godwin,Tyler Higbee,Chris Carson,Detroit Lions,150.87,50000,165.55999999999997,58.19%15.87%68.56%38.69%10.20%34.01%63.17%55.68%37.57%
1,1,Jameis Winston,Patrick Laird,Saquon Barkley,Dede Westbrook,Darius Slayton,Chris Godwin,Tyler Higbee,Chris Carson,Detroit Lions,150.30599999999995,49800,171.51999999999995,0.53%49.78%68.56%38.69%10.20%34.01%63.17%55.68%37.57%
2,2,Jameis Winston,Patrick Laird,Saquon Barkley,Dede Westbrook,Darius Slayton,Chris Godwin,Tyler Higbee,Leonard Fournette,Detroit Lions,149.84599999999998,49900,154.11999999999998,0.53%49.78%68.56%38.69%10.20%34.01%63.17%13.57%37.57%
3,3,Dak Prescott,Todd Gurley,Saquon Barkley,Chris Conley,Dede Westbrook,Chris Godwin,Tyler Higbee,Chris Carson,Detroit Lions,149.69,49600,175.67999999999998,3.47%15.87%68.56%51.07%38.69%34.01%63.17%55.68%37.57%
4,4,Kyler Murray,Todd Gurley,Saquon Barkley,Chris Conley,Dede Westbrook,Chris Godwin,Tyler Higbee,Chris Carson,Philadelphia Eagles,149.54999999999995,50000,180.35999999999996,58.19%15.87%68.56%51.07%38.69%34.01%63.17%55.68%12.44%
5,5,Dak Prescott,Todd Gurley,Saquon Barkley,Chris Conley,Darius Slayton,Chris Godwin,Tyler Higbee,Chris Carson,Detroit Lions,149.51000000000005,49700,182.67999999999998,3.47%15.87%68.56%51.07%10.20%34.01%63.17%55.68%37.57%
6,6,Dak Prescott,Patrick Laird,Todd Gurley,Dede Westbrook,Chris Godwin,Julio Jones,Tyler Higbee,Saquon Barkley,Detroit Lions,149.37,50000,173.88,3.47%49.78%15.87%38.69%34.01%0.64%63.17%68.56%37.57%
7,7,Dak Prescott,Todd Gurley,Saquon Barkley,Chris Conley,Dede Westbrook,Chris Godwin,Tyler Higbee,Leonard Fournette,Detroit Lions,149.23,49700,158.28,3.47%15.87%68.56%51.07%38.69%34.01%63.17%13.57%37.57%
8,8,Jameis Winston,Patrick Laird,Todd Gurley,Chris Conley,Chris Godwin,Julio Jones,Tyler Higbee,Saquon Barkley,Detroit Lions,149.136,49600,209.71999999999997,0.53%49.78%15.87%51.07%34.01%0.64%63.17%68.56%37.57%
9,9,Dak Prescott,Todd Gurley,Saquon Barkley,Chris Conley,Darius Slayton,Chris Godwin,Tyler Higbee,Leonard Fournette,Detroit Lions,149.05,49800,165.28,3.47%15.87%68.56%51.07%10.20%34.01%63.17%13.57%37.57%
10,10,Jameis Winston,Patrick Laird,Saquon Barkley,Chris Conley,Dede Westbrook,Chris Godwin,Tyler Higbee,Chris Carson,Philadelphia Eagles,148.986,49800,186.31999999999996,0.53%49.78%68.56%51.07%38.69%34.01%63.17%55.68%12.44%
11,11,Jameis Winston,Todd Gurley,Saquon Barkley,Chris Conley,Dede Westbrook,Chris Godwin,Tyler Higbee,Julio Jones,Detroit Lions,148.916,49700,206.42,0.53%15.87%68.56%51.07%38.69%34.01%63.17%0.64%37.57%
12,12,Dak Prescott,Patrick Laird,Todd Gurley,Chris Conley,Chris Godwin,DeAndre Hopkins,Tyler Higbee,Saquon Barkley,Detroit Lions,148.87000000000003,50000,170.18,3.47%49.78%15.87%51.07%34.01%14.97%63.17%68.56%37.57%
13,13,Jameis Winston,Patrick Laird,Saquon Barkley,Chris Conley,Darius Slayton,Chris Godwin,Tyler Higbee,Chris Carson,Philadelphia Eagles,148.80599999999995,49900,193.31999999999996,0.53%49.78%68.56%51.07%10.20%34.01%63.17%55.68%12.44%
14,14,Jameis Winston,Todd Gurley,Saquon Barkley,Chris Conley,Darius Slayton,Chris Godwin,Tyler Higbee,Julio Jones,Detroit Lions,148.736,49800,213.42,0.53%15.87%68.56%51.07%10.20%34.01%63.17%0.64%37.57%
15,15,Dak Prescott,Todd Gurley,Saquon Barkley,Dede Westbrook,Darius Slayton,Julio Jones,Tyler Higbee,Chris Carson,Detroit Lions,148.70000000000005,50000,187.17999999999998,3.47%15.87%68.56%38.69%10.20%0.64%63.17%55.68%37.57%
