Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (13932190),Christian McCaffrey,13932190,RB/FLEX,10000,SEA@CAR 12/15/2019 01:00PM ET,CAR,30.74
RB,Dalvin Cook (13932192),Dalvin Cook,13932192,RB/FLEX,8900,MIN@LAC 12/15/2019 04:05PM ET,MIN,23.24
RB,Derrick Henry (13932194),Derrick Henry,13932194,RB/FLEX,8500,HOU@TEN 12/15/2019 01:00PM ET,TEN,20.38
WR,DeAndre Hopkins (13932410),DeAndre Hopkins,13932410,WR/FLEX,8000,HOU@TEN 12/15/2019 01:00PM ET,HOU,19.72
RB,Nick Chubb (13932196),Nick Chubb,13932196,RB/FLEX,7900,CLE@ARI 12/15/2019 04:05PM ET,CLE,18.67
RB,Ezekiel Elliott (13932198),Ezekiel Elliott,13932198,RB/FLEX,7800,LAR@DAL 12/15/2019 04:25PM ET,DAL,19.61
WR,Chris Godwin (13932412),Chris Godwin,13932412,WR/FLEX,7700,TB@DET 12/15/2019 01:00PM ET,TB,21.08
RB,Saquon Barkley (13932200),Saquon Barkley,13932200,RB/FLEX,7700,MIA@NYG 12/15/2019 01:00PM ET,NYG,15.52
WR,Davante Adams (13932414),Davante Adams,13932414,WR/FLEX,7600,CHI@GB 12/15/2019 01:00PM ET,GB,17.06
RB,Leonard Fournette (13932202),Leonard Fournette,13932202,RB/FLEX,7600,JAX@OAK 12/15/2019 04:05PM ET,JAX,18.74
RB,Chris Carson (13932204),Chris Carson,13932204,RB/FLEX,7500,SEA@CAR 12/15/2019 01:00PM ET,SEA,16.76
WR,Tyreek Hill (13932416),Tyreek Hill,13932416,WR/FLEX,7500,DEN@KC 12/15/2019 01:00PM ET,KC,16.47
RB,Aaron Jones (13932206),Aaron Jones,13932206,RB/FLEX,7300,CHI@GB 12/15/2019 01:00PM ET,GB,20.49
WR,Stefon Diggs (13932418),Stefon Diggs,13932418,WR/FLEX,7300,MIN@LAC 12/15/2019 04:05PM ET,MIN,15.65
WR,Kenny Golladay (13932422),Kenny Golladay,13932422,WR/FLEX,7200,TB@DET 12/15/2019 01:00PM ET,DET,17.52
WR,Julian Edelman (13932420),Julian Edelman,13932420,WR/FLEX,7100,NE@CIN 12/15/2019 01:00PM ET,NE,18.74
QB,Patrick Mahomes (13932126),Patrick Mahomes,13932126,QB,7100,DEN@KC 12/15/2019 01:00PM ET,KC,22.80
QB,Russell Wilson (13932127),Russell Wilson,13932127,QB,7000,SEA@CAR 12/15/2019 01:00PM ET,SEA,22.62
RB,Josh Jacobs (13932208),Josh Jacobs,13932208,RB/FLEX,7000,JAX@OAK 12/15/2019 04:05PM ET,OAK,16.22
WR,Julio Jones (13932424),Julio Jones,13932424,WR/FLEX,7000,ATL@SF 12/15/2019 04:25PM ET,ATL,17.19
WR,Tyler Lockett (13932426),Tyler Lockett,13932426,WR/FLEX,6900,SEA@CAR 12/15/2019 01:00PM ET,SEA,15.3
QB,Jameis Winston (13932128),Jameis Winston,13932128,QB,6900,TB@DET 12/15/2019 01:00PM ET,TB,23.24
WR,Mike Evans (13932428),Mike Evans,13932428,WR/FLEX,6800,TB@DET 12/15/2019 01:00PM ET,TB,18.59
WR,Allen Robinson II (13932430),Allen Robinson II,13932430,WR/FLEX,6800,CHI@GB 12/15/2019 01:00PM ET,CHI,16.45
QB,Deshaun Watson (13932129),Deshaun Watson,13932129,QB,6800,HOU@TEN 12/15/2019 01:00PM ET,HOU,24.31
WR,Jarvis Landry (13932432),Jarvis Landry,13932432,WR/FLEX,6700,CLE@ARI 12/15/2019 04:05PM ET,CLE,15.81
RB,Austin Ekeler (13932210),Austin Ekeler,13932210,RB/FLEX,6700,MIN@LAC 12/15/2019 04:05PM ET,LAC,21.55
WR,DJ Moore (13932434),DJ Moore,13932434,WR/FLEX,6600,SEA@CAR 12/15/2019 01:00PM ET,CAR,16.85
WR,Emmanuel Sanders (13932436),Emmanuel Sanders,13932436,WR/FLEX,6600,ATL@SF 12/15/2019 04:25PM ET,SF,12.99
TE,Travis Kelce (13932722),Travis Kelce,13932722,TE/FLEX,6500,DEN@KC 12/15/2019 01:00PM ET,KC,15.87
QB,Ryan Tannehill (13932130),Ryan Tannehill,13932130,QB,6500,HOU@TEN 12/15/2019 01:00PM ET,TEN,19.49
WR,Cooper Kupp (13932438),Cooper Kupp,13932438,WR/FLEX,6500,LAR@DAL 12/15/2019 04:25PM ET,LAR,17.95
WR,Amari Cooper (13932440),Amari Cooper,13932440,WR/FLEX,6500,LAR@DAL 12/15/2019 04:25PM ET,DAL,18.11
RB,Melvin Gordon III (13932212),Melvin Gordon III,13932212,RB/FLEX,6500,MIN@LAC 12/15/2019 04:05PM ET,LAC,14.5
WR,DeVante Parker (13932442),DeVante Parker,13932442,WR/FLEX,6400,MIA@NYG 12/15/2019 01:00PM ET,MIA,14.25
QB,Baker Mayfield (13932131),Baker Mayfield,13932131,QB,6400,CLE@ARI 12/15/2019 04:05PM ET,CLE,15.77
WR,Odell Beckham Jr. (13932446),Odell Beckham Jr.,13932446,WR/FLEX,6400,CLE@ARI 12/15/2019 04:05PM ET,CLE,12.48
QB,Aaron Rodgers (13932133),Aaron Rodgers,13932133,QB,6300,CHI@GB 12/15/2019 01:00PM ET,GB,19.35
RB,Kareem Hunt (13932214),Kareem Hunt,13932214,RB/FLEX,6300,CLE@ARI 12/15/2019 04:05PM ET,CLE,14.22
QB,Dak Prescott (13932132),Dak Prescott,13932132,QB,6300,LAR@DAL 12/15/2019 04:25PM ET,DAL,23.78
WR,Keenan Allen (13932444),Keenan Allen,13932444,WR/FLEX,6300,MIN@LAC 12/15/2019 04:05PM ET,LAC,16.45
