"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Michael Thomas","NO","9.2","100.6","0.7","0.0","-0.1","0.0","0.1","14.1"
"Chris Godwin","TB","6.1","91.1","0.7","0.1","0.4","0.0","0.1","12.9"
"Tyreek Hill","KC","5.2","82.1","0.6","1.1","6.3","0.0","0.1","12.5"
"DeAndre Hopkins","HOU","7.1","83.9","0.6","0.1","0.8","0.0","0.1","12.2"
"Julian Edelman","NE","6.8","79.6","0.5","0.8","4.9","0.0","0.1","11.6"
"Kenny Golladay","DET","4.6","77.4","0.6","0.0","0.4","0.0","0.0","11.4"
"Julio Jones","ATL","6.0","84.9","0.4","0.1","0.6","0.0","0.1","11.0"
"Davante Adams","GB","6.0","73.2","0.6","0.0","0.3","0.0","0.1","10.6"
"Jarvis Landry","CLE","5.7","75.4","0.5","0.1","1.1","0.0","0.1","10.5"
"Amari Cooper","DAL","5.3","73.2","0.5","0.0","0.1","0.0","0.0","10.5"
"A.J. Brown","TEN","4.3","68.5","0.5","0.3","1.8","0.0","0.0","10.3"
"D.J. Moore","CAR","5.8","75.6","0.4","0.5","4.3","0.0","0.1","10.3"
"Stefon Diggs","MIN","5.0","69.2","0.5","0.4","2.8","0.0","0.1","10.0"
"Robert Woods","LAR","5.5","68.7","0.4","0.9","6.7","0.0","0.1","10.0"
"Allen Robinson","CHI","5.3","70.0","0.5","0.0","0.1","0.0","0.0","10.0"
"Courtland Sutton","DEN","4.6","69.0","0.5","0.1","1.0","0.0","0.0","9.8"
"Michael Gallup","DAL","4.5","70.6","0.4","0.0","0.0","0.0","0.0","9.7"
"Darius Slayton","NYG","3.9","61.3","0.5","0.1","0.5","0.0","0.0","9.4"
"Christian Kirk","ARI","5.2","64.2","0.5","0.5","3.7","0.0","0.1","9.4"
"Devante Parker","MIA","4.5","64.9","0.5","0.0","0.0","0.0","0.0","9.3"
"D.K. Metcalf","SEA","4.0","62.6","0.5","0.1","0.5","0.0","0.1","9.3"
"Terry McLaurin","WAS","4.2","61.8","0.5","0.0","0.3","0.0","0.0","9.2"
"Emmanuel Sanders","SF","4.8","61.6","0.5","0.1","0.9","0.0","0.0","9.1"
"Sterling Shepard","NYG","4.7","58.3","0.5","0.5","4.4","0.0","0.1","9.0"
"Marquise Brown","BAL","3.7","52.1","0.5","0.3","2.1","0.0","0.0","8.7"
