"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","26.8","17.4","202.7","1.8","0.5","11.3","68.4","0.4","0.2","23.2"
"Patrick Mahomes","KC","34.8","23.1","290.5","2.0","0.5","3.5","16.1","0.1","0.1","20.8"
"Deshaun Watson","HOU","34.9","23.7","273.4","1.8","0.8","5.3","29.0","0.2","0.2","20.4"
"Russell Wilson","SEA","30.5","20.5","251.0","2.1","0.5","4.9","26.9","0.1","0.2","20.3"
"Jameis Winston","TB","38.9","23.7","317.4","1.9","1.4","4.0","18.1","0.1","0.3","19.4"
"Drew Brees","NO","36.2","27.2","284.3","2.1","0.4","0.8","1.1","0.0","0.1","19.3"
"Dak Prescott","DAL","37.2","24.2","294.0","1.7","0.9","3.1","15.0","0.1","0.2","18.8"
"Kyler Murray","ARI","35.1","22.6","241.0","1.5","0.9","6.0","33.7","0.2","0.1","18.3"
"Ryan Tannehill","TEN","30.7","21.1","252.3","1.9","0.8","4.0","19.2","0.1","0.3","18.3"
"Jimmy Garoppolo","SF","33.8","22.8","267.3","2.1","0.8","2.2","7.0","0.1","0.3","18.0"
"Tom Brady","NE","37.2","24.1","273.4","1.8","0.6","1.5","4.5","0.1","0.2","17.3"
"Aaron Rodgers","GB","32.6","21.3","247.0","1.6","0.3","3.4","16.0","0.1","0.2","17.2"
"Ryan Fitzpatrick","MIA","36.7","22.8","265.1","1.7","1.2","4.1","19.4","0.1","0.2","17.1"
"Carson Wentz","PHI","35.5","23.3","259.8","1.7","0.8","3.2","13.3","0.1","0.3","16.8"
"Baker Mayfield","CLE","34.5","22.1","267.9","1.8","1.0","1.7","7.3","0.1","0.2","16.7"
"Gardner Minshew","JAC","36.0","22.9","254.0","1.5","0.8","4.9","23.5","0.1","0.5","16.4"
"Derek Carr","OAK","32.3","22.6","251.5","1.7","0.7","2.1","7.3","0.1","0.2","16.3"
"Jared Goff","LAR","36.2","23.6","267.9","1.6","0.9","2.0","5.5","0.1","0.2","15.9"
"Eli Manning","NYG","35.5","22.4","263.3","1.7","0.9","1.4","4.1","0.1","0.2","15.8"
