,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Patrick Mahomes,KC,37.0,33.7,35.5,24.0,22.8,23.6,317.0,290.9,302.5,3.0,2.3,2.7,0.5,1.0,0.8,3.7,2.6,3.2,19.2,10.0,14.1,0.2,0.0,0.1,0.1,0.2,0.1,28.3,21.0,23.0,11,QB
1,Jared Goff,LAR,43.0,35.3,38.1,28.0,22.8,25.2,324.0,286.1,312.8,3.0,2.2,2.6,0.7,1.0,0.8,3.1,1.9,2.4,10.9,5.0,8.1,0.2,0.0,0.1,0.2,0.3,0.2,28.8,21.0,22.1,11,QB
2,Drew Brees,NO,38.0,33.5,36.2,27.1,23.7,26.0,308.0,263.9,292.2,3.0,2.1,2.3,0.0,0.6,0.4,2.4,0.0,1.6,7.1,0.0,2.9,0.2,0.0,0.1,0.0,0.2,0.1,27.3,19.4,21.2,11,QB
3,Aaron Rodgers,GB,42.4,35.0,38.7,25.3,23.0,24.4,294.0,275.0,287.4,2.0,1.8,1.9,0.0,0.7,0.4,5.0,2.8,3.7,22.5,15.0,18.9,0.2,0.0,0.1,0.3,0.3,0.3,23.8,18.8,20.0,11,QB
4,Carson Wentz,PHI,44.0,36.0,39.3,28.0,23.2,25.9,329.0,269.1,303.7,2.0,1.9,2.0,0.6,1.0,0.8,3.6,2.6,3.2,15.6,10.0,13.5,0.2,0.0,0.1,0.1,0.3,0.2,25.0,19.6,19.9,11,QB
5,Matt Ryan,ATL,41.2,36.0,37.7,27.7,24.0,26.1,322.2,270.0,299.8,2.4,1.8,2.0,0.4,1.0,0.6,2.3,1.0,1.9,8.6,5.0,6.9,0.1,0.0,0.1,0.1,0.2,0.2,22.3,18.8,19.6,11,QB
6,Dak Prescott,DAL,37.0,29.0,32.5,25.0,16.8,21.5,271.0,200.1,245.3,2.0,1.5,1.7,0.0,0.7,0.5,6.2,4.1,4.9,40.1,15.0,26.8,0.3,0.0,0.2,0.2,0.3,0.3,22.0,18.5,19.0,11,QB
7,Russell Wilson,SEA,33.0,27.4,30.2,21.0,18.0,19.1,252.0,213.0,231.4,2.3,1.7,2.0,0.4,1.0,0.7,6.0,2.7,4.6,35.0,15.0,26.0,0.3,0.0,0.1,0.2,0.3,0.3,23.5,18.1,18.6,11,QB
8,Deshaun Watson,HOU,36.0,31.4,33.3,22.0,20.0,20.8,271.0,246.4,257.3,2.0,1.6,1.7,0.9,1.2,1.0,7.0,4.3,5.6,35.2,22.0,30.4,0.2,0.0,0.1,0.0,0.3,0.2,24.0,17.7,18.4,11,QB
9,Mitchell Trubisky,CHI,37.0,31.0,33.5,23.0,19.0,20.6,265.0,235.0,247.2,2.0,1.5,1.7,0.8,1.0,0.8,5.4,4.1,4.7,31.0,18.0,25.3,0.3,0.0,0.2,0.2,0.3,0.2,24.3,16.9,18.2,11,QB
10,Ben Roethlisberger,PIT,40.0,35.0,38.1,26.0,20.0,24.0,299.6,270.0,287.1,2.1,1.7,1.9,0.7,1.1,0.9,2.4,1.0,1.8,9.7,3.0,5.6,0.2,0.0,0.1,0.1,0.2,0.2,22.0,16.3,17.9,11,QB
11,Kirk Cousins,MIN,42.6,35.0,39.2,28.2,21.0,25.7,301.0,274.0,288.6,2.2,1.3,1.7,0.0,1.0,0.8,3.1,1.6,2.4,10.0,2.3,7.1,0.2,0.0,0.1,0.2,0.3,0.3,23.0,16.4,17.7,11,QB
12,Philip Rivers,IND,38.3,31.3,33.8,24.5,19.8,21.9,284.5,250.3,268.2,2.2,2.0,2.1,0.5,1.0,0.8,1.8,0.0,1.2,4.5,0.0,2.4,0.1,0.0,0.0,0.1,0.2,0.2,20.8,17.5,17.5,11,QB
13,Marcus Mariota,LV,35.0,28.7,30.9,24.0,18.5,20.3,258.0,205.9,232.1,2.0,1.3,1.6,0.0,1.0,0.6,5.5,4.2,4.9,29.1,21.0,25.3,0.2,0.0,0.2,0.0,0.3,0.2,22.0,16.4,17.4,11,QB
14,Matthew Stafford,DET,38.5,35.0,36.4,26.0,22.0,23.7,288.0,235.0,264.7,2.1,1.7,1.9,0.6,1.0,0.9,3.0,1.3,2.1,7.6,5.0,6.4,0.2,0.0,0.1,0.3,0.3,0.3,20.3,16.7,16.8,11,QB
15,Blake Bortles,LAR,41.0,33.0,36.0,25.0,19.9,21.8,288.0,225.0,250.8,2.0,1.2,1.5,0.8,1.2,1.0,4.8,3.2,4.1,28.7,18.0,24.4,0.2,0.0,0.1,0.3,0.3,0.3,23.5,15.6,16.7,11,QB
16,Lamar Jackson,BAL,33.0,22.5,27.5,19.0,13.5,16.0,220.0,155.0,179.8,1.2,1.0,1.1,0.5,1.2,0.9,8.7,5.5,7.3,55.0,33.0,43.0,1.0,0.2,0.4,0.0,0.3,0.2,23.3,14.8,16.3,11,QB
17,Andy Dalton,DAL,41.5,31.0,35.6,24.7,20.0,22.2,264.5,220.0,244.3,1.5,1.0,1.3,0.8,1.1,1.0,2.1,1.2,1.7,10.0,4.0,6.5,0.1,0.0,0.0,0.2,0.3,0.3,16.0,13.5,13.4,11,QB
18,Derek Carr,LV,39.0,32.0,36.1,27.0,18.0,23.7,284.0,220.0,258.2,1.3,1.0,1.2,0.8,1.3,1.0,2.1,1.0,1.7,6.6,4.0,5.2,0.1,0.0,0.1,0.3,0.4,0.3,15.5,13.4,13.2,11,QB
19,Robert Griffin,BAL,5.0,3.3,4.1,3.0,2.0,2.5,36.7,19.4,28.0,0.2,0.0,0.1,0.0,0.1,0.1,4.2,0.6,1.5,19.2,2.7,7.2,0.1,0.0,0.0,0.0,0.0,0.0,4.4,1.7,2.3,11,QB
20,Taysom Hill,NO,0.7,0.0,0.3,0.5,0.0,0.2,5.6,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.4,2.8,21.6,7.0,14.0,0.2,0.0,0.1,0.0,0.3,0.1,3.2,1.1,2.1,11,QB
21,Jameis Winston,NO,3.9,0.2,2.1,2.5,0.1,1.3,33.8,1.4,17.0,0.2,0.0,0.1,0.0,0.2,0.1,0.3,0.0,0.2,1.7,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.1,1.0,11,QB
22,Mike Glennon,JAC,1.8,0.2,0.7,1.1,0.1,0.4,12.2,1.2,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.3,11,QB
23,Colt McCoy,NYG,1.9,0.0,0.7,1.1,0.0,0.4,12.7,0.1,4.6,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,11,QB
24,Cooper Rush,DAL,1.7,0.0,0.6,1.1,0.0,0.4,12.1,0.1,4.5,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.2,11,QB
25,Trevor Siemian,NO,1.7,0.2,0.8,1.0,0.1,0.4,11.5,1.3,5.1,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.2,11,QB
26,Jeff Driskel,DEN,1.1,0.0,0.4,0.7,0.0,0.3,9.3,0.2,3.5,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.2,11,QB
27,Brett Hundley,ARI,1.5,0.0,0.5,1.0,0.0,0.4,11.2,0.0,4.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.2,11,QB
28,Chad Henne,KC,1.5,0.0,0.6,1.0,0.0,0.4,11.1,0.1,4.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,11,QB
29,Nick Foles,CHI,1.5,0.2,0.7,0.8,0.1,0.4,8.6,1.4,4.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.2,11,QB
30,Chase Daniel,DET,1.5,0.0,0.6,0.9,0.0,0.3,10.5,0.1,3.9,0.1,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.1,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,11,QB
31,Blaine Gabbert,TB,1.2,0.2,0.5,0.6,0.1,0.3,6.4,1.1,3.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,11,QB
32,DeShone Kizer,TEN,0.9,0.2,0.5,0.4,0.1,0.2,3.7,1.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,11,QB
33,Jacoby Brissett,IND,0.6,0.2,0.4,0.3,0.1,0.2,3.3,1.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,11,QB
34,Sean Mannion,MIN,0.7,0.0,0.3,0.4,0.0,0.2,4.1,0.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,11,QB
35,Teddy Bridgewater,CAR,0.8,0.0,0.3,0.4,0.0,0.2,3.7,0.1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,11,QB
36,AJ McCarron,HOU,1.1,0.0,0.4,0.6,0.0,0.2,5.5,0.2,2.3,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,11,QB
37,Geno Smith,SEA,0.5,0.0,0.2,0.3,0.0,0.1,2.8,0.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,11,QB
38,Kevin Hogan,CIN,0.2,0.1,0.2,0.1,0.1,0.1,1.2,1.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,11,QB
39,Joshua Dobbs,PIT,0.3,0.0,0.2,0.2,0.0,0.1,1.7,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,11,QB
40,Matt Schaub,ATL,0.9,0.0,0.4,0.4,0.0,0.2,3.9,0.1,1.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,11,QB
41,Taylor Heinicke,WAS,0.2,0.0,0.1,0.1,0.0,0.1,1.2,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,11,QB
42,Alex Tanney,NYG,0.2,0.0,0.1,0.1,0.0,0.1,1.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,11,QB
43,Brandon Allen,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,QB
44,Logan Woodside,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,QB
45,Chad Kelly,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,QB
46,Joe Webb,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,QB
47,Nate Sudfeld,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,QB
48,Kyle Sloter,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,QB
49,Kurt Benkert,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,QB
50,Alex McGough,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,QB
51,Garrett Gilbert,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,QB
