,Player,Team,Position,Salary,Name + ID,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX
0,Derek Carr,LV,QB,5700.0,Derek Carr (15819778),17.552,21.417,23.809999999999995
1,Matt Ryan,ATL,QB,5900.0,Matt Ryan (15819774),15.069999999999999,21.547000000000008,24.47
2,Daniel Jones,NYG,QB,5500.0,Daniel Jones (15819782),15.162,19.491,24.51
0,Nyheim Hines,IND,RB,4600.0,Nyheim Hines (15819886),8.590000000000002,14.020000000000003,18.810000000000002
1,Dalvin Cook,MIN,RB,9500.0,Dalvin Cook (15819822),24.66,27.670000000000005,30.25
2,Brian Hill,ATL,RB,4000.0,Brian Hill (15819990),6.54,11.35,14.57
3,James Robinson,JAC,RB,6300.0,James Robinson (15819838),14.380000000000003,17.61,22.445
7,Josh Jacobs,LV,RB,7200.0,Josh Jacobs (15819830),13.190000000000001,17.369999999999997,24.61
11,Alvin Kamara,NO,RB,8200.0,Alvin Kamara (15819826),14.920000000000002,19.049999999999997,24.06
17,Derrick Henry,TEN,RB,7900.0,Derrick Henry (15819828),13.150000000000002,17.259999999999998,20.96
0,Denzel Mims,NYJ,WR,3500.0,Denzel Mims (15820174),8.09,12.440000000000001,18.57
1,Laviska Shenault,JAC,WR,3300.0,Laviska Shenault Jr. (15820178),7.53,10.850000000000001,18.3
2,Justin Jefferson,MIN,WR,6300.0,Justin Jefferson (15820070),13.61,19.375,25.53
3,Keelan Cole,JAC,WR,3600.0,Keelan Cole Sr. (15820166),7.720000000000001,10.59,13.42
4,Stefon Diggs,BUF,WR,7600.0,Stefon Diggs (15820056),16.259999999999998,21.1,27.3
5,Tyler Boyd,CIN,WR,5000.0,Tyler Boyd (15820108),10.78,13.65,15.9
6,Cole Beasley,BUF,WR,5500.0,Cole Beasley (15820090),11.610000000000001,14.73,19.2
7,Darius Slayton,NYG,WR,4900.0,Darius Slayton (15820114),10.76,13.11,18.7
8,Gabriel Davis,BUF,WR,3000.0,Gabriel Davis (15820258),4.710000000000001,8.02,10.900000000000002
9,Tee Higgins,CIN,WR,4700.0,Tee Higgins (15820128),9.1,12.46,13.959999999999999
0,Kyle Rudolph,MIN,TE,2800.0,Kyle Rudolph (15820396),5.32,8.06,10.73
1,Darren Waller,LV,TE,6000.0,Darren Waller (15820354),14.200000000000001,16.92,22.175000000000004
2,Travis Kelce,KC,TE,7000.0,Travis Kelce (15820352),16.599999999999998,19.724999999999994,23.874999999999996
4,Jordan Reed,SF,TE,3600.0,Jordan Reed (15820376),6.3100000000000005,9.07,11.84
0,Broncos,DEN,DST,2200.0,Broncos  (15820559),3.6571428571428566,5.385714285714286,7.157142857142857
1,Bills,BUF,DST,2700.0,Bills  (15820549),4.757142857142856,6.485714285714286,6.985714285714287
3,Giants,NYG,DST,3200.0,Giants  (15820543),6.4714285714285715,7.485714285714286,8.728571428571428
