,Unnamed: 0,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
0,0,RB,Dalvin Cook (15819822),Dalvin Cook,15819822.0,RB/FLEX,9500.0,CAR@MIN 11/29/2020 01:00PM ET,MIN,28.7
1,1,RB,Christian McCaffrey (15819824),Christian McCaffrey,15819824.0,RB/FLEX,9200.0,CAR@MIN 11/29/2020 01:00PM ET,CAR,30.13
2,2,QB,Kyler Murray (15819763),Kyler Murray,15819763.0,QB,8200.0,ARI@NE 11/29/2020 01:00PM ET,ARI,30.27
3,3,RB,Alvin Kamara (15819826),Alvin Kamara,15819826.0,RB/FLEX,8200.0,NO@DEN 11/29/2020 04:05PM ET,NO,25.99
4,4,WR,DeAndre Hopkins (15820050),DeAndre Hopkins,15820050.0,WR/FLEX,8100.0,ARI@NE 11/29/2020 01:00PM ET,ARI,20.12
5,5,WR,Keenan Allen (15820052),Keenan Allen,15820052.0,WR/FLEX,8000.0,LAC@BUF 11/29/2020 01:00PM ET,LAC,21.05
6,6,QB,Patrick Mahomes (15819764),Patrick Mahomes,15819764.0,QB,8000.0,KC@TB 11/29/2020 04:25PM ET,KC,28.01
7,7,RB,Derrick Henry (15819828),Derrick Henry,15819828.0,RB/FLEX,7900.0,TEN@IND 11/29/2020 01:00PM ET,TEN,20.05
8,8,WR,Tyreek Hill (15820054),Tyreek Hill,15820054.0,WR/FLEX,7800.0,KC@TB 11/29/2020 04:25PM ET,KC,20.82
9,9,QB,Josh Allen (15819765),Josh Allen,15819765.0,QB,7600.0,LAC@BUF 11/29/2020 01:00PM ET,BUF,26.89
10,10,WR,Stefon Diggs (15820056),Stefon Diggs,15820056.0,WR/FLEX,7600.0,LAC@BUF 11/29/2020 01:00PM ET,BUF,19.96
11,11,WR,Michael Thomas (15820058),Michael Thomas,15820058.0,WR/FLEX,7400.0,NO@DEN 11/29/2020 04:05PM ET,NO,10.48
12,12,RB,Josh Jacobs (15819830),Josh Jacobs,15819830.0,RB/FLEX,7200.0,LV@ATL 11/29/2020 01:00PM ET,LV,17.43
13,13,QB,Justin Herbert (15819766),Justin Herbert,15819766.0,QB,7200.0,LAC@BUF 11/29/2020 01:00PM ET,LAC,26.74
14,14,RB,Nick Chubb (15819832),Nick Chubb,15819832.0,RB/FLEX,7100.0,CLE@JAX 11/29/2020 01:00PM ET,CLE,17.2
15,15,WR,Calvin Ridley (15820060),Calvin Ridley,15820060.0,WR/FLEX,7100.0,LV@ATL 11/29/2020 01:00PM ET,ATL,19.34
16,16,TE,Travis Kelce (15820352),Travis Kelce,15820352.0,TE/FLEX,7000.0,KC@TB 11/29/2020 04:25PM ET,KC,20.88
17,17,RB,Mike Davis (15819834),Mike Davis,15819834.0,RB/FLEX,6900.0,CAR@MIN 11/29/2020 01:00PM ET,CAR,13.94
18,18,WR,Adam Thielen (15820062),Adam Thielen,15820062.0,WR/FLEX,6800.0,CAR@MIN 11/29/2020 01:00PM ET,MIN,19.21
19,19,QB,Lamar Jackson (15847525),Lamar Jackson,15847525.0,QB,6800.0,BAL@PIT 11/29/2020 01:00PM ET,BAL,20.94
20,20,WR,A.J. Brown (15820064),AJ Brown,15820064.0,WR/FLEX,6700.0,TEN@IND 11/29/2020 01:00PM ET,TEN,17.25
21,21,QB,Tom Brady (15819767),Tom Brady,15819767.0,QB,6600.0,KC@TB 11/29/2020 04:25PM ET,TB,21.46
22,22,QB,Ben Roethlisberger (15847526),Ben Roethlisberger,15847526.0,QB,6600.0,BAL@PIT 11/29/2020 01:00PM ET,PIT,20.48
23,23,WR,Julio Jones (15820066),Julio Jones,15820066.0,WR/FLEX,6500.0,LV@ATL 11/29/2020 01:00PM ET,ATL,17.46
24,24,QB,Cam Newton (15819768),Cam Newton,15819768.0,QB,6400.0,ARI@NE 11/29/2020 01:00PM ET,NE,20.3
25,25,WR,Cooper Kupp (15820068),Cooper Kupp,15820068.0,WR/FLEX,6400.0,SF@LAR 11/29/2020 04:05PM ET,LAR,15.95
26,26,RB,Clyde Edwards-Helaire (15819836),Clyde Edwards-Helaire,15819836.0,RB/FLEX,6400.0,KC@TB 11/29/2020 04:25PM ET,KC,15.37
27,27,RB,James Robinson (15819838),James Robinson,15819838.0,RB/FLEX,6300.0,CLE@JAX 11/29/2020 01:00PM ET,JAC,18.41
28,28,QB,Teddy Bridgewater (15819769),Teddy Bridgewater,15819769.0,QB,6300.0,CAR@MIN 11/29/2020 01:00PM ET,CAR,19.47
29,29,WR,Justin Jefferson (15820070),Justin Jefferson,15820070.0,WR/FLEX,6300.0,CAR@MIN 11/29/2020 01:00PM ET,MIN,16.78
30,30,RB,Joe Mixon (15819840),Joe Mixon,15819840.0,RB/FLEX,6200.0,NYG@CIN 11/29/2020 01:00PM ET,CIN,17.27
31,31,WR,DJ Moore (15820072),DJ Moore,15820072.0,WR/FLEX,6200.0,CAR@MIN 11/29/2020 01:00PM ET,CAR,14.94
32,32,QB,Taysom Hill (15819770),Taysom Hill,15819770.0,QB,6200.0,NO@DEN 11/29/2020 04:05PM ET,NO,7.09
33,33,RB,James Conner (15847531),James Conner,15847531.0,RB/FLEX,6200.0,BAL@PIT 11/29/2020 01:00PM ET,PIT,14.3
34,34,WR,Diontae Johnson (15847553),Diontae Johnson,15847553.0,WR/FLEX,6200.0,BAL@PIT 11/29/2020 01:00PM ET,PIT,14.78
35,35,QB,Philip Rivers (15819771),Philip Rivers,15819771.0,QB,6100.0,TEN@IND 11/29/2020 01:00PM ET,IND,16.4
36,36,RB,Austin Ekeler (15819844),Austin Ekeler,15819844.0,RB/FLEX,6100.0,LAC@BUF 11/29/2020 01:00PM ET,LAC,15.55
37,37,QB,Kirk Cousins (15819772),Kirk Cousins,15819772.0,QB,6100.0,CAR@MIN 11/29/2020 01:00PM ET,MIN,18.32
38,38,WR,Robby Anderson (15820076),Robby Anderson,15820076.0,WR/FLEX,6100.0,CAR@MIN 11/29/2020 01:00PM ET,CAR,15.37
39,39,RB,Ronald Jones II (15819842),Ronald Jones,15819842.0,RB/FLEX,6100.0,KC@TB 11/29/2020 04:25PM ET,TB,13.98
40,40,WR,Mike Evans (15820074),Mike Evans,15820074.0,WR/FLEX,6100.0,KC@TB 11/29/2020 04:25PM ET,TB,14.66
41,41,WR,Chase Claypool (15847555),Chase Claypool,15847555.0,WR/FLEX,6100.0,BAL@PIT 11/29/2020 01:00PM ET,PIT,15.91
42,42,TE,Darren Waller (15820354),Darren Waller,15820354.0,TE/FLEX,6000.0,LV@ATL 11/29/2020 01:00PM ET,LV,14.39
43,43,RB,Alexander Mattison (15819846),Alexander Mattison,15819846.0,RB/FLEX,6000.0,CAR@MIN 11/29/2020 01:00PM ET,MIN,5.73
44,44,QB,Jared Goff (15819773),Jared Goff,15819773.0,QB,6000.0,SF@LAR 11/29/2020 04:05PM ET,LAR,19.93
45,45,WR,Chris Godwin (15820078),Chris Godwin,15820078.0,WR/FLEX,6000.0,KC@TB 11/29/2020 04:25PM ET,TB,15.07
46,46,RB,Jonathan Taylor (15819850),Jonathan Taylor,15819850.0,RB/FLEX,5900.0,TEN@IND 11/29/2020 01:00PM ET,IND,12.65
47,47,QB,Tua Tagovailoa (15819776),Tua Tagovailoa,15819776.0,QB,5900.0,MIA@NYJ 11/29/2020 01:00PM ET,MIA,10.1
48,48,WR,DeVante Parker (15820080),DeVante Parker,15820080.0,WR/FLEX,5900.0,MIA@NYJ 11/29/2020 01:00PM ET,MIA,12.33
49,49,QB,Matt Ryan (15819774),Matt Ryan,15819774.0,QB,5900.0,LV@ATL 11/29/2020 01:00PM ET,ATL,19.49
50,50,QB,Drew Brees (15819775),Drew Brees,15819775.0,QB,5900.0,NO@DEN 11/29/2020 04:05PM ET,NO,19.22
51,51,RB,Latavius Murray (15819848),Latavius Murray,15819848.0,RB/FLEX,5900.0,NO@DEN 11/29/2020 04:05PM ET,NO,8.17
52,52,TE,George Kittle (15820356),George Kittle,15820356.0,TE/FLEX,5900.0,SF@LAR 11/29/2020 04:05PM ET,SF,17.35
53,53,WR,JuJu Smith-Schuster (15847557),JuJu Smith-Schuster,15847557.0,WR/FLEX,5900.0,BAL@PIT 11/29/2020 01:00PM ET,PIT,14.35
54,54,QB,Ryan Tannehill (15819777),Ryan Tannehill,15819777.0,QB,5800.0,TEN@IND 11/29/2020 01:00PM ET,TEN,21.04
55,55,RB,Damien Harris (15819852),Damien Harris,15819852.0,RB/FLEX,5800.0,ARI@NE 11/29/2020 01:00PM ET,NE,11.3
56,56,WR,Christian Kirk (15820082),Christian Kirk,15820082.0,WR/FLEX,5800.0,ARI@NE 11/29/2020 01:00PM ET,ARI,13.11
57,57,RB,Kalen Ballage (15819854),Kalen Ballage,15819854.0,RB/FLEX,5800.0,LAC@BUF 11/29/2020 01:00PM ET,LAC,10.45
58,58,WR,Robert Woods (15820084),Robert Woods,15820084.0,WR/FLEX,5800.0,SF@LAR 11/29/2020 04:05PM ET,LAR,17.16
59,59,RB,Myles Gaskin (15819858),Myles Gaskin,15819858.0,RB/FLEX,5700.0,MIA@NYJ 11/29/2020 01:00PM ET,MIA,14.21
60,60,QB,Derek Carr (15819778),Derek Carr,15819778.0,QB,5700.0,LV@ATL 11/29/2020 01:00PM ET,LV,18.36
