,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Dalvin Cook,MIN,23.1,19.2,21.2,111.7,102.7,106.4,1.2,0.9,1.1,4.0,3.4,3.7,37.8,27.9,33.3,0.2,0.0,0.1,0.1,0.2,0.2,21.4,20.2,20.7,12,RB
1,Josh Jacobs,LV,24.0,17.7,19.9,100.0,69.0,81.6,1.0,0.5,0.8,3.0,2.0,2.5,21.1,14.9,17.7,0.1,0.0,0.0,0.1,0.2,0.1,17.8,12.2,14.7,12,RB
2,Derrick Henry,TEN,22.2,17.8,20.3,95.0,79.5,89.2,1.0,0.6,0.8,1.5,1.0,1.3,12.1,8.0,9.6,0.1,0.0,0.0,0.1,0.2,0.1,16.3,12.3,14.6,12,RB
3,James Robinson,JAC,21.0,17.1,19.1,83.9,76.5,79.6,1.0,0.4,0.6,3.6,2.5,3.1,26.7,20.3,24.5,0.2,0.0,0.1,0.0,0.2,0.1,16.1,14.0,14.6,12,RB
4,Aaron Jones,GB,15.8,12.7,14.1,74.1,56.9,65.9,1.0,0.4,0.7,4.0,3.0,3.4,32.6,22.5,27.0,0.2,0.0,0.2,0.0,0.2,0.1,15.7,13.0,14.4,12,RB
5,Alvin Kamara,NO,14.2,10.3,12.8,65.0,52.2,58.7,1.0,0.5,0.6,5.4,3.9,4.6,49.6,30.0,38.8,0.2,0.0,0.2,0.0,0.2,0.1,15.5,13.8,14.3,12,RB
6,Nick Chubb,CLE,23.0,14.7,17.6,109.0,69.7,88.0,1.0,0.5,0.7,2.4,0.8,1.3,13.9,6.0,9.0,0.1,0.0,0.0,0.1,0.2,0.1,17.5,10.9,13.9,12,RB
7,Ezekiel Elliott,DAL,19.7,17.6,18.8,82.9,67.1,77.1,1.0,0.4,0.6,3.0,2.4,2.7,24.9,16.8,20.7,0.1,0.0,0.1,0.1,0.3,0.2,16.2,12.1,13.3,12,RB
8,Miles Sanders,PHI,17.0,11.0,14.4,76.0,62.9,70.1,1.0,0.3,0.5,3.9,2.5,2.9,33.9,22.3,26.8,0.2,0.0,0.1,0.1,0.2,0.1,16.4,11.6,13.1,12,RB
9,Antonio Gibson,WAS,15.8,10.6,13.7,69.9,42.0,60.7,1.1,0.5,0.8,3.0,2.0,2.4,22.7,15.2,18.5,0.1,0.0,0.0,0.0,0.2,0.1,14.1,11.9,12.4,12,RB
10,Mike Davis,CAR,17.9,11.3,14.6,73.4,47.3,60.2,1.0,0.3,0.6,4.3,2.0,3.6,29.9,16.5,24.5,0.2,0.0,0.1,0.1,0.2,0.1,14.4,10.7,12.3,12,RB
11,Kareem Hunt,CLE,14.0,10.4,11.7,65.0,47.8,53.3,1.0,0.3,0.5,4.0,2.0,2.8,27.0,17.6,23.4,0.3,0.0,0.2,0.0,0.1,0.0,15.2,10.2,11.6,12,RB
12,Kenyan Drake,ARI,17.2,11.6,14.3,77.5,57.2,63.6,1.0,0.3,0.6,3.0,1.1,1.8,23.8,9.2,13.0,0.1,0.0,0.0,0.1,0.1,0.1,12.9,9.1,11.1,12,RB
13,Gus Edwards,BAL,19.0,12.6,16.4,82.5,66.8,74.9,1.0,0.3,0.5,1.4,0.0,0.8,10.6,0.0,5.9,0.0,0.0,0.0,0.1,0.2,0.1,13.4,10.1,11.1,12,RB
14,Wayne Gallman,NYG,15.0,10.1,12.7,64.0,45.9,54.9,1.0,0.4,0.6,3.3,1.0,2.0,18.8,10.0,14.6,0.2,0.0,0.1,0.1,0.1,0.1,13.4,9.8,11.0,12,RB
15,Ronald Jones,TB,15.0,12.1,13.3,65.0,55.4,60.7,1.0,0.4,0.5,2.1,1.8,2.0,18.1,12.1,14.1,0.1,0.0,0.0,0.0,0.2,0.1,13.8,9.9,10.7,12,RB
16,Clyde Edwards-Helaire,KC,15.7,9.5,12.2,70.2,35.4,49.5,1.0,0.2,0.5,3.3,2.1,2.8,25.9,18.7,23.2,0.2,0.0,0.1,0.0,0.1,0.0,13.7,9.5,10.7,12,RB
17,Chris Carson,SEA,16.8,3.0,12.6,78.7,10.0,55.6,0.6,0.0,0.4,3.6,0.0,2.4,26.5,0.0,16.9,0.2,0.0,0.1,0.1,0.2,0.1,13.0,1.0,10.2,12,RB
