,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Travis Kelce,KC,8.0,4.8,6.0,85.0,54.5,69.3,1.0,0.4,0.6,0.0,0.1,0.0,14.5,7.9,10.5,5,TE
1,Zach Ertz,PHI,7.0,5.4,6.0,75.0,65.1,68.3,1.0,0.3,0.6,0.0,0.1,0.0,13.5,8.5,10.1,5,TE
2,Jordan Reed,SF,7.0,4.9,5.5,66.5,46.9,58.6,1.0,0.4,0.6,0.1,0.2,0.1,12.5,7.6,8.9,5,TE
3,Jared Cook,NO,5.1,4.4,4.8,65.0,56.9,60.1,1.0,0.2,0.4,0.0,0.1,0.0,12.0,7.3,8.3,5,TE
4,George Kittle,SF,5.0,3.9,4.4,70.0,43.9,56.0,1.0,0.3,0.4,0.0,0.0,0.0,11.5,6.2,8.2,5,TE
5,Eric Ebron,PIT,4.9,4.0,4.4,55.6,46.4,51.1,1.0,0.2,0.5,0.0,0.0,0.0,11.0,6.2,8.0,5,TE
6,Vance McDonald,PIT,4.0,3.0,3.5,56.0,35.4,41.9,1.0,0.3,0.5,0.0,0.2,0.1,10.5,5.3,6.9,5,TE
7,David Njoku,CLE,5.0,3.3,4.0,55.0,31.3,40.8,1.0,0.2,0.4,0.0,0.0,0.0,11.5,4.3,6.4,5,TE
8,Kyle Rudolph,MIN,5.0,3.5,4.3,55.0,34.4,43.7,0.4,0.0,0.3,0.0,0.0,0.0,6.4,5.2,5.9,5,TE
9,Ricky Seals-Jones,KC,3.3,1.8,2.7,40.0,22.1,33.5,1.0,0.2,0.4,0.0,0.0,0.0,9.5,3.4,5.7,5,TE
10,Austin Hooper,CLE,3.5,2.6,3.1,35.1,30.0,31.8,0.3,0.0,0.2,0.0,0.0,0.0,5.3,3.0,4.4,5,TE
11,CJ Uzomah,CIN,3.3,2.5,2.9,35.0,25.0,29.6,0.3,0.0,0.2,0.0,0.1,0.0,5.2,3.5,4.1,5,TE
12,Hayden Hurst,ATL,3.3,2.3,2.7,34.1,25.1,29.2,0.2,0.1,0.2,0.0,0.0,0.0,4.7,3.1,3.8,5,TE
13,Ian Thomas,CAR,3.0,2.3,2.6,30.0,23.5,26.7,0.2,0.0,0.2,0.0,0.0,0.0,4.3,3.0,3.7,5,TE
14,Geoff Swaim,TEN,3.2,1.0,2.4,34.0,15.0,25.8,0.3,0.0,0.2,0.0,0.0,0.0,4.8,1.5,3.6,5,TE
15,Nick Vannett,DEN,3.0,1.6,2.4,30.0,15.0,24.9,0.3,0.0,0.2,0.0,0.1,0.0,4.6,2.9,3.5,5,TE
16,Mike Gesicki,MIA,3.3,1.6,2.3,31.9,17.5,23.9,0.2,0.0,0.2,0.0,0.0,0.0,4.4,2.0,3.3,5,TE
17,Dallas Goedert,PHI,3.0,1.5,2.2,30.0,16.7,23.2,0.3,0.0,0.1,0.0,0.0,0.0,4.5,2.3,3.2,5,TE
18,Tyler Kroft,BUF,3.0,1.4,2.1,25.0,15.1,20.7,0.2,0.0,0.1,0.0,0.0,0.0,3.6,2.1,2.9,5,TE
19,Luke Willson,SEA,2.1,1.0,1.7,21.4,10.0,17.1,0.2,0.0,0.1,0.0,0.0,0.0,3.6,1.0,2.6,5,TE
20,Luke Stocker,ATL,2.2,1.4,1.6,21.9,13.4,17.2,0.2,0.1,0.1,0.0,0.0,0.0,3.4,2.1,2.5,5,TE
21,Jonnu Smith,TEN,2.2,1.2,1.8,22.0,12.8,18.1,0.2,0.0,0.1,0.0,0.0,0.0,3.4,1.9,2.4,5,TE
22,Virgil Green,LAC,2.0,1.0,1.5,20.0,12.5,16.5,0.3,0.0,0.1,0.0,0.2,0.1,3.3,1.8,2.3,5,TE
23,Ryan Griffin,NYJ,2.0,0.9,1.5,25.0,9.6,17.3,0.2,0.0,0.1,0.0,0.1,0.1,3.2,1.9,2.3,5,TE
24,Jason Croom,PHI,1.9,0.3,1.4,24.0,3.5,15.2,0.3,0.1,0.1,0.0,0.1,0.0,3.5,0.6,2.3,5,TE
25,Mark Andrews,BAL,1.7,0.8,1.3,19.0,10.0,14.6,0.2,0.1,0.1,0.0,0.0,0.0,3.0,1.4,2.2,5,TE
26,Jesse James,DET,1.9,1.0,1.4,22.0,9.0,14.7,0.3,0.0,0.1,0.0,0.0,0.0,3.5,1.0,2.1,5,TE
27,Jordan Akins,HOU,1.6,1.0,1.3,16.0,10.0,13.9,0.1,0.0,0.1,0.0,0.0,0.0,2.4,1.0,1.9,5,TE
28,Nick Boyle,BAL,2.0,0.5,1.5,20.0,4.5,14.0,0.1,0.0,0.1,0.0,0.0,0.0,2.2,0.5,1.8,5,TE
29,Jordan Leggett,DEN,1.3,1.0,1.1,14.1,10.0,12.1,0.2,0.0,0.1,0.0,0.1,0.0,2.3,1.0,1.8,5,TE
30,Darren Fells,HOU,1.4,0.7,1.1,16.9,8.0,11.8,0.1,0.1,0.1,0.0,0.1,0.0,2.3,1.3,1.7,5,TE
31,Chris Herndon,NYJ,1.8,0.6,1.3,18.5,5.6,13.1,0.1,0.0,0.1,0.0,0.1,0.0,2.5,0.9,1.7,5,TE
32,Tyler Higbee,LAR,1.6,0.0,1.0,17.5,5.0,12.2,0.1,0.0,0.1,0.0,0.0,0.0,2.4,0.5,1.7,5,TE
33,Josh Hill,NO,1.2,0.6,1.0,12.6,6.0,9.8,0.2,0.1,0.1,0.0,0.1,0.0,2.1,1.0,1.6,5,TE
34,Gerald Everett,LAR,2.0,0.2,1.0,25.0,3.0,12.6,0.2,0.0,0.1,0.0,0.1,0.0,2.6,0.3,1.6,5,TE
35,Maxx Williams,ARI,2.0,0.9,1.3,20.0,8.0,12.0,0.1,0.0,0.1,0.0,0.1,0.0,2.0,1.1,1.6,5,TE
36,James O'Shaughnessy,JAC,1.5,0.2,0.9,17.0,2.3,11.2,0.1,0.0,0.1,0.0,0.1,0.0,2.3,0.2,1.5,5,TE
37,Eric Tomlinson,BAL,1.4,0.2,0.9,15.9,3.3,10.2,0.1,0.0,0.1,0.0,0.2,0.1,2.3,0.3,1.4,5,TE
38,Matt LaCosse,NE,1.3,0.2,0.8,14.3,2.7,8.7,0.1,0.0,0.1,0.0,0.1,0.0,2.0,0.4,1.3,5,TE
39,Seth DeValve,ARI,1.5,0.2,0.7,14.3,2.5,8.2,0.2,0.0,0.1,0.0,0.0,0.0,2.4,0.3,1.2,5,TE
40,Levine Toilolo,NYG,1.3,0.1,0.7,11.3,1.4,7.3,0.1,0.0,0.1,0.0,0.0,0.0,1.8,0.1,1.2,5,TE
41,Derek Carrier,LV,1.6,0.5,0.9,17.3,5.0,9.1,0.1,0.0,0.0,0.0,0.0,0.0,2.3,0.6,1.2,5,TE
42,Blake Jarwin,DAL,1.5,0.4,0.9,15.4,4.6,8.9,0.1,0.0,0.0,0.0,0.0,0.0,2.1,0.5,1.1,5,TE
43,Jacob Hollister,SEA,0.8,0.5,0.7,8.0,5.3,7.2,0.1,0.0,0.1,0.0,0.0,0.0,1.4,0.5,1.1,5,TE
44,Mo Alie-Cox,IND,1.0,0.0,0.5,13.0,0.0,6.3,0.1,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.9,5,TE
45,Darrell Daniels,ARI,1.2,0.1,0.6,12.9,0.9,5.9,0.1,0.0,0.0,0.0,0.0,0.0,1.9,0.1,0.8,5,TE
46,Logan Thomas,WAS,0.9,0.2,0.5,9.1,3.0,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1.5,0.3,0.8,5,TE
47,Durham Smythe,MIA,0.9,0.2,0.6,10.0,2.2,5.8,0.1,0.0,0.0,0.0,0.1,0.0,1.6,0.2,0.7,5,TE
48,Eric Saubert,JAC,1.1,0.1,0.5,11.7,1.4,5.2,0.1,0.0,0.0,0.0,0.0,0.0,1.8,0.1,0.7,5,TE
49,Jerell Adams,DET,0.8,0.0,0.4,9.3,0.0,4.7,0.1,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.7,5,TE
50,Lee Smith,BUF,0.8,0.0,0.4,7.0,0.0,3.8,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,5,TE
51,Chris Manhertz,CAR,0.7,0.2,0.4,6.9,2.1,3.8,0.1,0.0,0.0,0.0,0.0,0.0,1.3,0.2,0.5,5,TE
52,Marcedes Lewis,GB,0.4,0.0,0.2,4.1,0.0,2.5,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,5,TE
53,Josh Perkins,PHI,0.4,0.2,0.3,5.0,2.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.4,5,TE
54,MyCole Pruitt,TEN,0.6,0.0,0.3,7.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.4,5,TE
55,Khari Lee,DET,0.4,0.2,0.3,3.6,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.4,5,TE
56,Jeremy Sprinkle,WAS,0.3,0.1,0.2,3.3,1.3,2.4,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.3,5,TE
57,Mason Schreck,CIN,0.3,0.2,0.3,4.0,2.5,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.3,5,TE
58,Tyler Conklin,MIN,0.4,0.2,0.3,3.4,2.5,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.3,5,TE
59,Sean Culkin,BAL,0.2,0.2,0.2,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,5,TE
60,Cole Wick,NO,0.3,0.0,0.2,3.4,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,5,TE
61,Dalton Schultz,DAL,0.2,0.2,0.2,2.2,2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,5,TE
62,Xavier Grimble,BAL,0.2,0.1,0.2,2.0,1.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.2,5,TE
63,Evan Baylis,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TE
64,Temarrick Hemingway,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TE
65,Clark Harris,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TE
66,Richard Rodgers,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TE
67,Garrett Griffin,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TE
68,Marcus Baugh,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TE
69,Blake Bell,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TE
70,Stephen Anderson,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TE
