,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Blake Bortles,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Julio Jones,Ricky Seals-Jones,Melvin Gordon,Cincinnati Bengals,150.93800000000002,49800
1,Blake Bortles,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Julio Jones,Ricky Seals-Jones,Melvin Gordon,Baltimore Ravens,150.93800000000002,49900
2,Blake Bortles,T.J. Yeldon,David Johnson,Doug Baldwin,Mike Williams,Julio Jones,David Njoku,Melvin Gordon,Cincinnati Bengals,150.688,49800
3,Blake Bortles,T.J. Yeldon,David Johnson,Doug Baldwin,Mike Williams,Julio Jones,David Njoku,Melvin Gordon,Baltimore Ravens,150.688,49900
4,Blake Bortles,T.J. Yeldon,David Johnson,Marvin Jones,Julio Jones,Tyler Lockett,David Njoku,Melvin Gordon,Baltimore Ravens,150.568,50000
5,Blake Bortles,T.J. Yeldon,David Johnson,Marvin Jones,Julio Jones,Tyler Lockett,David Njoku,Melvin Gordon,Cincinnati Bengals,150.568,49900
6,Blake Bortles,T.J. Yeldon,David Johnson,Marvin Jones,Julio Jones,Quincy Enunwa,Ricky Seals-Jones,Melvin Gordon,Cincinnati Bengals,150.288,50000
7,Matthew Stafford,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Julio Jones,Ricky Seals-Jones,Melvin Gordon,Cincinnati Bengals,150.28,50000
8,Blake Bortles,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Julio Jones,Ricky Seals-Jones,Melvin Gordon,New York Jets,150.23800000000003,49700
9,Blake Bortles,T.J. Yeldon,Melvin Gordon,Marvin Jones,Golden Tate,Mike Williams,David Njoku,Julio Jones,Cincinnati Bengals,150.13799999999998,49900
10,Blake Bortles,T.J. Yeldon,Melvin Gordon,Marvin Jones,Golden Tate,Mike Williams,David Njoku,Julio Jones,Baltimore Ravens,150.13799999999998,50000
11,Blake Bortles,T.J. Yeldon,David Johnson,Marvin Jones,Mike Williams,Julio Jones,Vance McDonald,Melvin Gordon,Cincinnati Bengals,150.108,49800
12,Blake Bortles,T.J. Yeldon,David Johnson,Marvin Jones,Mike Williams,Julio Jones,Vance McDonald,Melvin Gordon,Baltimore Ravens,150.108,49900
13,Blake Bortles,T.J. Yeldon,David Johnson,Doug Baldwin,Julio Jones,Keelan Cole,Ricky Seals-Jones,Melvin Gordon,Cincinnati Bengals,150.10799999999998,50000
14,Blake Bortles,T.J. Yeldon,David Johnson,Doug Baldwin,Mike Williams,Julio Jones,Vance McDonald,Melvin Gordon,New York Jets,150.08800000000002,50000
15,Blake Bortles,T.J. Yeldon,David Johnson,Mike Williams,Julio Jones,Quincy Enunwa,David Njoku,Melvin Gordon,Cincinnati Bengals,150.038,50000
16,Matthew Stafford,T.J. Yeldon,David Johnson,Doug Baldwin,Mike Williams,Julio Jones,David Njoku,Melvin Gordon,Cincinnati Bengals,150.02999999999997,50000
17,Blake Bortles,T.J. Yeldon,David Johnson,Marvin Jones,Mike Williams,Julio Jones,David Njoku,Melvin Gordon,Baltimore Ravens,150.00799999999998,49600
18,Blake Bortles,T.J. Yeldon,David Johnson,Marvin Jones,Mike Williams,Julio Jones,David Njoku,Melvin Gordon,Cincinnati Bengals,150.00799999999998,49500
19,Blake Bortles,T.J. Yeldon,Todd Gurley,Marvin Jones,Doug Baldwin,Julio Jones,David Njoku,Quincy Enunwa,Cincinnati Bengals,150.00799999999998,50000
20,Blake Bortles,T.J. Yeldon,David Johnson,Doug Baldwin,Mike Williams,Julio Jones,David Njoku,Melvin Gordon,New York Jets,149.988,49700
21,Blake Bortles,T.J. Yeldon,David Johnson,Marvin Jones,Mike Williams,Julio Jones,Ricky Seals-Jones,Todd Gurley,Cincinnati Bengals,149.948,49800
