,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Julio Jones,ATL,8.0,6.1,6.7,115.0,101.0,106.2,1.0,0.5,0.6,0.1,0.0,0.1,1.7,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,17.5,13.2,14.5,5,WR
1,DeAndre Hopkins,ARI,8.4,5.9,7.1,106.0,84.5,96.8,1.0,0.6,0.7,0.1,0.0,0.1,0.8,-0.7,0.2,0.0,0.0,0.0,0.0,0.1,0.0,16.5,12.1,13.9,5,WR
2,Michael Thomas,NO,9.0,6.5,7.5,105.0,82.0,91.8,1.0,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,16.5,11.2,13.3,5,WR
3,Keenan Allen,LAC,7.3,5.8,6.5,97.7,72.5,85.3,1.0,0.4,0.7,0.1,0.0,0.1,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.1,15.2,10.9,12.4,5,WR
4,AJ Green,CIN,6.1,5.1,5.7,85.2,70.0,77.3,1.0,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,13.9,11.2,12.3,5,WR
5,Davante Adams,GB,6.7,5.5,6.0,94.9,67.8,79.1,1.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,14.5,10.6,12.2,5,WR
6,Odell Beckham,CLE,7.9,6.0,7.0,96.6,82.8,88.4,1.0,0.3,0.5,0.6,0.1,0.4,3.9,0.7,2.1,0.0,0.0,0.0,0.0,0.1,0.0,15.0,11.1,12.2,5,WR
7,JuJu Smith-Schuster,PIT,7.0,5.9,6.4,100.0,77.6,83.9,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,16.0,10.6,12.0,5,WR
8,Adam Thielen,MIN,10.0,6.5,7.5,100.0,82.0,88.0,1.0,0.2,0.5,0.2,0.0,0.1,1.3,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.1,16.0,10.1,11.9,5,WR
9,Brandin Cooks,HOU,7.0,5.0,5.6,85.0,75.0,79.4,1.0,0.4,0.6,0.5,0.1,0.4,3.2,0.6,2.5,0.0,0.0,0.0,0.0,0.1,0.1,15.0,10.8,11.8,5,WR
10,Golden Tate,NYG,8.0,6.0,6.8,85.6,71.0,80.3,1.0,0.4,0.6,0.4,0.2,0.3,2.3,0.1,1.2,0.0,0.0,0.0,0.0,0.1,0.1,14.5,9.5,11.4,5,WR
11,Tyreek Hill,KC,5.3,4.3,4.9,85.0,52.6,71.1,1.0,0.3,0.6,1.2,0.1,0.8,7.1,0.7,4.6,0.0,0.0,0.0,0.0,0.1,0.0,14.5,8.4,11.0,5,WR
12,Stefon Diggs,BUF,6.6,5.4,5.9,80.0,67.5,73.9,1.0,0.3,0.5,0.6,0.1,0.4,3.0,1.3,2.0,0.0,0.0,0.0,0.0,0.1,0.0,14.0,9.2,10.7,5,WR
13,Robert Woods,LAR,6.0,5.1,5.4,71.4,62.0,66.9,1.0,0.4,0.6,0.8,0.1,0.6,4.7,0.4,2.8,0.0,0.0,0.0,0.0,0.1,0.1,13.0,9.1,10.4,5,WR
14,Jarvis Landry,CLE,6.9,5.8,6.3,80.0,60.5,73.7,1.0,0.3,0.5,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.1,14.0,7.9,10.1,5,WR
15,Corey Davis,TEN,6.1,4.9,5.7,80.0,61.1,71.9,1.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,14.0,8.5,10.0,5,WR
16,Marvin Jones,DET,5.0,3.7,4.3,70.0,56.8,64.8,1.0,0.3,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.5,10.0,5,WR
17,Tyler Boyd,CIN,7.0,4.0,5.2,85.0,51.6,65.4,1.0,0.3,0.5,0.7,0.0,0.4,4.0,-0.1,2.2,0.0,0.0,0.0,0.0,0.1,0.0,14.5,8.1,9.9,5,WR
18,Emmanuel Sanders,NO,7.0,4.5,5.6,85.0,56.5,71.8,1.0,0.2,0.4,0.6,0.1,0.3,6.3,-0.2,2.7,0.0,0.0,0.0,0.0,0.1,0.0,14.5,7.2,9.9,5,WR
19,Will Fuller,HOU,5.3,3.1,4.2,67.9,54.1,60.6,1.0,0.4,0.6,0.1,0.0,0.1,0.8,-0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.6,9.8,5,WR
20,Julian Edelman,NE,6.0,4.6,5.5,78.1,55.7,66.6,1.0,0.4,0.5,0.7,0.0,0.3,3.5,0.0,1.3,0.0,0.0,0.0,0.0,0.2,0.1,13.5,7.7,9.7,5,WR
21,Amari Cooper,DAL,7.0,4.6,5.4,85.0,62.0,68.8,1.0,0.2,0.4,0.3,0.2,0.2,3.7,1.0,1.8,0.0,0.0,0.0,0.0,0.1,0.0,14.5,7.6,9.7,5,WR
22,John Brown,BUF,5.0,3.5,4.1,85.0,55.0,61.7,1.0,0.3,0.5,0.8,0.1,0.4,3.0,0.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,14.5,7.6,9.4,5,WR
23,Alshon Jeffery,PHI,5.0,3.6,4.4,70.0,54.0,62.9,1.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.1,9.4,5,WR
24,Devin Funchess,GB,5.0,3.3,4.2,70.9,50.1,60.5,1.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.4,9.3,5,WR
25,Calvin Ridley,ATL,6.0,3.5,4.2,70.0,50.4,59.3,1.0,0.3,0.5,0.8,0.1,0.5,4.2,0.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.3,9.3,5,WR
26,Cooper Kupp,LAR,5.4,3.7,4.9,70.0,59.6,64.2,0.6,0.0,0.4,0.8,0.0,0.4,4.9,0.3,2.3,0.0,0.0,0.0,0.0,0.1,0.0,10.8,6.0,9.2,5,WR
27,Keelan Cole,JAC,7.0,3.4,4.6,85.0,51.3,64.6,1.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,7.3,9.1,5,WR
28,Tyler Lockett,SEA,4.2,3.6,3.9,65.0,50.0,56.0,1.0,0.3,0.5,0.4,0.1,0.3,4.9,0.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,12.5,7.0,8.7,5,WR
29,Mike Williams,LAC,6.0,2.9,3.8,75.0,39.4,53.6,1.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,5.7,8.6,5,WR
30,Kenny Golladay,DET,5.1,4.0,4.5,69.7,56.6,63.0,0.5,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,9.4,6.0,8.3,5,WR
31,Dede Westbrook,JAC,4.8,3.0,4.0,69.4,45.1,57.0,1.0,0.2,0.4,0.5,0.0,0.3,2.9,0.0,1.6,0.0,0.0,0.0,0.0,0.2,0.1,11.5,6.2,8.3,5,WR
32,Jamison Crowder,NYJ,4.6,3.8,4.2,56.7,47.5,52.7,1.0,0.2,0.4,0.8,0.2,0.6,4.8,1.0,3.5,0.0,0.0,0.0,0.0,0.1,0.0,11.5,6.5,8.1,5,WR
33,Sterling Shepard,NYG,6.0,4.6,5.3,64.4,55.5,59.2,0.5,0.0,0.3,0.2,0.0,0.1,1.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,9.5,6.0,7.5,5,WR
34,Nelson Agholor,LV,4.9,3.9,4.3,56.0,39.9,49.1,0.4,0.0,0.3,0.7,0.1,0.4,3.0,0.3,2.3,0.0,0.0,0.0,0.0,0.1,0.0,8.5,4.5,6.7,5,WR
35,Larry Fitzgerald,ARI,5.6,4.0,5.0,64.0,45.0,54.9,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,8.2,4.5,6.6,5,WR
36,Josh Gordon,SEA,3.6,2.0,3.0,53.4,29.0,44.8,0.4,0.2,0.3,0.3,0.0,0.1,1.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.8,4.2,6.6,5,WR
37,Albert Wilson,MIA,4.0,2.0,3.4,50.0,35.0,44.6,0.3,0.0,0.2,0.9,0.1,0.6,5.4,0.7,3.2,0.0,0.0,0.0,0.0,0.0,0.0,7.2,3.5,6.0,5,WR
38,Marquez Valdes-Scantling,GB,4.0,2.8,3.5,51.0,37.6,45.7,0.4,0.0,0.2,0.1,0.0,0.0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,6.8,4.5,6.0,5,WR
39,Mohamed Sanu,DET,4.2,2.7,3.7,50.0,34.8,44.3,0.4,0.0,0.2,0.2,0.0,0.1,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.9,4.9,6.0,5,WR
40,Chester Rogers,TEN,4.4,3.5,4.1,52.1,41.0,47.0,0.3,0.0,0.2,0.1,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,6.7,4.5,5.9,5,WR
41,Christian Kirk,ARI,4.5,3.2,4.0,54.0,44.1,47.9,0.2,0.0,0.2,0.2,0.0,0.1,1.4,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,6.6,4.5,5.8,5,WR
42,Tyrell Williams,LV,3.4,2.4,2.8,53.5,31.2,42.7,0.3,0.0,0.2,0.4,0.0,0.2,2.6,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,7.3,4.5,5.7,5,WR
43,Taywan Taylor,CLE,4.4,3.0,3.6,48.3,31.3,43.6,0.3,0.0,0.2,0.6,0.0,0.2,2.0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,6.7,4.5,5.7,5,WR
44,Zach Pascal,IND,4.2,2.9,3.4,55.6,35.0,44.2,0.3,0.0,0.2,0.1,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.4,3.5,5.6,5,WR
45,Sammy Watkins,KC,4.2,1.0,3.1,54.3,10.0,39.0,0.4,0.0,0.2,0.6,0.0,0.4,4.8,0.2,2.7,0.0,0.0,0.0,0.0,0.0,0.0,7.6,1.0,5.6,5,WR
46,Donte Moncrief,NE,3.5,2.5,3.0,43.0,40.0,41.5,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,6.0,4.0,5.4,5,WR
47,Robby Anderson,CAR,3.6,2.0,2.8,50.6,35.0,40.6,0.3,0.0,0.2,0.5,0.1,0.3,2.0,0.1,1.2,0.0,0.0,0.0,0.0,0.2,0.1,7.1,3.5,5.4,5,WR
48,Willie Snead,BAL,4.5,2.0,3.6,51.4,35.0,43.8,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,6.3,3.5,5.3,5,WR
49,Keke Coutee,HOU,4.0,2.1,3.3,55.0,27.1,41.0,0.3,0.0,0.2,0.9,0.1,0.5,4.0,0.7,2.2,0.0,0.0,0.0,0.0,0.1,0.1,6.2,3.6,5.2,5,WR
50,Cole Beasley,BUF,4.1,3.0,3.7,46.5,35.2,42.1,0.3,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,6.1,4.5,5.1,5,WR
51,Danny Amendola,DET,5.0,3.4,4.0,50.0,36.0,42.4,0.3,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.1,6.4,4.0,5.0,5,WR
52,Courtland Sutton,DEN,3.2,2.8,3.0,47.2,34.9,39.5,0.3,0.0,0.2,0.1,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,6.0,3.5,4.9,5,WR
53,Jakeem Grant,MIA,3.5,1.0,2.5,45.0,10.0,33.4,0.3,0.0,0.2,0.3,0.0,0.2,1.4,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,5.8,1.0,4.4,5,WR
54,Allen Hurns,MIA,3.2,2.0,2.5,45.0,29.1,35.4,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,5.7,3.5,4.3,5,WR
55,Michael Gallup,DAL,2.8,2.0,2.4,37.8,27.7,33.4,0.3,0.0,0.2,0.1,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,5.4,3.5,4.3,5,WR
56,Zay Jones,LV,3.0,2.0,2.7,44.0,26.5,34.8,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.3,4.1,5,WR
57,Ryan Switzer,CLE,2.6,1.0,2.1,29.1,10.0,22.5,0.2,0.0,0.1,2.0,0.4,1.1,9.0,3.0,5.6,0.1,0.0,0.0,0.0,0.0,0.0,4.6,1.5,3.8,5,WR
58,Rashard Higgins,CLE,3.1,1.9,2.6,40.0,20.6,31.1,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,5.0,2.6,3.7,5,WR
59,DJ Moore,CAR,2.0,1.8,1.9,27.0,23.0,24.6,0.3,0.1,0.2,0.6,0.0,0.3,3.7,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,4.7,3.0,3.7,5,WR
60,J'Mon Moore,HOU,2.9,0.6,2.1,37.6,7.7,27.2,0.2,0.1,0.1,0.1,0.0,0.0,1.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1.5,3.6,5,WR
61,Trent Taylor,SF,3.4,2.0,2.9,36.5,20.0,29.3,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.9,2.0,3.6,5,WR
62,Chad Williams,KC,2.4,1.0,1.9,33.0,15.0,25.3,0.3,0.0,0.2,0.2,0.0,0.1,2.2,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,4.4,1.5,3.6,5,WR
63,Tyler Ervin,GB,1.2,1.2,1.2,10.0,10.0,10.0,0.0,0.0,0.0,5.1,5.1,5.1,19.1,19.1,19.1,0.1,0.1,0.1,0.0,0.0,0.0,3.5,3.5,3.5,5,WR
64,Phillip Dorsett,SEA,2.6,1.4,2.0,32.0,18.4,26.3,0.3,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,4.4,2.5,3.5,5,WR
65,Tre'Quan Smith,NO,2.5,1.0,1.9,33.0,10.0,23.8,0.3,0.0,0.2,0.1,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,4.6,1.0,3.3,5,WR
66,Tajae Sharpe,KC,2.2,1.0,1.7,29.0,20.0,24.6,0.2,0.0,0.1,0.3,0.0,0.1,2.2,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.0,3.1,5,WR
67,Jordan Matthews,SF,2.2,1.3,1.8,31.5,17.6,23.6,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,2.4,3.1,5,WR
68,Chris Conley,JAC,3.0,1.5,2.2,35.0,18.0,24.8,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.0,2.3,3.0,5,WR
69,Kendrick Bourne,SF,2.6,0.5,1.6,36.0,7.7,22.3,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.0,3.0,5,WR
70,James Washington,PIT,2.0,1.0,1.5,26.9,20.0,22.1,0.2,0.0,0.1,0.1,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.9,2.0,3.0,5,WR
