,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Matthew Stafford,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Julio Jones,Vance McDonald,Adam Thielen,Baltimore Ravens,150.39000000000001,50000
1,Matt Ryan,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Julio Jones,Jared Cook,Tyler Boyd,Baltimore Ravens,149.97000000000003,50000
2,Matthew Stafford,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Julio Jones,Vance McDonald,James Conner,Baltimore Ravens,149.81,49800
3,Matthew Stafford,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Julio Jones,Vance McDonald,Adam Thielen,New York Jets,149.69000000000003,49800
4,Matthew Stafford,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Julio Jones,Vance McDonald,JuJu Smith-Schuster,Baltimore Ravens,149.61,49800
5,Matt Ryan,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Julio Jones,Jared Cook,Tyler Boyd,New York Jets,149.27000000000004,49800
6,Matthew Stafford,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Julio Jones,Vance McDonald,James Conner,New York Jets,149.11,49600
7,Ben Roethlisberger,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Adam Thielen,Vance McDonald,James Conner,New York Jets,148.996,50000
8,Ben Roethlisberger,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,JuJu Smith-Schuster,Vance McDonald,James Conner,Baltimore Ravens,148.91600000000003,50000
9,Matthew Stafford,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Julio Jones,Vance McDonald,JuJu Smith-Schuster,New York Jets,148.91000000000003,49600
10,Ben Roethlisberger,T.J. Yeldon,Christian McCaffrey,Marvin Jones,Doug Baldwin,Julio Jones,Vance McDonald,Jared Cook,Baltimore Ravens,148.816,50000
11,Ben Roethlisberger,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Adam Thielen,Vance McDonald,JuJu Smith-Schuster,New York Jets,148.79600000000002,50000
12,Matthew Stafford,T.J. Yeldon,David Johnson,Marvin Jones,Julio Jones,Adam Thielen,Vance McDonald,Jared Cook,Baltimore Ravens,148.69,49800
13,Matthew Stafford,T.J. Yeldon,David Johnson,Doug Baldwin,Julio Jones,Adam Thielen,Vance McDonald,Jared Cook,New York Jets,148.67,49900
14,Matthew Stafford,T.J. Yeldon,David Johnson,Doug Baldwin,Julio Jones,JuJu Smith-Schuster,Vance McDonald,Jared Cook,Baltimore Ravens,148.58999999999997,49900
15,Matt Ryan,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Adam Thielen,Vance McDonald,James Conner,Baltimore Ravens,148.36,49900
16,Ben Roethlisberger,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,JuJu Smith-Schuster,Vance McDonald,James Conner,New York Jets,148.21600000000004,49800
17,Ben Roethlisberger,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Tyler Boyd,Jared Cook,Christian McCaffrey,Baltimore Ravens,148.20600000000002,49800
18,Matt Ryan,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Julio Jones,Vance McDonald,Stefon Diggs,New York Jets,148.17000000000004,50000
19,Matt Ryan,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,JuJu Smith-Schuster,Vance McDonald,Christian McCaffrey,New York Jets,148.17000000000004,50000
20,Matt Ryan,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Adam Thielen,Vance McDonald,JuJu Smith-Schuster,Baltimore Ravens,148.16,49900
21,Ben Roethlisberger,T.J. Yeldon,David Johnson,Marvin Jones,Doug Baldwin,Tyler Boyd,Vance McDonald,Todd Gurley,New York Jets,148.156,49900
22,Ben Roethlisberger,T.J. Yeldon,David Johnson,Marvin Jones,Julio Jones,Marquez Valdes-Scantling,Vance McDonald,Christian McCaffrey,Baltimore Ravens,148.13600000000002,49800
23,Ben Roethlisberger,T.J. Yeldon,David Johnson,Doug Baldwin,Julio Jones,Marquez Valdes-Scantling,Vance McDonald,Christian McCaffrey,New York Jets,148.11600000000004,49900
