Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Todd Gurley II (11384957),Todd Gurley II,11384957,RB/FLEX,9400,LAR@SEA 10/07/2018 04:25PM ET,LAR,28.3
WR,Antonio Brown (11385175),Antonio Brown,11385175,WR/FLEX,9100,ATL@PIT 10/07/2018 01:00PM ET,PIT,18.55
RB,Melvin Gordon III (11384959),Melvin Gordon III,11384959,RB/FLEX,8600,OAK@LAC 10/07/2018 04:05PM ET,LAC,27.88
RB,Le'Veon Bell (11384961),Le'Veon Bell,11384961,RB/FLEX,8500,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
WR,Julio Jones (11385177),Julio Jones,11385177,WR/FLEX,8500,ATL@PIT 10/07/2018 01:00PM ET,ATL,21.58
RB,Christian McCaffrey (11384963),Christian McCaffrey,11384963,RB/FLEX,8000,NYG@CAR 10/07/2018 01:00PM ET,CAR,23.27
WR,Odell Beckham Jr. (11385179),Odell Beckham Jr.,11385179,WR/FLEX,8000,NYG@CAR 10/07/2018 01:00PM ET,NYG,17.75
WR,Keenan Allen (11385181),Keenan Allen,11385181,WR/FLEX,7800,OAK@LAC 10/07/2018 04:05PM ET,LAC,15.05
RB,Saquon Barkley (11384965),Saquon Barkley,11384965,RB/FLEX,7700,NYG@CAR 10/07/2018 01:00PM ET,NYG,23.32
WR,Adam Thielen (11385183),Adam Thielen,11385183,WR/FLEX,7700,MIN@PHI 10/07/2018 04:25PM ET,MIN,27.82
WR,Davante Adams (11385185),Davante Adams,11385185,WR/FLEX,7600,GB@DET 10/07/2018 01:00PM ET,GB,18.62
RB,James Conner (11384967),James Conner,11384967,RB/FLEX,7500,ATL@PIT 10/07/2018 01:00PM ET,PIT,20.4
WR,JuJu Smith-Schuster (11385187),JuJu Smith-Schuster,11385187,WR/FLEX,7500,ATL@PIT 10/07/2018 01:00PM ET,PIT,21.9
WR,Brandin Cooks (11385189),Brandin Cooks,11385189,WR/FLEX,7400,LAR@SEA 10/07/2018 04:25PM ET,LAR,21.2
WR,A.J. Green (11385191),A.J. Green,11385191,WR/FLEX,7200,MIA@CIN 10/07/2018 01:00PM ET,CIN,19.68
WR,Emmanuel Sanders (11385193),Emmanuel Sanders,11385193,WR/FLEX,7100,DEN@NYJ 10/07/2018 01:00PM ET,DEN,18.92
WR,Stefon Diggs (11385195),Stefon Diggs,11385195,WR/FLEX,7000,MIN@PHI 10/07/2018 04:25PM ET,MIN,21.25
QB,Ben Roethlisberger (11384896),Ben Roethlisberger,11384896,QB,6900,ATL@PIT 10/07/2018 01:00PM ET,PIT,25.72
WR,Tyreek Hill (11385197),Tyreek Hill,11385197,WR/FLEX,6900,JAX@KC 10/07/2018 01:00PM ET,KC,21.88
RB,Joe Mixon (11384969),Joe Mixon,11384969,RB/FLEX,6900,MIA@CIN 10/07/2018 01:00PM ET,CIN,17.8
WR,Jarvis Landry (11385199),Jarvis Landry,11385199,WR/FLEX,6800,BAL@CLE 10/07/2018 01:00PM ET,CLE,17.3
RB,Giovani Bernard (11384971),Giovani Bernard,11384971,RB/FLEX,6800,MIA@CIN 10/07/2018 01:00PM ET,CIN,13.82
WR,Golden Tate (11385201),Golden Tate,11385201,WR/FLEX,6700,GB@DET 10/07/2018 01:00PM ET,DET,22.95
QB,Philip Rivers (11384897),Philip Rivers,11384897,QB,6700,OAK@LAC 10/07/2018 04:05PM ET,LAC,23.86
QB,Matt Ryan (11384898),Matt Ryan,11384898,QB,6600,ATL@PIT 10/07/2018 01:00PM ET,ATL,29.24
RB,Devonta Freeman (11384973),Devonta Freeman,11384973,RB/FLEX,6500,ATL@PIT 10/07/2018 01:00PM ET,ATL,8
TE,Zach Ertz (11385473),Zach Ertz,11385473,TE/FLEX,6500,MIN@PHI 10/07/2018 04:25PM ET,PHI,16.68
QB,Jared Goff (11384899),Jared Goff,11384899,QB,6500,LAR@SEA 10/07/2018 04:25PM ET,LAR,27.86
WR,Robert Woods (11385203),Robert Woods,11385203,WR/FLEX,6500,LAR@SEA 10/07/2018 04:25PM ET,LAR,20.55
WR,Corey Davis (11385205),Corey Davis,11385205,WR/FLEX,6400,TEN@BUF 10/07/2018 01:00PM ET,TEN,15.55
RB,Tevin Coleman (11384975),Tevin Coleman,11384975,RB/FLEX,6400,ATL@PIT 10/07/2018 01:00PM ET,ATL,13.6
QB,Cam Newton (11384900),Cam Newton,11384900,QB,6400,NYG@CAR 10/07/2018 01:00PM ET,CAR,26.48
QB,Aaron Rodgers (11384901),Aaron Rodgers,11384901,QB,6300,GB@DET 10/07/2018 01:00PM ET,GB,19.48
RB,David Johnson (11384977),David Johnson,11384977,RB/FLEX,6300,ARI@SF 10/07/2018 04:25PM ET,ARI,14.78
WR,Cooper Kupp (11385207),Cooper Kupp,11385207,WR/FLEX,6300,LAR@SEA 10/07/2018 04:25PM ET,LAR,21.78
QB,Patrick Mahomes (11384902),Patrick Mahomes,11384902,QB,6200,JAX@KC 10/07/2018 01:00PM ET,KC,31.08
RB,Leonard Fournette (11384979),Leonard Fournette,11384979,RB/FLEX,6200,JAX@KC 10/07/2018 01:00PM ET,JAX,6.5
WR,Alshon Jeffery (11385209),Alshon Jeffery,11385209,WR/FLEX,6200,MIN@PHI 10/07/2018 04:25PM ET,PHI,27.5
QB,Marcus Mariota (11384903),Marcus Mariota,11384903,QB,6100,TEN@BUF 10/07/2018 01:00PM ET,TEN,15.69
