,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Philip Rivers (13651346),Derrick Henry (13651406),Nick Chubb (13651392),Preston Williams (13651634),Mike Evans (13651576),Jarvis Landry (13651622),Zach Ertz (13651810),Dalvin Cook (13651386),Redskins  (13651969),144.32200000000003,144.32200000000003
1,Russell Wilson (13651332),Derrick Henry (13651406),Phillip Lindsay (13651408),Preston Williams (13651634),Mike Evans (13651576),Jarvis Landry (13651622),Zach Ertz (13651810),Dalvin Cook (13651386),Redskins  (13651969),142.89800000000002,142.89800000000002
2,Jameis Winston (13651338),Derrick Henry (13651406),Phillip Lindsay (13651408),Preston Williams (13651634),Mike Evans (13651576),Jarvis Landry (13651622),Zach Ertz (13651810),Dalvin Cook (13651386),Panthers  (13651958),142.584,142.584
3,Jameis Winston (13651338),Derrick Henry (13651406),Nick Chubb (13651392),Preston Williams (13651634),Jarvis Landry (13651622),Courtland Sutton (13651598),Greg Olsen (13651824),Christian McCaffrey (13651384),Panthers  (13651958),142.364,142.364
4,Russell Wilson (13651332),Nick Chubb (13651392),Christian McCaffrey (13651384),Preston Williams (13651634),Jarvis Landry (13651622),Courtland Sutton (13651598),Greg Olsen (13651824),Zach Ertz (13651810),Panthers  (13651958),142.038,142.038
5,Philip Rivers (13651346),Dalvin Cook (13651386),Aaron Jones (13651396),Preston Williams (13651634),Chris Godwin (13651574),Jarvis Landry (13651622),Greg Olsen (13651824),Austin Ekeler (13651402),Panthers  (13651958),141.882,141.882
6,Philip Rivers (13651346),Derrick Henry (13651406),Dalvin Cook (13651386),Preston Williams (13651634),Chris Godwin (13651574),Courtland Sutton (13651598),Greg Olsen (13651824),Hunter Henry (13651808),Panthers  (13651958),141.75199999999998,141.75199999999998
7,Jameis Winston (13651338),Dalvin Cook (13651386),Austin Ekeler (13651402),Preston Williams (13651634),Chris Godwin (13651574),Courtland Sutton (13651598),Greg Olsen (13651824),Zach Ertz (13651810),Panthers  (13651958),141.614,141.614
8,Philip Rivers (13651346),Nick Chubb (13651392),Josh Jacobs (13651398),Preston Williams (13651634),Jarvis Landry (13651622),Courtland Sutton (13651598),Greg Olsen (13651824),Christian McCaffrey (13651384),Panthers  (13651958),141.492,141.492
9,Jameis Winston (13651338),Derrick Henry (13651406),Dalvin Cook (13651386),Preston Williams (13651634),Chris Godwin (13651574),Jarvis Landry (13651622),Greg Olsen (13651824),Austin Ekeler (13651402),Panthers  (13651958),141.364,141.364
