"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"San Francisco 49ers","","3.7","1.1","0.7","1.3","0.2","0.0","15.6","287.5","9.6"
"Carolina Panthers","","3.7","0.9","0.7","1.2","0.1","0.1","18.9","293.2","9.1"
"Dallas Cowboys","","3.2","1.0","0.8","1.5","0.2","0.0","18.2","326.3","8.7"
"Cleveland Browns","","2.7","1.1","0.7","1.3","0.2","0.0","18.7","308.5","8.5"
"New York Jets","","2.6","1.2","0.6","1.1","0.2","0.0","19.2","320.1","8.4"
"New England Patriots","","2.7","1.1","0.7","1.3","0.2","0.1","18.9","354.6","8.4"
"Seattle Seahawks","","3.0","1.2","0.8","1.4","0.2","0.0","21.8","370.9","8.3"
"Buffalo Bills","","2.4","1.1","0.6","1.3","0.2","0.0","13.3","266.8","8.2"
"Philadelphia Eagles","","2.6","1.0","0.6","1.0","0.2","0.0","18.4","318.4","8.1"
"Miami Dolphins","","2.8","1.2","0.6","0.8","0.2","0.0","21.8","318.1","7.3"
"Denver Broncos","","2.8","1.0","0.7","1.1","0.2","0.0","20.6","340.0","7.3"
"Jacksonville Jaguars","","3.2","0.8","0.6","0.7","0.1","0.0","21.6","353.4","6.8"
"Tennessee Titans","","3.0","0.8","0.6","0.9","0.1","0.1","22.1","334.6","6.7"
"Washington Redskins","","2.7","0.9","0.6","1.0","0.1","0.0","22.6","326.3","6.7"
"Green Bay Packers","","2.6","0.9","0.6","0.9","0.1","0.0","21.5","375.1","6.5"
"Houston Texans","","2.7","0.6","0.7","1.2","0.1","0.0","21.6","345.1","6.1"
"Tampa Bay Buccaneers","","2.8","0.6","0.7","1.1","0.1","0.0","28.6","363.9","6.1"
"Minnesota Vikings","","2.7","0.8","0.6","0.8","0.1","0.0","22.4","344.1","6.1"
"Arizona Cardinals","","2.5","0.8","0.6","1.1","0.1","0.0","25.8","381.7","6.0"
"Oakland Raiders","","2.3","0.9","0.6","1.0","0.1","0.0","23.3","366.8","6.0"
"Kansas City Chiefs","","2.4","0.7","0.7","1.1","0.1","0.1","23.6","374.2","6.0"
"Pittsburgh Steelers","","2.5","0.6","0.6","1.1","0.1","0.1","20.2","323.9","5.9"
"Chicago Bears","","2.4","0.7","0.7","1.1","0.1","0.0","21.5","318.4","5.9"
"New York Giants","","2.5","0.7","0.5","0.7","0.1","0.0","26.2","387.5","5.8"
"Indianapolis Colts","","1.9","0.9","0.6","1.0","0.1","0.0","20.7","319.2","5.7"
"Detroit Lions","","2.1","0.6","0.7","1.2","0.1","0.0","24.5","379.6","5.6"
"Los Angeles Chargers","","2.6","0.5","0.5","0.7","0.1","0.0","22.9","373.4","5.2"
"Baltimore Ravens","","1.8","0.7","0.5","0.7","0.1","0.0","23.0","357.4","5.0"
""
""
