,Player,Position,Salary,DK_Points,DK_Value
105,Mecole Hardman,WR,4200,5.76,729.1666666666667
106,Olabisi Johnson,WR,4000,5.07,788.9546351084812
107,DeSean Jackson,WR,5200,6.3100000000000005,824.0887480190173
108,Greg Olsen,TE,3500,10.67,328.0224929709466
109,Zach Ertz,TE,4700,13.350000000000001,352.0599250936329
110,Darren Waller,TE,6300,16.299999999999997,386.50306748466267
111,Hunter Henry,TE,6000,14.66,409.2769440654843
112,Mike Gesicki,TE,2800,6.6899999999999995,418.5351270553065
113,Tyler Kroft,TE,2600,6.1499999999999995,422.76422764227647
114,Dallas Goedert,TE,3100,7.3100000000000005,424.0766073871409
115,Eric Ebron,TE,3600,8.399999999999999,428.57142857142867
116,T.J. Hockenson,TE,3700,8.59,430.73341094295694
117,Jack Doyle,TE,3000,6.83,439.2386530014641
118,Noah Fant,TE,3000,6.66,450.45045045045043
119,Travis Kelce,TE,6900,15.15,455.4455445544554
120,Cameron Brate,TE,3100,6.640000000000001,466.867469879518
121,Trey Burton,TE,2900,5.880000000000001,493.1972789115646
122,Jonnu Smith,TE,3800,7.6899999999999995,494.14824447334206
123,Ricky Seals-Jones,TE,2900,5.48,529.1970802919708
124,Jacob Hollister,TE,2900,5.119999999999999,566.4062500000001
125,Jimmy Graham,TE,4300,7.570000000000001,568.0317040951122
126,Kyle Rudolph,TE,3300,5.790000000000001,569.9481865284973
127,Ryan Griffin,TE,3400,5.26,646.3878326996198
128,Vance McDonald,TE,4100,6.18,663.4304207119742
129,Washington Redskins,DST,1800,6.300000000000001,285.71428571428567
130,Carolina Panthers,DST,2800,8.7,321.8390804597701
131,Miami Dolphins,DST,2700,7.6,355.2631578947369
132,Cleveland Browns,DST,3100,8.5,364.70588235294116
133,Kansas City Chiefs,DST,2200,5.999999999999999,366.66666666666674
134,Philadelphia Eagles,DST,3000,8.0,375.0
135,Los Angeles Chargers,DST,2000,5.199999999999999,384.61538461538464
136,Oakland Raiders,DST,2300,5.9,389.8305084745762
137,Denver Broncos,DST,2900,7.3999999999999995,391.89189189189193
138,Tennessee Titans,DST,2600,6.6000000000000005,393.9393939393939
139,New York Jets,DST,3500,8.4,416.66666666666663
140,Tampa Bay Buccaneers,DST,2100,5.0,420.0
141,Pittsburgh Steelers,DST,2400,5.7,421.05263157894734
142,Seattle Seahawks,DST,3600,8.2,439.0243902439025
143,Minnesota Vikings,DST,2700,6.100000000000001,442.62295081967204
144,Buffalo Bills,DST,3800,8.0,475.0
145,Detroit Lions,DST,2600,5.299999999999999,490.56603773584914
146,Chicago Bears,DST,2900,5.799999999999999,500.0000000000001
147,Indianapolis Colts,DST,2800,5.5,509.09090909090907
148,Green Bay Packers,DST,3400,6.200000000000001,548.3870967741934
