"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","18.8","83.9","0.7","5.9","49.9","0.3","0.2","18.9"
"Dalvin Cook","MIN","20.1","101.1","0.7","4.3","37.9","0.1","0.2","18.5"
"Ezekiel Elliott","DAL","21.3","96.1","0.7","3.5","30.0","0.1","0.2","17.1"
"Saquon Barkley","NYG","18.1","84.6","0.6","4.9","37.9","0.1","0.1","16.3"
"Nick Chubb","CLE","18.9","95.5","0.7","2.6","17.9","0.1","0.2","15.5"
"Leonard Fournette","JAC","19.5","78.6","0.6","4.3","33.8","0.1","0.1","15.0"
"Le'Veon Bell","NYJ","18.2","77.3","0.5","4.7","36.9","0.1","0.2","15.0"
"Aaron Jones","GB","13.3","63.7","0.7","3.8","31.5","0.2","0.1","14.5"
"Josh Jacobs","OAK","17.6","80.9","0.7","1.9","15.5","0.1","0.1","14.1"
"Derrick Henry","TEN","18.3","84.3","0.7","1.5","13.7","0.0","0.1","14.0"
"Chris Carson","SEA","18.8","77.5","0.6","3.0","22.0","0.2","0.2","14.0"
"Tevin Coleman","SF","16.1","73.8","0.7","2.3","18.4","0.1","0.1","13.8"
"Marlon Mack","IND","17.2","74.1","0.6","1.7","12.1","0.0","0.1","12.2"
"Phillip Lindsay","DEN","12.9","62.2","0.5","2.9","20.5","0.1","0.1","11.5"
"Sony Michel","NE","16.7","66.7","0.6","1.0","5.6","0.0","0.1","10.7"
"David Montgomery","CHI","14.9","60.3","0.5","2.1","16.0","0.0","0.1","10.5"
"Austin Ekeler","LAC","5.4","25.1","0.2","4.7","45.4","0.5","0.1","10.4"
"Jordan Howard","PHI","15.1","60.6","0.5","1.3","9.6","0.1","0.1","10.3"
"Melvin Gordon","LAC","13.0","52.9","0.4","2.6","21.3","0.1","0.1","10.1"
"James Conner","PIT","12.4","52.2","0.4","3.3","21.0","0.1","0.1","10.0"
"Mark Ingram","BAL","12.8","59.6","0.3","1.8","14.2","0.0","0.1","9.3"
"Frank Gore","BUF","13.7","58.0","0.4","1.2","10.1","0.0","0.1","9.0"
"Royce Freeman","DEN","11.1","48.3","0.3","3.2","22.4","0.0","0.1","9.0"
"Mark Walton","MIA","13.1","54.1","0.2","2.8","24.5","0.0","0.2","8.7"
"Adrian Peterson","WAS","15.9","63.7","0.2","1.3","8.4","0.0","0.2","8.3"
"James White","NE","3.4","13.5","0.1","5.0","41.6","0.4","0.1","8.2"
"Carlos Hyde","HOU","14.8","60.6","0.3","1.2","6.3","0.0","0.1","8.0"
"LeSean McCoy","KC","11.4","46.6","0.2","2.4","18.1","0.1","0.1","7.6"
"Jamaal Williams","GB","9.1","36.1","0.2","2.8","21.5","0.2","0.1","7.5"
"Kenyan Drake","ARI","9.1","39.1","0.1","3.1","24.0","0.1","0.1","7.3"
"Miles Sanders","PHI","8.6","36.6","0.1","2.7","24.0","0.1","0.1","7.2"
"Devin Singletary","BUF","7.2","31.8","0.2","2.8","23.2","0.1","0.1","6.8"
"Ronald Jones II","TB","10.4","41.3","0.2","1.3","12.5","0.0","0.1","6.7"
"Jaylen Samuels","PIT","7.8","32.4","0.1","2.7","19.8","0.1","0.1","6.2"
"Damien Williams","KC","7.0","26.0","0.2","2.3","18.8","0.1","0.1","6.2"
"Duke Johnson","HOU","4.8","22.5","0.1","3.1","29.0","0.1","0.1","6.0"
"Peyton Barber","TB","10.5","39.3","0.2","1.5","9.5","0.0","0.1","6.0"
"Ty Johnson","DET","8.8","35.9","0.1","1.9","14.4","0.0","0.1","5.7"
"Tarik Cohen","CHI","4.6","17.6","0.1","4.0","31.9","0.1","0.1","5.7"
"Matt Breida","SF","8.0","38.4","0.1","1.2","9.1","0.1","0.1","5.6"
"Alexander Mattison","MIN","8.4","34.6","0.1","0.9","5.3","0.0","0.1","4.6"
"Rex Burkhead","NE","4.6","17.7","0.1","2.1","16.9","0.1","0.1","4.2"
"Rashaad Penny","SEA","6.3","29.3","0.1","1.0","6.2","0.0","0.0","4.2"
"Zach Zenner","ARI","7.0","26.5","0.1","1.2","8.4","0.0","0.1","4.1"
"Kalen Ballage","MIA","6.6","21.3","0.2","1.6","9.9","0.0","0.1","4.0"
"DeAndre Washington","OAK","5.6","22.4","0.1","1.5","9.2","0.0","0.1","3.7"
"J.D. McKissic","DET","3.0","15.4","0.0","1.8","16.7","0.0","0.0","3.6"
"Nyheim Hines","IND","3.2","11.5","0.0","2.9","20.9","0.0","0.0","3.5"
"Tony Pollard","DAL","5.7","23.3","0.1","0.9","6.0","0.0","0.1","3.5"
"Gus Edwards","BAL","6.5","29.3","0.1","0.5","2.0","0.0","0.0","3.5"
"Raheem Mostert","SF","5.1","26.3","0.0","1.2","5.6","0.0","0.1","3.3"
"Wendell Smallwood","WAS","4.3","16.9","0.0","1.7","12.2","0.0","0.0","3.2"
"Dontrell Hilliard","CLE","3.0","12.2","0.1","1.5","11.1","0.0","0.0","3.1"
"Dion Lewis","TEN","3.8","15.5","0.0","2.1","13.2","0.0","0.1","3.0"
"Dare Ogunbowale","TB","2.1","7.6","0.0","2.5","18.0","0.0","0.0","2.7"
"Jalen Richard","OAK","2.2","10.0","0.0","1.8","14.0","0.0","0.1","2.5"
"Jordan Wilkins","IND","4.1","17.9","0.1","0.6","3.0","0.0","0.1","2.4"
"Ty Montgomery","NYJ","3.5","12.9","0.0","1.1","7.5","0.0","0.1","2.2"
"Justice Hill","BAL","3.6","15.7","0.0","0.8","4.9","0.0","0.1","2.2"
"Trey Edmunds","PIT","3.8","13.3","0.1","0.8","4.3","0.0","0.0","2.1"
"Boston Scott","PHI","4.3","15.1","0.0","0.9","4.6","0.0","0.1","2.1"
"Ryquell Armstead","JAC","3.4","12.0","0.1","0.7","4.1","0.0","0.0","2.0"
"Darrel Williams","KC","3.4","12.2","0.0","0.9","5.9","0.0","0.0","2.0"
"Brandon Bolden","NE","2.3","8.5","0.1","0.9","5.3","0.0","0.0","1.8"
"Wayne Gallman","NYG","2.7","9.8","0.0","1.0","6.3","0.0","0.0","1.8"
"Jeff Wilson","SF","3.9","14.6","0.0","0.9","3.4","0.0","0.1","1.8"
"Bilal Powell","NYJ","3.1","11.2","0.0","0.9","5.2","0.0","0.0","1.7"
"Paul Perkins","DET","3.2","11.2","0.0","0.8","3.4","0.0","0.0","1.7"
"C.J. Prosise","SEA","2.2","7.1","0.0","1.0","5.9","0.0","0.0","1.5"
"Kerrith Whyte","CHI","1.9","7.3","0.1","0.2","2.0","0.0","0.0","1.5"
"Reggie Bonnafon","CAR","3.0","11.4","0.0","0.5","3.1","0.0","0.1","1.5"
"Mike Davis","CHI","2.4","8.1","0.0","0.9","4.9","0.0","0.0","1.3"
"Andy Janovich","DEN","1.2","3.9","0.0","1.0","7.3","0.0","0.0","1.3"
"CJ Ham","MIN","1.8","5.9","0.0","1.0","5.3","0.0","0.0","1.3"
"Justin Jackson","LAC","1.9","8.1","0.0","0.8","4.2","0.0","0.0","1.2"
"Darren Sproles","PHI","1.5","5.9","0.0","0.4","3.5","0.0","0.0","1.2"
"Patrick DiMarco","BUF","1.2","3.9","0.0","0.9","5.9","0.0","0.0","1.0"
"Dan Vitale","GB","0.9","3.0","0.0","0.9","7.1","0.0","0.0","1.0"
"Darwin Thompson","KC","2.0","6.6","0.0","0.7","2.7","0.0","0.0","1.0"
