,Player,Salary
0,T.Y. Hilton,6500
1,Cam Newton,5800
2,DJ Moore,4800
3,Joe Flacco,4700
4,Case Keenum,4600
5,Kenyan Drake,4500
6,Derrius Guice,4400
7,DeVante Parker,4400
8,David Blough,4400
9,Ronald Jones,4100
10,Chris Thompson,4000
11,Chris Herndon,4000
12,Nate Sudfeld,4000
13,Paxton Lynch,4000
14,Ben Roethlisberger,4000
15,Andrew Luck,4000
16,Chad Kelly,4000
17,Blaine Gabbert,4000
18,Delanie Walker,3900
19,Chad Beebe,3800
20,Benny Snell,3800
21,Duke Williams,3400
22,Vernon Davis,3400
23,Tra Carson,3300
24,O.J. Howard,3200
25,David Njoku,3200
26,Greg Dortch,3000
27,Darius Jennings,3000
28,C.J. Ham,3000
29,De'Anthony Thomas,3000
30,Josh Bellamy,3000
31,JJ Arcega-Whiteside,3000
32,Devin Funchess,3000
33,Isaiah Crowell,3000
34,Jalin Marshall,3000
35,Scotty Miller,3000
36,John Ursua,3000
37,Gary Jennings,3000
38,Kareem Hunt,3000
39,KhaDarel Hodge,3000
40,Danny Vitale,3000
41,Irv Smith,2700
42,Beau Brinkley,2500
43,James Winchester,2500
44,Nick O'Leary,2500
45,Bradley Sowell,2500
46,Patrick Scales,2500
47,Xavier Grimble,2500
48,Tyler Ott,2500
49,Jeff Heuerman,2500
50,Pharaoh Brown,2500
51,Rico Gathers,2500
52,Evan Baylis,2500
