,Player,Salary
0,George Kittle,7000
1,Adam Thielen,6800
2,T.Y. Hilton,6600
3,A.J. Green,6100
4,Matthew Stafford,6000
5,Devonta Freeman,5900
6,DJ Moore,5900
7,Will Fuller,5800
8,Austin Hooper,5600
9,Ronald Jones,5200
10,Matt Breida,5000
11,Chase Edmonds,4900
12,Alshon Jeffery,4800
13,DeVante Parker,4700
14,Jordan Howard,4700
15,Josh Dobbs,4000
16,Trace McSorley,4000
17,Blaine Gabbert,4000
18,C.J. Beathard,4000
19,Jake Dolegala,4000
20,DeShone Kizer,4000
21,Cody Kessler,4000
22,Nate Sudfeld,4000
23,Chris Thompson,3900
24,Paul Richardson,3800
25,Parris Campbell,3600
26,Duke Williams,3500
27,Chad Beebe,3500
28,Chris Herndon,3500
29,Darren Sproles,3300
30,Vernon Davis,3200
31,Irv Smith,3100
32,Greg Dortch,3000
33,Roc Thomas,3000
34,Steven Mitchell,3000
35,Jaleel Scott,3000
36,C.J. Ham,3000
37,Davion Davis,3000
38,Deonte Harris,3000
39,Scotty Miller,3000
40,Isaiah Crowell,3000
41,Stanley Morgan,3000
42,Jalin Marshall,3000
43,James Develin,3000
44,Matthew Slater,3000
45,JJ Arcega-Whiteside,3000
46,Ben Watson,2900
47,Matt Orzech,2500
48,Kyle Nelson,2500
49,Drew Sample,2500
50,Clark Harris,2500
