Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier
Phillip Lindsay,DEN,RB,4200.0,Phillip Lindsay (16006228) (LOCKED),6.27,7.700000000000001,13.230000000000002,22.58,6.65,11.93,20.58,7.6000000000000005,13.130000000000003,22.58,545.4545454545454,317.4603174603174,186.00531443755537,13,5,7,3,3,8
Ezekiel Elliott,DAL,RB,6700.0,Ezekiel Elliott (16006170) (LOCKED),15.69,15.09,20.419999999999998,27.75,13.389999999999999,17.53,22.990000000000002,14.889999999999999,19.53,25.340000000000003,444.0026507620941,328.1096963761019,241.44144144144144,4,2,8,4,2,6
Corey Clement,PHI,RB,4000.0,Corey Clement (16006238) (LOCKED),2.13,7.2,11.2,14.15,6.2,9.950000000000001,12.6,7.1,11.1,14.15,555.5555555555555,357.14285714285717,282.6855123674912,15,6,9,5,5,11
Kareem Hunt,CLE,RB,5900.0,Kareem Hunt (16006190) (LOCKED),14.43,12.280000000000001,16.31,23.024999999999995,11.180000000000001,14.91,20.529999999999998,12.180000000000001,16.21,22.529999999999998,480.4560260586319,361.7412630288167,256.2432138979371,8,4,10,5,4,9
Lamar Miller,WAS,RB,4000.0,Lamar Miller (16006348) (LOCKED),2.6,7.3,10.57,13.98,6.1000000000000005,9.47,12.780000000000001,7.0,10.47,13.98,547.945205479452,378.4295175023652,286.1230329041488,16,6,11,5,5,11
David Johnson,HOU,RB,6100.0,David Johnson (16006186) (LOCKED),15.04,12.770000000000001,16.11,21.09,11.07,14.210000000000003,19.04,12.57,16.01,20.990000000000002,477.6820673453406,378.64680322780885,289.23660502607873,9,4,12,5,4,9
Nyheim Hines,IND,RB,5000.0,Nyheim Hines (16006206) (LOCKED),12.1,9.14,13.110000000000001,21.1,7.14,10.71,18.1,9.040000000000001,13.010000000000002,21.1,547.0459518599562,381.3882532418001,236.96682464454975,14,5,13,5,5,10
Tarik Cohen,CHI,RB,4000.0,Tarik Cohen (16006274) (LOCKED),5.83,7.65,10.440000000000001,14.370000000000001,6.05,8.590000000000002,12.220000000000002,7.55,10.340000000000002,14.370000000000001,522.875816993464,383.14176245210723,278.357689631176,17,6,14,5,5,11
Carlos Hyde,SEA,RB,5300.0,Carlos Hyde (16006202) (LOCKED),8.49,10.66,13.530000000000001,18.3,9.959999999999999,12.630000000000003,17.1,10.459999999999999,13.430000000000001,18.3,497.1857410881801,391.7220990391722,289.6174863387978,11,5,15,5,5,10
Alfred Morris,NYG,RB,4000.0,Alfred Morris (16006292) (LOCKED),4.94,6.280000000000001,9.610000000000001,15.3,5.680000000000001,8.860000000000001,14.5,6.180000000000001,9.510000000000002,15.3,636.9426751592356,416.23309053069715,261.437908496732,18,7,16,6,6,13
Chris Carson,SEA,RB,6400.0,Chris Carson (16006178) (LOCKED),16.14,11.1,14.330000000000002,19.26,9.950000000000001,13.230000000000002,18.060000000000002,10.8,14.230000000000002,19.26,576.5765765765766,446.61549197487784,332.29491173416403,10,5,17,6,5,11
Christian McCaffrey,CAR,RB,9200.0,Christian McCaffrey (16006156) (LOCKED),30.13,15.129999999999999,20.29,26.130000000000003,12.38,17.44,23.130000000000003,14.83,20.19,26.130000000000003,608.0634500991408,453.4253326761952,352.0857252200535,5,2,18,6,2,8
Ito Smith,ATL,RB,4000.0,Ito Smith (16006322) (LOCKED),4.21,4.4,8.3,10.86,3.8,7.349999999999999,9.810000000000002,4.3,8.200000000000001,10.86,909.090909090909,481.92771084337346,368.3241252302026,19,8,19,7,7,15
Marlon Mack,IND,RB,4000.0,Marlon Mack (16006336) (LOCKED),8.6,4.600000000000001,7.690000000000001,10.3,4.000000000000001,6.69,8.85,4.500000000000001,7.590000000000001,10.3,869.565217391304,520.1560468140441,388.34951456310677,20,8,20,8,8,16
