,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Travis Kelce,KC,7.0,5.7,6.2,82.9,67.2,77.1,1.0,0.5,0.7,0.0,0.1,0.0,14.0,10.4,11.6,6,TE
1,Rob Gronkowski,TB,5.2,4.0,4.8,74.0,55.0,66.3,1.0,0.3,0.6,0.0,0.1,0.0,11.5,8.8,10.4,6,TE
2,Zach Ertz,PHI,8.0,5.5,6.5,80.0,60.1,71.5,1.0,0.4,0.5,0.0,0.1,0.0,14.0,8.7,10.4,6,TE
3,Eric Ebron,PIT,5.0,4.3,4.7,60.0,49.1,54.7,1.0,0.4,0.6,0.0,0.0,0.0,12.0,7.8,9.0,6,TE
4,Jordan Reed,SF,7.0,4.5,5.4,67.1,48.5,55.9,1.0,0.4,0.5,0.0,0.3,0.1,12.0,7.3,8.6,6,TE
5,George Kittle,SF,6.0,3.8,4.6,65.0,46.5,55.0,1.0,0.2,0.4,0.0,0.1,0.0,12.5,6.6,8.1,6,TE
6,Jimmy Graham,CHI,4.7,3.5,4.1,50.3,41.0,46.6,1.0,0.4,0.6,0.0,0.1,0.0,11.0,7.1,8.1,6,TE
7,David Njoku,CLE,5.0,3.7,4.2,60.0,41.9,49.8,1.0,0.2,0.4,0.0,0.0,0.0,12.0,5.4,7.5,6,TE
8,Kyle Rudolph,MIN,4.7,3.3,4.0,52.1,32.4,43.0,0.4,0.0,0.3,0.0,0.0,0.0,6.9,5.0,6.1,6,TE
9,Trey Burton,IND,4.0,3.1,3.5,48.1,36.6,42.0,0.4,0.0,0.3,0.0,0.0,0.0,6.6,4.5,5.8,6,TE
10,CJ Uzomah,CIN,3.4,2.5,3.0,38.0,27.1,32.9,1.0,0.2,0.4,0.0,0.0,0.0,9.5,4.0,5.7,6,TE
11,Austin Hooper,CLE,4.2,3.0,3.6,44.0,35.0,39.2,0.4,0.0,0.3,0.0,0.1,0.0,6.6,3.5,5.6,6,TE
12,Greg Olsen,SEA,4.1,3.0,3.5,51.3,35.0,42.5,0.3,0.0,0.2,0.0,0.0,0.0,6.9,3.5,5.4,6,TE
13,Cameron Brate,TB,4.0,1.8,2.5,40.0,21.0,28.1,1.0,0.3,0.4,0.0,0.1,0.0,10.0,3.7,5.3,6,TE
14,Vance McDonald,PIT,4.0,2.6,3.1,48.0,30.3,38.5,0.2,0.0,0.2,0.0,0.1,0.0,6.0,4.0,4.8,6,TE
15,OJ Howard,TB,2.7,2.0,2.4,49.3,25.0,33.9,0.3,0.0,0.2,0.0,0.1,0.1,6.1,2.5,4.6,6,TE
16,Ricky Seals-Jones,KC,3.0,1.7,2.5,41.0,18.5,31.4,0.3,0.0,0.2,0.0,0.1,0.0,5.6,2.8,4.1,6,TE
17,Geoff Swaim,TEN,3.2,2.4,2.8,33.0,26.0,29.4,0.2,0.0,0.1,0.0,0.1,0.0,4.4,3.0,3.7,6,TE
18,Ryan Griffin,NYJ,3.0,1.7,2.3,30.0,20.3,25.1,0.2,0.0,0.1,0.0,0.0,0.0,3.6,2.3,3.2,6,TE
19,Dallas Goedert,PHI,2.8,1.4,2.0,27.2,15.0,21.3,0.3,0.0,0.1,0.0,0.0,0.0,4.5,2.1,2.9,6,TE
20,Hayden Hurst,ATL,3.5,1.0,2.2,32.5,10.0,22.1,0.2,0.0,0.1,0.0,0.0,0.0,4.5,1.0,2.8,6,TE
21,Darrell Daniels,ARI,2.0,1.1,1.6,19.2,13.0,17.1,0.2,0.1,0.2,0.0,0.0,0.0,3.1,1.6,2.6,6,TE
22,Mike Gesicki,MIA,2.5,1.5,2.1,26.6,13.5,20.6,0.2,0.0,0.1,0.0,0.0,0.0,3.9,1.9,2.6,6,TE
23,James O'Shaughnessy,JAC,2.4,0.2,1.5,25.0,2.7,16.6,0.2,0.0,0.1,0.0,0.0,0.0,3.4,0.3,2.3,6,TE
24,Jason Croom,PHI,2.1,0.3,1.4,25.0,2.8,15.5,0.3,0.0,0.1,0.0,0.1,0.0,3.6,0.4,2.2,6,TE
25,Jonnu Smith,TEN,2.0,1.2,1.7,20.1,10.7,16.5,0.2,0.0,0.1,0.0,0.0,0.0,3.2,1.4,2.2,6,TE
26,Virgil Green,LAC,2.0,1.3,1.6,18.0,13.0,15.8,0.2,0.0,0.1,0.0,0.0,0.0,3.1,1.5,2.2,6,TE
27,Mark Andrews,BAL,1.3,1.1,1.3,15.4,11.1,14.0,0.3,0.1,0.1,0.0,0.1,0.0,3.0,1.7,2.2,6,TE
28,Gerald Everett,LAR,2.0,0.8,1.3,25.0,10.0,15.0,0.2,0.0,0.1,0.0,0.1,0.0,2.9,1.5,2.1,6,TE
29,Darren Fells,HOU,1.4,0.7,1.0,18.7,8.3,12.5,0.2,0.1,0.1,0.0,0.1,0.0,3.2,1.4,2.0,6,TE
30,Jordan Akins,HOU,1.3,0.9,1.2,15.6,9.4,12.3,0.2,0.0,0.1,0.0,0.0,0.0,2.6,1.0,1.8,6,TE
31,Nick Boyle,BAL,2.0,0.5,1.5,20.0,4.4,14.0,0.1,0.0,0.1,0.0,0.0,0.0,2.5,0.4,1.8,6,TE
32,Demetrius Harris,CHI,1.4,0.9,1.1,16.7,10.0,12.6,0.2,0.0,0.1,0.0,0.1,0.0,2.9,1.0,1.8,6,TE
33,Tyler Higbee,LAR,1.5,0.7,1.1,18.1,7.6,13.2,0.2,0.0,0.1,0.0,0.1,0.0,2.7,1.0,1.8,6,TE
34,Chris Herndon,NYJ,1.8,0.6,1.0,19.3,5.0,10.5,0.2,0.1,0.1,0.0,0.2,0.1,3.1,1.1,1.7,6,TE
35,Seth DeValve,ARI,1.4,0.6,0.9,16.5,8.0,11.6,0.1,0.0,0.1,0.0,0.1,0.0,2.5,1.1,1.6,6,TE
36,Jordan Leggett,DEN,1.2,0.9,1.0,11.6,9.6,10.4,0.2,0.0,0.1,0.0,0.1,0.0,2.3,1.0,1.5,6,TE
37,Luke Stocker,ATL,1.5,0.3,1.0,16.0,3.1,10.6,0.1,0.0,0.1,0.0,0.1,0.0,2.3,0.3,1.4,6,TE
38,Maxx Williams,ARI,2.0,0.9,1.3,20.0,8.0,11.9,0.1,0.0,0.0,0.0,0.1,0.0,2.0,0.9,1.4,6,TE
39,Matt LaCosse,NE,1.4,0.3,0.9,15.4,3.9,9.4,0.1,0.1,0.1,0.0,0.1,0.0,2.1,0.7,1.4,6,TE
40,Ian Thomas,CAR,1.5,0.4,1.0,14.5,4.4,9.9,0.1,0.0,0.1,0.0,0.0,0.0,1.9,0.4,1.3,6,TE
41,Eric Tomlinson,BAL,1.2,0.3,0.8,15.0,3.6,9.4,0.2,0.0,0.1,0.0,0.0,0.0,2.3,0.4,1.3,6,TE
42,Mason Schreck,CIN,1.2,0.2,0.8,12.8,2.6,8.8,0.1,0.0,0.1,0.0,0.0,0.0,1.9,0.3,1.3,6,TE
43,Blake Jarwin,DAL,1.3,0.4,0.9,12.3,4.5,9.0,0.1,0.0,0.0,0.0,0.0,0.0,1.8,0.5,1.1,6,TE
44,Derek Carrier,LV,0.9,0.6,0.8,8.3,5.0,7.3,0.1,0.0,0.1,0.0,0.2,0.1,1.4,0.6,1.0,6,TE
45,Logan Thomas,WAS,1.0,0.4,0.7,9.8,4.8,7.4,0.1,0.0,0.0,0.0,0.0,0.0,1.6,0.7,0.9,6,TE
46,Jacob Hollister,SEA,0.8,0.3,0.5,8.0,3.1,5.3,0.1,0.0,0.1,0.0,0.1,0.0,1.3,0.3,0.8,6,TE
47,Eric Saubert,JAC,1.1,0.2,0.5,10.0,2.6,5.1,0.1,0.0,0.0,0.0,0.0,0.0,1.8,0.3,0.7,6,TE
48,Antony Auclair,TB,0.6,0.2,0.4,6.7,2.6,4.1,0.1,0.0,0.0,0.0,0.0,0.0,1.1,0.3,0.5,6,TE
49,Marcedes Lewis,GB,0.4,0.0,0.2,4.5,0.0,2.2,0.1,0.0,0.1,0.0,0.0,0.0,1.1,0.0,0.5,6,TE
50,Jeremy Sprinkle,WAS,0.4,0.2,0.3,3.9,2.3,3.1,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.5,6,TE
51,Durham Smythe,MIA,0.6,0.2,0.4,7.0,1.5,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.4,6,TE
52,Josh Perkins,PHI,0.5,0.2,0.4,5.0,2.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.4,6,TE
53,Chris Manhertz,CAR,0.3,0.2,0.3,3.2,2.2,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.4,6,TE
54,Mo Alie-Cox,IND,0.3,0.3,0.3,3.4,2.8,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.4,6,TE
55,Tyler Conklin,MIN,0.4,0.2,0.3,3.4,2.6,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.3,6,TE
56,MyCole Pruitt,TEN,0.5,0.0,0.3,5.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,6,TE
57,Sean Culkin,BAL,0.3,0.3,0.3,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,6,TE
58,Lee Smith,BUF,0.5,0.0,0.3,5.2,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,6,TE
59,Xavier Grimble,BAL,0.4,0.1,0.2,4.0,1.4,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.3,6,TE
60,Daniel Brown,NYJ,0.3,0.0,0.1,3.3,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,6,TE
61,Dalton Schultz,DAL,0.2,0.2,0.2,1.7,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,6,TE
62,Marcus Baugh,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,TE
