,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
96,Ty Montgomery,NE,22.0,9.0,17.6,94.4,33.0,71.5,0.8,0.0,0.3,21.6,6.0,14.5,173.5,45.0,113.2,0.8,0.0,0.3,0.2,0.2,0.2,36.4,13.2,21.4,draft,2022,RB
97,DeeJay Dallas,SEA,23.0,6.7,17.6,132.9,26.5,83.1,1.4,0.0,0.6,18.0,3.0,10.7,115.0,20.0,72.2,1.0,0.0,0.4,0.1,0.2,0.1,34.1,7.2,21.4,draft,2022,RB
98,Dare Ogunbowale,HOU,8.7,6.9,7.9,235.7,28.9,82.5,1.4,0.0,0.5,21.1,4.0,10.4,179.8,33.0,83.9,0.8,0.0,0.3,0.1,0.1,0.1,54.4,11.8,21.1,draft,2022,RB
99,Myles Gaskin,MIA,29.0,11.4,20.5,237.1,45.1,111.2,1.3,0.0,0.6,16.2,2.1,8.8,84.6,12.8,55.3,0.4,0.0,0.1,0.1,0.5,0.3,40.3,8.1,20.5,draft,2022,RB
100,Giovani Bernard,TB,28.3,0.0,16.1,114.4,0.0,69.5,0.8,0.0,0.4,16.0,0.0,9.6,121.0,0.0,70.2,1.0,0.0,0.5,0.1,0.1,0.1,30.2,20.7,19.3,draft,2022,RB
101,Qadree Ollison,ATL,18.0,9.0,12.6,243.6,42.6,101.6,2.3,0.0,0.8,8.9,0.0,5.5,56.3,0.0,36.7,0.3,0.0,0.2,0.1,0.6,0.3,44.5,13.0,19.1,draft,2022,RB
102,Tony Jones,NO,40.0,16.9,28.3,147.0,66.1,113.7,1.0,0.0,0.5,7.0,3.8,5.3,46.0,31.4,37.1,0.2,0.0,0.1,0.0,0.0,0.0,22.2,13.2,18.2,draft,2022,RB
103,Gary Brightwell,NYG,34.0,4.5,22.7,133.0,17.9,87.1,1.0,0.2,0.7,7.0,4.3,5.9,54.0,28.5,44.9,0.2,0.0,0.1,0.1,0.1,0.1,24.7,6.3,17.8,draft,2022,RB
104,Trey Sermon,SF,42.0,9.3,20.5,173.0,39.4,91.4,2.0,0.3,0.8,11.0,1.7,4.8,74.0,11.8,31.5,0.2,0.0,0.1,0.0,0.1,0.1,17.6,7.3,17.7,draft,2022,RB
105,JaMycal Hasty,SF,24.0,5.1,15.0,96.0,20.3,63.1,1.0,0.2,0.7,13.0,3.8,8.3,85.0,24.0,55.7,0.2,0.0,0.1,0.0,0.0,0.0,24.1,6.5,16.6,draft,2022,RB
106,Trestan Ebner,CHI,15.5,0.0,7.8,142.4,0.0,69.3,1.1,0.0,0.5,14.1,0.0,6.6,111.1,0.0,50.9,0.5,0.0,0.2,0.1,0.1,0.1,34.4,15.0,16.4,draft,2022,RB
107,Tory Carter,TEN,19.0,0.0,9.5,89.0,0.0,44.5,1.0,0.0,0.5,10.0,3.9,6.9,71.0,28.4,49.7,1.0,0.2,0.6,0.0,0.0,0.0,28.0,4.0,15.9,draft,2022,RB
108,Jaret Patterson,WAS,9.6,0.0,6.0,278.2,0.0,88.1,2.0,0.0,0.6,9.4,0.0,4.3,49.0,0.0,26.5,0.3,0.0,0.2,0.1,0.2,0.1,45.9,8.8,15.9,draft,2022,RB
109,Jaylen Warren,PIT,9.0,7.4,8.2,190.7,30.7,85.1,1.8,0.0,0.7,9.2,0.0,3.8,67.4,0.0,27.3,0.4,0.0,0.1,0.0,0.3,0.2,38.2,6.0,15.7,draft,2022,RB
110,Keaontay Ingram,ARI,34.0,12.2,25.1,139.0,50.4,102.8,1.0,0.0,0.5,4.0,2.2,3.1,39.0,15.8,25.6,0.1,0.0,0.0,0.0,0.1,0.0,23.8,9.3,15.7,draft,2022,RB
111,Kene Nwangwu,MIN,37.0,8.8,21.5,147.0,35.5,84.3,1.0,0.2,0.6,4.8,2.0,3.9,31.1,16.0,24.8,0.2,0.0,0.1,0.1,0.1,0.1,16.4,9.0,15.3,draft,2022,RB
112,Kyren Williams,LAR,19.0,12.0,15.7,83.0,51.0,66.9,1.0,0.6,0.9,7.0,2.0,3.7,55.0,15.0,28.4,0.1,0.0,0.0,0.1,0.1,0.1,19.8,12.0,14.7,draft,2022,RB
113,Demetric Felton,CLE,8.0,0.0,3.6,68.6,0.0,25.0,0.4,0.0,0.1,20.4,0.0,9.4,170.0,0.0,86.0,2.0,0.0,0.6,0.0,1.0,0.4,31.9,0.0,14.6,draft,2022,RB
114,Mike Boone,DEN,31.0,4.7,14.0,189.0,19.5,75.0,2.0,0.0,0.7,4.4,2.0,3.5,31.6,16.0,25.3,0.2,0.0,0.1,0.0,0.1,0.0,32.5,7.2,14.5,draft,2022,RB
115,Darwin Thompson,SEA,0.0,0.0,0.0,75.6,75.6,75.6,0.6,0.6,0.6,3.8,3.8,3.8,28.8,28.8,28.8,0.2,0.2,0.2,0.1,0.1,0.1,15.1,15.1,14.5,draft,2022,RB
116,Darrynton Evans,CHI,39.0,4.9,18.5,170.0,19.6,79.9,1.0,0.2,0.5,6.0,1.9,3.8,42.0,13.5,28.0,0.2,0.0,0.1,0.1,0.1,0.1,9.2,6.5,14.4,draft,2022,RB
117,Abram Smith,NO,20.6,20.6,20.6,85.3,85.3,85.3,0.6,0.6,0.6,1.9,1.9,1.9,13.8,13.8,13.8,0.1,0.1,0.1,0.1,0.1,0.1,13.9,13.9,13.9,draft,2022,RB
118,Jerome Ford,CLE,32.0,2.1,17.0,161.0,8.5,84.8,1.0,0.1,0.5,4.0,0.0,2.0,36.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,1.2,13.4,draft,2022,RB
119,Tyler Badie,BAL,38.0,11.6,20.9,196.0,28.4,81.9,1.0,0.0,0.4,3.3,2.0,2.7,22.2,18.0,20.1,0.1,0.0,0.1,0.0,0.1,0.0,27.4,7.0,12.9,draft,2022,RB
120,Patrick Ricard,BAL,5.1,0.0,2.7,20.6,0.0,7.0,0.2,0.0,0.1,21.0,3.9,10.2,144.0,28.2,68.9,2.0,0.2,0.7,0.0,0.0,0.0,26.8,6.8,12.3,draft,2022,RB
121,Royce Freeman,HOU,15.2,15.2,15.2,61.9,61.9,61.9,0.4,0.4,0.4,4.3,4.3,4.3,27.8,27.8,27.8,0.2,0.2,0.2,0.0,0.0,0.0,11.8,11.8,12.1,draft,2022,RB
122,Snoop Conner,JAC,22.7,17.0,19.9,95.1,40.6,67.2,0.7,0.0,0.4,6.3,1.9,3.7,46.5,12.5,26.0,0.2,0.0,0.1,0.1,0.1,0.1,19.7,7.8,11.9,draft,2022,RB
123,Dwayne Washington,NO,28.8,4.8,16.8,125.0,0.1,48.0,0.8,0.0,0.3,5.6,3.8,4.7,45.3,31.2,39.0,0.2,0.2,0.2,0.0,0.1,0.1,22.6,5.9,11.8,draft,2022,RB
124,CJ Ham,MIN,8.8,2.1,5.5,35.1,2.1,15.3,0.2,0.1,0.1,16.5,4.3,9.8,114.5,32.6,70.5,0.6,0.2,0.4,0.0,0.1,0.0,16.0,9.3,11.7,draft,2022,RB
125,Ty'Son Williams,IND,36.0,0.0,13.6,182.0,0.0,64.8,1.0,0.0,0.4,4.0,0.0,2.5,30.4,0.0,20.6,0.2,0.0,0.1,0.0,0.0,0.0,27.1,7.0,11.3,draft,2022,RB
126,Rico Dowdle,DAL,20.9,0.0,13.3,89.8,0.0,56.3,0.7,0.0,0.3,6.7,0.0,3.9,48.8,0.0,30.5,0.3,0.0,0.1,0.1,0.1,0.1,19.8,0.0,11.1,draft,2022,RB
127,Jake Funk,LAR,20.2,0.0,9.6,86.0,0.0,49.9,0.7,0.0,0.4,5.6,0.0,3.0,39.2,0.0,21.8,0.3,0.0,0.1,0.1,0.1,0.1,16.7,9.8,10.2,draft,2022,RB
128,Trenton Cannon,TEN,10.4,10.4,10.4,41.2,0.8,21.0,0.2,0.0,0.1,7.7,4.2,5.9,57.4,45.7,51.5,0.3,0.3,0.3,0.0,0.0,0.0,13.4,7.2,9.8,draft,2022,RB
129,Keith Smith,ATL,8.6,7.7,8.1,34.0,7.0,24.2,0.3,0.1,0.2,8.1,5.0,6.9,57.5,26.9,44.9,0.3,0.3,0.3,0.0,0.1,0.1,11.6,5.4,9.5,draft,2022,RB
130,Antonio Williams,NYG,30.0,0.0,11.2,151.0,0.0,53.9,1.0,0.0,0.4,4.2,0.0,1.8,29.8,0.0,14.2,0.2,0.0,0.0,0.0,0.1,0.0,23.8,0.0,9.3,draft,2022,RB
131,Ty Chandler,MIN,28.0,3.9,16.0,105.0,16.4,60.7,0.1,0.0,0.1,8.0,0.0,4.0,53.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,9.1,draft,2022,RB
132,Justice Hill,BAL,16.0,2.6,9.6,72.0,11.3,41.5,1.0,0.1,0.4,3.9,0.4,2.5,29.5,3.3,17.9,0.2,0.0,0.1,0.0,0.0,0.0,9.7,2.1,9.0,draft,2022,RB
133,Kylin Hill,GB,13.0,3.7,8.7,50.0,16.1,34.4,0.2,0.0,0.1,9.0,2.0,5.1,67.0,15.0,37.8,0.2,0.0,0.1,0.0,0.0,0.0,9.5,4.3,8.3,draft,2022,RB
134,Derrick Gore,KC,4.4,4.4,4.4,17.8,17.8,17.8,0.2,0.2,0.2,4.7,4.7,4.7,35.5,35.5,35.5,0.3,0.3,0.3,0.0,0.0,0.0,7.9,7.9,8.2,draft,2022,RB
135,Alec Ingold,MIA,4.5,4.0,4.3,18.1,7.3,14.1,0.2,0.1,0.1,7.2,4.3,5.3,61.1,30.1,41.1,0.4,0.2,0.3,0.0,0.1,0.0,9.5,6.6,7.9,draft,2022,RB
136,Larry Rountree,LAC,20.7,0.0,8.4,87.4,0.0,35.0,0.8,0.0,0.3,4.6,0.0,2.3,34.4,0.0,16.5,0.2,0.0,0.1,0.1,0.1,0.1,15.2,7.3,7.4,draft,2022,RB
137,Kevin Harris,NE,8.3,8.3,8.3,34.6,34.6,34.6,0.3,0.3,0.3,2.0,2.0,2.0,14.5,14.5,14.5,0.1,0.1,0.1,0.0,0.0,0.0,7.3,7.3,7.2,draft,2022,RB
138,Andrew Beck,DEN,4.7,4.7,4.7,18.8,18.8,18.8,0.2,0.2,0.2,4.4,4.4,4.4,33.0,33.0,33.0,0.2,0.2,0.2,0.0,0.0,0.0,7.2,7.2,7.2,draft,2022,RB
139,Jakob Johnson,LV,4.0,4.0,4.0,16.5,16.5,16.5,0.2,0.2,0.2,4.4,4.4,4.4,32.6,32.6,32.6,0.3,0.3,0.3,0.1,0.1,0.1,7.2,7.2,7.2,draft,2022,RB
140,Michael Burton,KC,7.1,4.4,5.8,42.8,17.4,30.0,0.4,0.2,0.3,4.6,0.0,2.6,33.5,0.0,14.8,0.3,0.0,0.2,0.0,0.0,0.0,8.8,4.9,7.2,draft,2022,RB
141,Giovanni Ricci,CAR,9.1,0.0,4.5,36.3,0.0,18.1,0.2,0.0,0.1,4.2,3.9,4.1,32.5,30.0,31.2,0.3,0.2,0.2,0.0,0.0,0.0,8.9,4.9,6.8,draft,2022,RB
