,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
86,Jeremy Sprinkle,DAL,14.0,1.9,8.1,137.0,19.2,78.9,1.0,0.2,0.7,0.0,0.0,0.0,19.7,3.1,11.9,draft,2022,TE
87,Ross Dwelley,SF,16.0,3.1,8.7,145.0,28.6,79.0,1.0,0.2,0.7,0.0,0.0,0.0,20.5,4.3,11.8,draft,2022,TE
88,Teagan Quitoriano,HOU,8.0,8.0,8.0,81.7,81.7,81.7,0.5,0.5,0.5,0.1,0.1,0.1,11.2,11.2,11.2,draft,2022,TE
89,Tre' McKitty,LAC,13.0,4.4,8.4,114.0,43.4,80.6,1.0,0.0,0.5,0.0,0.1,0.0,17.4,6.6,11.2,draft,2022,TE
90,Johnny Mundt,MIN,9.0,4.1,6.9,94.0,38.3,70.4,1.0,0.3,0.7,0.0,0.1,0.0,15.4,5.9,11.0,draft,2022,TE
91,Kevin Rader,PIT,13.0,4.2,8.6,99.0,39.5,69.2,1.0,0.3,0.7,0.0,0.0,0.0,15.9,5.8,10.9,draft,2022,TE
92,Sean McKeon,DAL,12.0,0.0,7.1,121.0,0.0,71.8,1.0,0.0,0.6,0.1,0.1,0.1,18.1,0.0,10.9,draft,2022,TE
93,Richard Rodgers,PHI,7.0,7.0,7.0,70.4,70.4,70.4,0.6,0.6,0.6,0.0,0.0,0.0,10.8,10.8,10.9,draft,2022,TE
94,Jesper Horsted,LV,6.9,6.9,6.9,74.3,74.3,74.3,0.5,0.5,0.5,0.0,0.0,0.0,10.7,10.7,10.6,draft,2022,TE
95,Grant Calcaterra,PHI,10.0,3.1,6.6,102.0,31.2,66.6,1.0,0.3,0.7,0.0,0.0,0.0,16.2,5.0,10.6,draft,2022,TE
96,Nick Muse,MIN,12.0,1.8,6.9,122.0,19.2,70.6,1.0,0.2,0.6,0.0,0.0,0.0,18.2,2.9,10.6,draft,2022,TE
