,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Bills,3.1,1.8,2.4,1.8,0.7,1.3,0.8,0.6,0.6,1.1,0.9,1.0,0.3,0.2,0.3,0.1,0.0,0.0,19.3,13.6,16.5,258.5,272.0,265.2,10.3,8.9,8.9,14,DST
1,Chargers,3.4,2.1,2.8,1.5,0.7,1.1,0.8,0.4,0.6,0.7,0.6,0.7,0.3,0.2,0.3,0.1,0.0,0.0,20.3,16.3,18.4,310.0,352.7,331.3,11.4,7.2,8.8,14,DST
2,Saints,3.6,2.3,2.9,1.6,1.2,1.4,0.9,0.6,0.8,1.3,1.0,1.2,0.4,0.2,0.2,0.0,0.0,0.0,23.9,19.9,22.0,378.3,407.0,392.7,10.1,7.9,8.7,14,DST
3,Titans,3.8,2.1,2.9,1.2,0.6,0.9,0.9,0.5,0.7,1.2,0.7,1.0,0.3,0.2,0.2,0.1,0.0,0.0,22.9,16.0,18.6,334.0,373.8,353.9,10.4,7.3,8.7,14,DST
4,Steelers,3.8,2.7,3.2,1.1,0.5,0.7,0.9,0.5,0.7,1.3,0.8,1.1,0.3,0.2,0.2,0.0,0.0,0.0,20.5,18.8,19.6,314.0,337.3,325.6,9.3,6.3,8.4,14,DST
5,Lions,3.4,2.1,2.6,1.3,0.8,1.0,0.8,0.4,0.6,1.1,0.6,0.9,0.3,0.2,0.2,0.1,0.0,0.0,19.3,18.5,18.9,302.0,315.6,308.8,9.4,7.7,8.2,14,DST
6,Broncos,3.4,2.0,2.7,1.5,0.9,1.2,1.1,0.5,0.7,1.6,0.8,1.2,0.3,0.2,0.2,0.0,0.0,0.0,22.9,19.0,21.1,319.8,357.0,338.4,10.6,5.7,8.0,14,DST
7,Chiefs,3.6,1.4,2.7,1.3,1.0,1.2,1.0,0.7,0.8,1.2,1.1,1.2,0.3,0.2,0.2,0.0,0.0,0.0,24.0,21.3,22.6,361.2,370.0,365.6,10.1,7.3,8.0,14,DST
8,Seahawks,2.6,2.0,2.3,0.9,0.8,0.9,0.9,0.6,0.7,1.2,0.9,1.1,0.3,0.2,0.2,0.0,0.0,0.0,21.3,18.5,19.7,330.0,361.0,345.5,8.0,5.9,7.9,14,DST
9,Jets,3.0,2.0,2.3,1.2,0.8,1.0,0.6,0.5,0.6,0.9,0.8,0.9,0.3,0.2,0.2,0.0,0.0,0.0,21.0,18.2,19.8,295.0,310.3,302.7,8.7,6.3,7.7,14,DST
10,Panthers,3.4,2.5,2.9,1.0,0.9,0.9,0.8,0.6,0.6,1.1,0.9,1.0,0.3,0.2,0.2,0.1,0.0,0.1,26.6,23.0,24.4,363.7,370.0,366.8,8.4,6.5,7.6,14,DST
