"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Leonard Fournette","JAC","22.0","94.8","0.7","4.1","33.3","0.1","0.1","17.4"
"Dalvin Cook","MIN","19.1","95.6","0.7","3.8","34.7","0.1","0.2","17.3"
"Saquon Barkley","NYG","17.3","85.3","0.6","4.8","37.8","0.2","0.1","16.9"
"Ezekiel Elliott","DAL","20.5","87.7","0.7","3.4","28.7","0.1","0.2","15.9"
"David Johnson","ARI","13.7","54.6","0.5","5.5","49.7","0.2","0.1","14.8"
"Chris Carson","SEA","19.0","83.3","0.6","2.9","21.0","0.1","0.2","14.2"
"Phillip Lindsay","DEN","15.3","76.7","0.7","3.1","22.0","0.1","0.1","14.2"
"Derrick Henry","TEN","18.3","81.8","0.7","1.2","10.9","0.1","0.1","13.7"
"Le'Veon Bell","NYJ","16.3","67.2","0.5","4.7","36.3","0.1","0.1","13.5"
"Aaron Jones","GB","12.2","57.0","0.7","3.3","25.1","0.1","0.1","12.7"
"Marlon Mack","IND","17.1","73.4","0.7","1.7","12.7","0.0","0.1","12.5"
"Kerryon Johnson","DET","16.2","67.5","0.5","2.5","22.4","0.1","0.1","12.4"
"Josh Jacobs","OAK","15.4","69.6","0.6","1.7","14.2","0.1","0.1","12.3"
"Tevin Coleman","SF","13.7","62.4","0.6","2.3","18.0","0.1","0.1","12.1"
"Mark Ingram","BAL","13.6","63.2","0.6","2.3","17.4","0.0","0.1","11.8"
"Todd Gurley","LAR","14.2","57.3","0.6","2.7","21.1","0.1","0.1","11.6"
"Matt Breida","SF","12.5","65.3","0.4","2.5","19.5","0.1","0.1","11.3"
"Joe Mixon","CIN","14.4","62.5","0.5","2.4","19.0","0.1","0.1","11.1"
"Devonta Freeman","ATL","14.0","54.7","0.3","4.1","31.1","0.1","0.2","10.9"
"Melvin Gordon","LAC","14.7","59.9","0.3","3.2","25.7","0.1","0.1","10.7"
"David Montgomery","CHI","14.5","56.9","0.5","2.1","16.1","0.1","0.1","10.6"
"Frank Gore","BUF","15.4","68.0","0.4","1.3","11.1","0.1","0.1","10.6"
"Royce Freeman","DEN","12.6","57.8","0.3","3.6","22.5","0.0","0.1","10.1"
"Sony Michel","NE","16.7","67.9","0.4","1.3","9.6","0.0","0.1","9.9"
"Latavius Murray","NO","14.7","57.7","0.3","2.4","15.4","0.0","0.1","9.1"
"Carlos Hyde","HOU","15.3","64.1","0.3","1.3","6.9","0.0","0.1","8.6"
"Jordan Howard","PHI","13.5","55.9","0.3","1.1","8.4","0.0","0.1","8.3"
"Jamaal Williams","GB","10.1","40.5","0.2","2.9","24.9","0.2","0.1","8.3"
"Austin Ekeler","LAC","6.7","30.9","0.2","4.2","35.5","0.2","0.1","8.3"
"Devin Singletary","BUF","9.0","41.7","0.3","2.7","22.6","0.1","0.1","8.2"
"Kenyan Drake","MIA","8.7","38.4","0.1","3.4","32.5","0.1","0.1","8.2"
"Damien Williams","KC","8.5","33.5","0.3","2.5","21.4","0.2","0.1","7.8"
"Miles Sanders","PHI","8.9","38.4","0.2","3.1","27.2","0.1","0.1","7.8"
"James White","NE","4.1","16.9","0.1","5.1","43.3","0.2","0.1","7.7"
"Adrian Peterson","WAS","14.9","55.2","0.2","1.7","11.8","0.0","0.2","7.7"
"LeSean McCoy","KC","10.3","43.2","0.2","2.3","17.5","0.1","0.1","7.3"
"Chase Edmonds","ARI","6.4","31.2","0.2","2.1","16.2","0.3","0.1","7.3"
"Duke Johnson","HOU","5.2","25.1","0.1","2.8","25.5","0.1","0.1","5.8"
"Tarik Cohen","CHI","4.5","16.9","0.1","3.9","31.6","0.1","0.1","5.7"
"Darrell Henderson","LAR","7.0","31.6","0.2","1.4","9.8","0.0","0.1","5.2"
"Ito Smith","ATL","5.4","20.6","0.2","2.3","16.3","0.0","0.1","5.2"
"Rex Burkhead","NE","5.3","21.0","0.1","2.2","18.9","0.1","0.1","5.1"
"Malcolm Brown","LAR","8.1","33.0","0.2","0.8","5.0","0.0","0.1","4.8"
"Mark Walton","MIA","7.0","29.3","0.0","1.7","13.2","0.0","0.1","4.4"
"Giovani Bernard","CIN","5.4","21.4","0.1","2.3","19.5","0.0","0.1","4.4"
"Dion Lewis","TEN","5.3","21.5","0.0","2.7","16.8","0.1","0.1","4.3"
"Alexander Mattison","MIN","7.5","31.1","0.1","0.8","5.3","0.0","0.1","4.2"
"Wendell Smallwood","WAS","5.2","19.7","0.1","2.5","17.9","0.0","0.1","4.1"
"Nyheim Hines","IND","3.6","13.0","0.0","3.2","22.2","0.0","0.0","4.0"
"Gus Edwards","BAL","6.7","31.9","0.1","0.7","3.9","0.0","0.0","3.9"
"Tony Pollard","DAL","5.8","22.4","0.1","1.0","7.5","0.0","0.1","3.4"
"Brandon Bolden","NE","3.1","14.8","0.2","1.1","8.0","0.0","0.0","3.3"
"J.D. McKissic","DET","3.4","16.8","0.1","1.2","9.9","0.0","0.0","3.3"
"DeAndre Washington","OAK","5.2","20.0","0.1","1.5","9.1","0.0","0.1","3.3"
"Justice Hill","BAL","4.8","21.4","0.1","1.2","7.7","0.0","0.1","3.3"
"Rashaad Penny","SEA","4.7","20.1","0.1","0.9","5.3","0.0","0.0","3.2"
"Raheem Mostert","SF","4.2","23.6","0.0","1.0","5.8","0.0","0.1","3.1"
"Jalen Richard","OAK","2.7","12.7","0.0","2.2","16.4","0.0","0.1","3.0"
"Darrel Williams","KC","4.2","16.0","0.0","1.4","9.6","0.0","0.1","2.9"
"T.J. Yeldon","BUF","3.1","13.0","0.1","1.2","9.1","0.0","0.0","2.8"
"Wayne Gallman","NYG","3.6","14.5","0.1","1.3","7.5","0.0","0.0","2.7"
"Ryquell Armstead","JAC","4.0","15.2","0.1","0.8","5.7","0.0","0.0","2.5"
"Kalen Ballage","MIA","4.6","15.6","0.1","0.7","5.7","0.0","0.1","2.5"
"C.J. Prosise","SEA","3.0","9.1","0.0","1.6","12.7","0.0","0.0","2.4"
"Jordan Wilkins","IND","3.6","19.6","0.0","0.5","2.4","0.0","0.1","2.4"
"Ty Montgomery","NYJ","3.2","12.3","0.0","1.2","8.6","0.0","0.1","2.3"
"John Kelly","LAR","5.1","17.3","0.0","1.6","5.3","0.0","0.0","2.2"
"Zach Zenner","NO","3.2","12.1","0.1","0.9","5.5","0.0","0.0","2.2"
"Ty Johnson","DET","3.5","13.3","0.0","1.2","7.4","0.0","0.1","2.1"
"Dwayne Washington","NO","3.4","11.0","0.0","1.1","4.2","0.0","0.0","1.7"
"Mike Davis","CHI","3.1","10.0","0.0","0.9","4.5","0.0","0.0","1.6"
"Kerrith Whyte","CHI","2.0","7.4","0.1","0.2","2.2","0.0","0.0","1.6"
"Boston Scott","PHI","2.7","10.5","0.0","0.6","2.6","0.0","0.0","1.6"
"Bilal Powell","NYJ","2.3","9.1","0.0","1.0","4.4","0.0","0.0","1.4"
"Jonathan Hilliman","NYG","3.5","10.9","0.0","1.2","3.3","0.0","0.0","1.4"
"Elijhaa Penny","NYG","1.9","7.5","0.0","0.4","2.6","0.0","0.0","1.2"
"Jeff Wilson","SF","2.0","6.3","0.1","0.5","2.2","0.0","0.0","1.2"
"Ameer Abdullah","MIN","2.2","8.0","0.0","0.6","3.6","0.0","0.0","1.2"
"Dan Vitale","GB","0.9","3.2","0.0","0.9","7.3","0.0","0.0","1.1"
"CJ Ham","MIN","0.5","2.9","0.0","0.9","7.6","0.0","0.0","1.1"
"Andy Janovich","DEN","0.5","2.3","0.0","0.7","5.5","0.0","0.0","1.0"
"Qadree Ollison","ATL","1.7","5.5","0.1","0.4","1.4","0.0","0.0","1.0"
"Devontae Booker","DEN","1.7","7.2","0.0","0.5","2.6","0.0","0.0","0.9"
"Zach Line","NO","0.7","3.6","0.0","0.5","3.4","0.0","0.0","0.9"
"Travis Homer","SEA","1.4","5.0","0.0","0.3","1.6","0.0","0.0","0.8"
"Javorius Allen","NYG","1.3","4.7","0.0","0.5","2.3","0.0","0.0","0.8"
"Dalyn Dawkins","TEN","1.7","6.3","0.0","0.3","0.9","0.0","0.0","0.8"
"Brian Hill","ATL","1.8","6.5","0.0","0.4","1.3","0.0","0.0","0.8"
"Anthony Sherman","KC","1.0","2.9","0.0","0.4","2.9","0.0","0.0","0.7"
"Tyler Ervin","JAC","1.3","3.9","0.0","0.9","3.9","0.0","0.0","0.7"
"Derek Watt","LAC","0.9","3.9","0.0","0.4","3.2","0.0","0.0","0.7"
"Trayveon Williams","CIN","1.7","5.2","0.0","0.6","2.2","0.0","0.0","0.7"
"Patrick DiMarco","BUF","1.0","3.3","0.0","0.7","3.7","0.0","0.0","0.7"
"Damien Harris","NE","1.7","5.3","0.0","0.5","1.8","0.0","0.0","0.7"
"Troymaine Pope","LAC","1.6","4.5","0.0","0.5","2.3","0.0","0.0","0.7"
"Mike Boone","MIN","1.3","5.7","0.0","0.3","1.1","0.0","0.0","0.7"
"Jamize Olawale","DAL","0.6","2.1","0.0","0.8","3.8","0.0","0.0","0.6"
"Devine Ozigbo","JAC","1.5","4.3","0.0","0.6","1.8","0.0","0.0","0.6"
"Tra Carson","DET","1.0","3.3","0.0","0.2","1.6","0.0","0.0","0.6"
"Patrick Ricard","BAL","0.0","0.0","0.0","0.5","2.8","0.0","0.0","0.5"
"Nick Bawden","DET","0.7","2.1","0.0","0.5","2.7","0.0","0.0","0.5"
"Buddy Howell","HOU","0.7","3.2","0.0","0.1","1.0","0.0","0.0","0.4"
"Michael Burton","WAS","0.8","2.0","0.0","0.3","2.0","0.0","0.0","0.4"
"Myles Gaskin","MIA","0.7","2.7","0.0","0.1","1.1","0.0","0.0","0.4"
"Samaje Perine","CIN","0.8","2.9","0.0","0.6","1.1","0.0","0.0","0.4"
"Keith Smith","ATL","0.7","2.4","0.0","0.3","0.9","0.0","0.0","0.3"
"Trenton Cannon","NYJ","0.5","1.3","0.0","0.4","2.1","0.0","0.0","0.3"
"Alec Ingold","OAK","0.8","2.5","0.0","0.2","0.8","0.0","0.0","0.3"
"Patrick Laird","MIA","0.6","2.0","0.0","0.1","1.0","0.0","0.0","0.3"
"Jonathan Williams","IND","0.6","2.3","0.0","0.0","0.3","0.0","0.0","0.3"
"Taiwan Jones","HOU","0.4","1.7","0.0","0.1","0.8","0.0","0.0","0.2"
"Kenjon Barner","ATL","0.6","1.4","0.0","0.5","0.8","0.0","0.0","0.2"
"Nick Bellore","SEA","0.0","0.4","0.0","0.1","1.5","0.0","0.0","0.2"
"Cullen Gillaspia","HOU","0.3","1.0","0.0","0.1","0.8","0.0","0.0","0.2"
"Rod Smith","TEN","0.2","0.8","0.0","0.0","0.3","0.0","0.0","0.2"
"Tavon Austin","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
