"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Buffalo Bills","","3.1","1.5","0.6","1.2","0.2","0.0","12.2","271.0","12.9"
"New England Patriots","","2.9","1.2","0.6","1.1","0.2","0.1","16.0","292.5","8.6"
"San Francisco 49ers","","2.7","1.1","0.7","1.4","0.2","0.0","15.0","269.9","8.4"
"Jacksonville Jaguars","","3.3","1.0","0.6","0.9","0.2","0.0","18.7","303.9","8.4"
"Los Angeles Chargers","","3.2","0.8","0.6","0.6","0.1","0.0","18.9","308.0","7.6"
"New Orleans Saints","","2.6","0.9","0.6","1.1","0.1","0.1","19.8","332.3","7.5"
"Minnesota Vikings","","2.8","0.8","0.6","0.8","0.1","0.0","19.1","309.5","7.4"
"Chicago Bears","","2.6","0.8","0.6","0.9","0.1","0.0","16.1","280.7","7.3"
"New York Giants","","3.2","1.0","0.6","0.7","0.1","0.0","23.0","364.0","7.2"
"Tennessee Titans","","2.5","0.8","0.5","0.8","0.1","0.0","18.7","343.5","7.0"
"Arizona Cardinals","","2.6","1.0","0.7","1.1","0.2","0.0","24.9","355.0","6.9"
"Indianapolis Colts","","3.0","0.8","0.7","1.1","0.1","0.0","22.6","365.1","6.7"
"Los Angeles Rams","","2.7","0.8","0.7","1.0","0.2","0.0","23.8","369.1","6.6"
"Green Bay Packers","","2.8","0.7","0.7","1.1","0.1","0.0","20.3","347.5","6.5"
"Kansas City Chiefs","","2.4","0.9","0.6","1.0","0.2","0.0","23.0","356.1","6.5"
"Seattle Seahawks","","2.4","0.8","0.7","1.3","0.1","0.0","22.5","387.0","6.4"
"Washington Redskins","","2.5","0.8","0.7","1.2","0.1","0.0","24.9","384.5","6.2"
"Detroit Lions","","2.3","0.7","0.8","1.5","0.1","0.1","21.5","360.5","6.2"
"Philadelphia Eagles","","2.6","0.8","0.6","0.9","0.1","0.0","24.0","375.5","6.2"
"Miami Dolphins","","2.3","0.9","0.5","0.7","0.1","0.0","27.0","378.0","6.1"
"Dallas Cowboys","","2.4","0.8","0.6","1.1","0.1","0.0","21.6","340.8","6.0"
"Baltimore Ravens","","2.7","0.7","0.6","0.9","0.1","0.0","24.8","355.9","6.0"
"Houston Texans","","2.3","0.7","0.6","1.1","0.1","0.0","22.5","333.2","5.8"
"Atlanta Falcons","","2.2","0.8","0.6","0.9","0.1","0.0","26.9","402.0","5.7"
"Cincinnati Bengals","","2.3","0.7","0.6","0.9","0.1","0.0","22.0","367.0","5.6"
"Denver Broncos","","2.2","0.7","0.6","0.9","0.1","0.0","25.1","386.9","5.6"
"Oakland Raiders","","2.3","0.6","0.6","1.0","0.1","0.0","24.6","363.1","5.3"
"New York Jets","","1.9","0.6","0.5","0.8","0.1","0.0","24.0","372.2","4.9"
""
""
