"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Robby Anderson","NYJ","2.5","37.1","0.1","0.1","0.4","0.0","0.1","4.4"
"Cole Beasley","DAL","3.3","34.0","0.2","0.0","0.0","0.0","0.0","4.4"
"Michael Gallup","DAL","2.5","35.9","0.1","0.0","0.0","0.0","0.0","4.4"
"Willie Snead","BAL","3.1","35.3","0.1","0.1","1.0","0.0","0.1","4.3"
"Seth Roberts","OAK","2.9","35.0","0.1","0.0","0.3","0.0","0.0","4.3"
"Trey Quinn","WAS","2.8","35.2","0.1","0.1","0.7","0.0","0.0","4.2"
"Leonte Carroo","MIA","1.9","28.2","0.2","0.1","1.1","0.0","0.0","4.2"
"Jamison Crowder","WAS","2.5","31.1","0.2","0.4","2.4","0.0","0.1","4.1"
"Marcell Ateman","OAK","2.6","34.2","0.1","0.0","0.2","0.0","0.0","4.1"
"Randall Cobb","GB","2.9","31.3","0.2","0.1","0.3","0.0","0.1","4.1"
"Tajae Sharpe","TEN","2.2","28.9","0.2","0.1","0.8","0.0","0.0","4.0"
"Rashard Higgins","CLE","2.2","31.1","0.1","0.0","0.0","0.0","0.0","3.9"
"Nelson Agholor","PHI","2.7","30.3","0.1","0.1","1.2","0.0","0.0","3.9"
"Keke Coutee","HOU","2.5","28.7","0.1","0.4","1.4","0.0","0.0","3.9"
"Equanimeous St. Brown","GB","2.3","29.9","0.1","0.1","0.5","0.0","0.0","3.8"
"Taywan Taylor","TEN","2.0","25.7","0.2","0.0","0.2","0.0","0.1","3.5"
"Keelan Cole","JAC","2.3","30.0","0.1","0.0","0.0","0.0","0.1","3.4"
"John Ross","CIN","1.8","23.7","0.2","0.1","0.6","0.0","0.0","3.4"
"Ryan Switzer","PIT","2.1","24.2","0.1","0.4","2.2","0.0","0.0","3.3"
"Robert Foster","BUF","1.6","26.8","0.1","0.0","0.1","0.0","0.0","3.3"
"Richie James","SF","2.0","27.4","0.1","0.0","0.2","0.0","0.0","3.3"
"Laquon Treadwell","MIN","2.4","25.9","0.1","0.0","0.0","0.0","0.0","3.1"
"DaeSean Hamilton","DEN","1.7","23.8","0.1","0.0","0.2","0.0","0.0","3.0"
"Chester Rogers","IND","2.1","22.6","0.1","0.0","0.0","0.0","0.0","2.9"
"Martavis Bryant","OAK","1.7","22.6","0.1","0.2","1.2","0.0","0.1","2.9"
"TJ Jones","DET","1.9","23.4","0.1","0.0","0.0","0.0","0.0","2.8"
"Travis Benjamin","LAC","1.5","21.3","0.1","0.4","2.5","0.0","0.1","2.8"
"Chris Hogan","NE","1.4","20.9","0.1","0.0","0.1","0.0","0.0","2.8"
"Torrey Smith","CAR","1.6","19.8","0.1","0.0","0.0","0.0","0.0","2.7"
"Ryan Grant","IND","1.8","20.1","0.1","0.0","0.0","0.0","0.0","2.6"
"Maurice Harris","WAS","2.0","21.9","0.1","0.1","0.3","0.0","0.0","2.6"
"Allen Hurns","DAL","1.5","19.8","0.1","0.0","0.0","0.0","0.0","2.6"
"Cam Batson","TEN","1.5","18.4","0.1","0.1","0.2","0.0","0.0","2.6"
"Demarcus Robinson","KC","1.4","18.6","0.1","0.0","0.0","0.0","0.1","2.5"
"Tim Patrick","DEN","1.3","17.8","0.1","0.0","0.5","0.0","0.0","2.5"
"Cordarrelle Patterson","NE","1.1","12.6","0.1","1.4","6.5","0.0","0.0","2.4"
"Andre Holmes","BUF","1.3","17.4","0.1","0.0","0.0","0.0","0.0","2.3"
"Justin Watson","TB","1.3","17.1","0.1","0.0","0.1","0.0","0.0","2.3"
"Keith Kirkwood","NO","1.4","17.8","0.1","0.0","0.2","0.0","0.0","2.2"
"Isaiah Ford","MIA","1.4","16.0","0.1","0.0","0.0","0.0","0.0","2.2"
"Breshad Perriman","CLE","1.5","18.2","0.1","0.1","0.1","0.0","0.0","2.2"
"Chad Williams","ARI","1.3","17.5","0.1","0.0","0.3","0.0","0.0","2.2"
"Aldrick Robinson","MIN","1.1","14.6","0.1","0.0","0.0","0.0","0.0","2.1"
"Jordan Matthews","PHI","1.1","15.2","0.1","0.0","0.0","0.0","0.0","1.9"
"Trent Taylor","SF","1.3","13.4","0.1","0.0","0.0","0.0","0.0","1.7"
"Jarius Wright","CAR","1.2","13.2","0.1","0.0","0.6","0.0","0.0","1.7"
"Brice Butler","MIA","0.8","12.0","0.1","0.0","0.0","0.0","0.1","1.7"
"Rashad Greene","JAC","1.1","13.5","0.1","0.0","0.0","0.0","0.1","1.6"
"Chris Moore","BAL","0.9","10.4","0.1","0.2","1.4","0.0","0.0","1.6"
"Damion Ratley","CLE","0.9","12.1","0.1","0.0","0.1","0.0","0.0","1.5"
"James Washington","PIT","0.8","10.1","0.1","0.0","0.0","0.0","0.0","1.4"
"J.J. Nelson","ARI","1.0","11.6","0.0","0.1","0.7","0.0","0.0","1.4"
"Austin Carr","NO","0.8","9.7","0.1","0.0","0.0","0.0","0.0","1.3"
"Isaiah McKenzie","BUF","0.7","9.1","0.0","0.5","3.9","0.0","0.1","1.2"
"Darius Jennings","TEN","0.7","9.5","0.0","0.0","0.1","0.0","0.0","1.2"
"Alex Erickson","CIN","0.8","9.6","0.0","0.1","0.4","0.0","0.0","1.2"
"Trent Sherfield","ARI","0.7","9.5","0.0","0.0","0.0","0.0","0.0","1.1"
"Andy Jones","DET","0.7","9.1","0.0","0.0","0.0","0.0","0.0","1.1"
"Jaron Brown","SEA","0.4","6.1","0.1","0.0","0.0","0.0","0.0","1.1"
"Bennie Fowler","NYG","0.7","8.6","0.0","0.0","0.0","0.0","0.0","1.1"
"Dwayne Harris","OAK","0.7","8.1","0.0","0.1","1.0","0.0","0.0","1.1"
"Corey Coleman","NYG","0.7","9.4","0.0","0.0","0.0","0.0","0.0","1.0"
"Rishard Matthews","NYJ","0.5","6.5","0.1","0.0","0.0","0.0","0.0","0.9"
"Josh Bellamy","CHI","0.6","7.9","0.0","0.0","0.2","0.0","0.0","0.9"
"Marvin Hall","ATL","0.7","8.2","0.0","0.0","0.1","0.0","0.0","0.9"
"Justin Hardy","ATL","0.6","7.1","0.0","0.0","0.0","0.0","0.0","0.9"
