,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Cam Newton,Spencer Ware,Christian McCaffrey,Chris Godwin,Adam Thielen,Adam Humphries,Eric Ebron,Odell Beckham Jr.,Carolina Panthers,163.28400000000002,50000
1,Cam Newton,Spencer Ware,Saquon Barkley,Chris Godwin,Adam Thielen,Adam Humphries,Eric Ebron,DeAndre Hopkins,Carolina Panthers,163.014,49500
2,Cam Newton,Spencer Ware,Todd Gurley,Chris Godwin,Adam Thielen,Adam Humphries,Eric Ebron,Travis Kelce,Carolina Panthers,162.03400000000002,49700
3,Patrick Mahomes,Spencer Ware,Christian McCaffrey,Chris Godwin,Adam Humphries,Odell Beckham Jr.,Eric Ebron,Travis Kelce,Carolina Panthers,161.66400000000002,50000
4,Cam Newton,Spencer Ware,Saquon Barkley,Chris Godwin,Adam Thielen,D.J. Moore,Eric Ebron,Travis Kelce,Carolina Panthers,161.47400000000002,49700
5,Patrick Mahomes,Spencer Ware,Saquon Barkley,Chris Godwin,Adam Humphries,DeAndre Hopkins,Eric Ebron,Travis Kelce,Carolina Panthers,161.39400000000003,49500
6,Cam Newton,Spencer Ware,Saquon Barkley,Chris Godwin,Adam Humphries,Odell Beckham Jr.,Eric Ebron,Christian McCaffrey,Carolina Panthers,161.304,49900
7,Cam Newton,Spencer Ware,Todd Gurley,Chris Godwin,Adam Humphries,DeAndre Hopkins,Eric Ebron,Travis Kelce,Carolina Panthers,160.66400000000004,49900
8,Cam Newton,Spencer Ware,Saquon Barkley,Adam Thielen,Adam Humphries,D.J. Moore,Eric Ebron,Travis Kelce,Carolina Panthers,160.454,50000
9,Cam Newton,Spencer Ware,Todd Gurley,Chris Godwin,Adam Thielen,Adam Humphries,Eric Ebron,Robert Woods,Carolina Panthers,160.16400000000002,49600
10,Cam Newton,Spencer Ware,Saquon Barkley,Chris Godwin,DeAndre Hopkins,D.J. Moore,Eric Ebron,Travis Kelce,Carolina Panthers,160.104,49900
11,Patrick Mahomes,Spencer Ware,Christian McCaffrey,Chris Godwin,Adam Humphries,Odell Beckham Jr.,Eric Ebron,Robert Woods,Carolina Panthers,159.794,49900
12,Cam Newton,Spencer Ware,Saquon Barkley,Chris Godwin,Adam Thielen,Robert Woods,Eric Ebron,D.J. Moore,Carolina Panthers,159.604,49600
13,Cam Newton,Spencer Ware,Todd Gurley,Chris Godwin,Adam Humphries,Odell Beckham Jr.,Eric Ebron,Travis Kelce,Carolina Panthers,159.47400000000002,49500
14,Cam Newton,Spencer Ware,Saquon Barkley,Chris Godwin,Adam Thielen,Adam Humphries,Travis Kelce,D.J. Moore,Carolina Panthers,159.40400000000002,49700
15,Cam Newton,Spencer Ware,Saquon Barkley,Chris Godwin,Odell Beckham Jr.,D.J. Moore,Eric Ebron,Travis Kelce,Carolina Panthers,158.91400000000002,49500
16,Cam Newton,Spencer Ware,Todd Gurley,Chris Godwin,Adam Humphries,DeAndre Hopkins,Eric Ebron,Robert Woods,Carolina Panthers,158.79400000000004,49800
17,Cam Newton,Spencer Ware,Saquon Barkley,Adam Thielen,Adam Humphries,Robert Woods,Eric Ebron,D.J. Moore,Carolina Panthers,158.584,49900
18,Cam Newton,Spencer Ware,Saquon Barkley,Chris Godwin,DeAndre Hopkins,Robert Woods,Eric Ebron,D.J. Moore,Carolina Panthers,158.234,49800
19,Cam Newton,Spencer Ware,Saquon Barkley,Chris Godwin,Adam Humphries,DeAndre Hopkins,Travis Kelce,D.J. Moore,Carolina Panthers,158.03400000000002,49900
20,Cam Newton,Spencer Ware,Saquon Barkley,Adam Humphries,Odell Beckham Jr.,D.J. Moore,Eric Ebron,Travis Kelce,Carolina Panthers,157.894,49800
21,Patrick Mahomes,Spencer Ware,Christian McCaffrey,Chris Godwin,Adam Humphries,Tyreek Hill,Eric Ebron,D.J. Moore,Carolina Panthers,157.03400000000002,49900
22,Cam Newton,Spencer Ware,Saquon Barkley,Chris Godwin,Adam Humphries,Odell Beckham Jr.,Travis Kelce,D.J. Moore,Carolina Panthers,156.84400000000002,49500
23,Patrick Mahomes,Spencer Ware,Todd Gurley,Chris Godwin,Adam Humphries,DeAndre Hopkins,Eric Ebron,D.J. Moore,Carolina Panthers,156.78400000000002,49500
24,Cam Newton,Spencer Ware,Saquon Barkley,Adam Humphries,Odell Beckham Jr.,Robert Woods,Eric Ebron,D.J. Moore,Carolina Panthers,156.024,49700
